"기준_년분기_코드","행정동_코드","행정동_코드_명","아파트_단지_수","아파트_면적_66_제곱미터_미만_세대_수","아파트_면적_66_제곱미터_세대_수","아파트_면적_99_제곱미터_세대_수","아파트_면적_132_제곱미터_세대_수","아파트_면적_165_제곱미터_세대_수","아파트_가격_1_억_미만_세대_수","아파트_가격_1_억_세대_수","아파트_가격_2_억_세대_수","아파트_가격_3_억_세대_수","아파트_가격_4_억_세대_수","아파트_가격_5_억_세대_수","아파트_가격_6_억_이상_세대_수","아파트_평균_면적","아파트_평균_시가"
"20231","11110630","종로5?6가동","10","56","","","3","","24","32","","3","","","","42","127248788"
"20231","11305595","번1동","202","1605","199","","1","","498","1209","55","19","24","","","49","128086833"
"20233","11110515","청운효자동","323","1533","581","83","91","117","231","689","834","279","84","68","220","69","276146690"
"20233","11110530","사직동","89","309","158","54","81","14","25","175","155","70","37","16","138","73","371237211"
"20232","11110630","종로5?6가동","10","56","","","3","","24","32","","3","","","","42","127248788"
"20233","11110540","삼청동","9","12","19","5","2","14","","11","18","5","2","3","13","111","401044841"
"20233","11110550","부암동","189","712","662","162","46","130","158","570","553","210","26","81","114","82","259634651"
"20233","11110560","평창동","294","527","915","314","472","538","108","379","506","607","271","347","548","124","480839259"
"20231","11110515","청운효자동","323","1533","581","83","91","117","231","689","834","279","84","68","220","69","276146690"
"20232","11110515","청운효자동","323","1533","581","83","91","117","231","689","834","279","84","68","220","69","276146690"
"20231","11110530","사직동","89","309","158","54","81","14","25","175","155","70","37","16","138","73","371237211"
"20232","11110530","사직동","89","309","158","54","81","14","25","175","155","70","37","16","138","73","371237211"
"20231","11110540","삼청동","9","12","19","5","2","14","","11","18","5","2","3","13","111","401044841"
"20232","11110540","삼청동","9","12","19","5","2","14","","11","18","5","2","3","13","111","401044841"
"20231","11110550","부암동","189","712","662","162","46","130","158","570","553","210","26","81","114","82","259634651"
"20232","11110550","부암동","189","712","662","162","46","130","158","570","553","210","26","81","114","82","259634651"
"20231","11110560","평창동","294","527","915","314","472","538","108","379","506","607","271","347","548","124","480839259"
"20232","11110560","평창동","294","527","915","314","472","538","108","379","506","607","271","347","548","124","480839259"
"20231","11110570","무악동","47","111","256","108","12","","14","35","8","2","12","26","390","82","660258193"
"20232","11110570","무악동","47","111","256","108","12","","14","35","8","2","12","26","390","82","660258193"
"20233","11110570","무악동","47","111","256","108","12","","14","35","8","2","12","26","390","82","660258193"
"20231","11110580","교남동","231","1202","194","24","2","1","368","664","51","6","35","42","257","50","235058041"
"20232","11110580","교남동","231","1202","194","24","2","1","368","664","51","6","35","42","257","50","235058041"
"20233","11110580","교남동","231","1202","194","24","2","1","368","664","51","6","35","42","257","50","235058041"
"20231","11110600","가회동","126","683","78","20","8","41","127","452","153","27","17","7","47","67","284759882"
