관광지,지역_구역,위도,경도
도째비골 해랑전망대,강원,38.131213,128.283044
도째비골스카이밸리,강원,38.131213,128.283044
무릉계곡,강원,38.052148,127.742379
뮤지엄산,강원,37.372604,127.918402
간현관광지,강원,37.242362,128.100975
원대리 자작나무 숲 (속삭이는 자작나무 숲),강원,38.064343,128.163104
고석정 (한탄강 유네스코 세계지질공원),강원,38.2051239,127.2888533
춘천 삼악산 호수케이블카,강원,37.842871,127.737746
남이섬,강원,37.823788,127.528384
대관령 관광특구,강원,37.819031,127.511354
강릉커피거리,강원,37.7954651,128.8695031
자라섬,경기,37.8233357,127.5046505
서울랜드,경기,37.433108,127.018637
광명동굴,경기,37.441634,126.920589
수원 화성 [유네스코 세계유산],경기,37.285014,127.001126
안성팜랜드,경기,37.028223,127.309814
양평 두물머리,경기,37.50007,127.543045
재인폭포 (한탄강 유네스코 세계지질공원),경기,38.081146,127.899455
한국민속촌,경기,37.2634824,127.1312421
에버랜드,경기,37.296864,127.200943
헤이리 예술마을,경기,37.792472,126.786652
파주 임진각(평화누리공원),경기,37.913609,126.822473
거창 항노화힐링랜드,경남,35.717261,127.943912
당항포관광지,경남,34.9820567,128.3035176
김해가야테마파크,경남,35.255858,128.881032
진주성,경남,35.180943,128.086982
여좌천(벚꽃명소),경남,35.202831,128.687462
디피랑(DPIRANG),경남,34.852887,128.426379
황매산군립공원,경남,35.5885093,128.1499751
경주 석굴암 [유네스코 세계유산],경북,35.788693,129.318689
문경단산 모노레일,경북,36.634471,128.169197
소수서원 [유네스코 세계유산],경북,36.8851757,128.5836423
죽변해안스카이레일,경북,36.993472,129.429146
주왕산국립공원,경북,36.4797277,129.0159933
주산지(청송 국가지질공원),경북,36.4797277,129.0159933
스페이스워크,경북,36.0720891,129.3894382
울릉도,경북,37.4839823,130.8987581
독도,경북,37.485669,130.897445
경주 불국사 [유네스코 세계유산],경북,35.7775365,129.3466764
국립아시아문화전당,광주,35.1356895,126.9195852
무등산국립공원,광주,35.1485479,126.9197861
5·18 기념공원,광주,35.1449621,126.880488
양림역사문화마을,광주,35.1221484,126.9186714
대구앞산공원,대구,35.8305887,128.5821636
수성못 유원지,대구,35.842292,128.706825
대구 동성로거리,대구,35.869899,128.59845
대구 서문시장 & 서문시장 야시장,대구,35.868771,128.593457
한밭수목원,대전,36.370693,127.365907
스카이라인 루지(부산),부산,35.259014,129.216862
롯데월드 어드벤처 부산,부산,35.151133,129.221007
부산 감천문화마을,부산,35.097797,129.010819
송도용궁구름다리,부산,35.089625,129.003364
광안리 SUP Zone,부산,35.153141,129.153085
태종대 (부산 국가지질공원),부산,35.0855939,129.0518611
용두산 자갈치 관광특구,부산,35.0979282,129.028883
부산엑스더스카이,부산,35.180979,129.194087
해운대 그린레일웨이 (미포~송정 구간),부산,35.161703,129.156459
