,freq
객실,22
직원,17
청소,16
상태,16
시설,12
청결,12
머리카락,12
예약,11
바닥,11
최악,11
느낌,9
침대,9
체크,9
서비스,9
방음,9
생각,9
가격,9
편의점,8
이용,7
사용,7
주차,7
냄새,7
요청,7
정도,6
관리,6
먼지,6
자국,6
다시,6
기본,6
휴지,6
도안,5
고물,5
응대,5
안내,5
침구,5
얘기,5
소리,5
변기,5
커버,5
화장실,5
없어서,5
수건,5
오션,5
비치,5
리뷰,5
데스크,5
테이블,5
후기,4
위생,4
슬리퍼,4
충전,4
수영장,4
건물,4
티비,4
판매,4
위치,4
이틀,4
같은,4
엉망,4
추천,4
칫솔,4
매우,4
난방,4
없어요,4
온도,4
사진,4
가족,4
안되고,4
속초,4
에어컨,4
불편한,4
정비,4
처음,4
보고,4
그대로,4
고객,4
사람,4
별로,4
대비,3
어머니,3
광고,3
위해,3
별도,3
수준,3
엘리베이터,3
있음,3
노후,3
제대로,3
냉장고,3
미터,3
프론트,3
옆방,3
새로,3
새벽,3
개인,3
의자,3
잘못,3
두번째,3
주말,3
수압,3
일출,3
같은게,3
조절,3
달라,3
이불,3
배정,3
방안,3
물질,3
모텔,3
구매,3
다방,3
바다,3
신경,3
문의,3
데이,3
카운터,3
소음,3
어메니티,3
운영,3
아쉬움,3
체크아웃,3
문제,3
모래,3
콘센트,3
없어,3
남자,3
공사,3
계속,3
아내,3
세탁기,2
기억,2
레지던스,2
이름,2
오피스텔,2
불편,2
핸드폰,2
가지,2
화면,2
나머지,2
목재,2
확인,2
숙박업소,2
실망,2
고해,2
모델링,2
많아,2
오염,2
배드,2
기준,2
하니,2
사시,2
일정,2
진동,2
근처,2
머리,2
고문,2
처리,2
베개,2
파크,2
위트,2
스위트룸,2
높이,2
인근,2
베란다,2
설정,2
인기,2
결제,2
얼룩,2
해수욕장,2
구멍,2
이그,2
휴일,2
침대시트,2
무료,2
가제,2
엘레베이터,2
부족하여,2
이런거,2
전체,2
충격,2
창문,2
거름,2
좋지,2
의심,2
룸서비스,2
인덕션,2
잘되지,2
자체,2
실물,2
안된,2
아침,2
조치,2
말소리,2
휴지통,2
도로,2
금액,2
의아,2
안되서,2
측면,2
교환,2
나중,2
