,freq
청결,572
객실,396
시설,356
바다,303
직원,280
속초,271
이용,245
가격,241
예약,214
위치,202
주차,198
체크,195
오션,189
주변,188
가족,174
침대,171
편의점,171
생각,170
조식,161
화장실,143
상태,134
컨디션,123
해변,116
주차장,113
근처,112
리조트,109
침구,108
추천,106
정도,105
전망,100
좋네요,99
청소,98
강릉,91
매우,91
맛집,89
느낌,87
사진,80
넓고,79
편하게,76
지하,75
처음,74
같습니다,73
식당,72
아침,72
저녁,72
서비스,72
욕실,70
산책,70
만족합니다,67
음식,66
힐링,65
춘천,64
건물,64
부분,64
선택,64
좋아서,61
체크아웃,60
방도,59
콘도,59
사우나,59
다시,59
수건,59
카페,58
만족,58
가까워서,58
공간,55
바닥,54
해수욕장,54
사람,54
배정,53
기도,52
중앙시장,52
소리,51
준비,51
무료,51
전체,51
있어요,50
부대,50
관리,50
샤워,50
일출,49
사용,48
없어서,47
방음,47
로비,47
가면,47
평일,46
단점,46
냄새,45
대비,45
방이,45
같은,44
친절하고,44
내부,44
많고,44
조용하고,44
수압,43
깨끗해서,43
냉장고,43
친절하시고,43
수영장,43
걱정,43
비치,43
장점,42
편의,42
전반,41
칫솔,41
강원도,41
좋음,40
살짝,40
투숙,40
도보,40
구비,40
부모님,40
제일,39
온천,38
프론트,38
추가,38
티비,37
가깝고,37
스키,37
보고,37
경포,37
넓어서,36
바닷가,36
난방,36
편했어요,36
풍경,36
호수,36
커피,36
커서,35
먼지,35
샴푸,34
보이,34
테이블,34
날씨,34
청초,34
공지천,33
리뷰,33
자체,33
욕조,33
역시,33
벚꽃,33
어메니티,33
좋게,33
먹거리,33
신경,32
청결하고,32
제공,32
완전,32
편하고,32
응대,32
다룸,31
뷔페,31
같네요,31
그런지,31
모든,31
입실,31
겨울,30
양양,30
요조,30
치약,30
추억,30
바디,30
타워,30
취사,30
같아,29
인테리어,29
문제,29
맥주,29
주차공간,29
여름,29
예정,29
저렴한,29
온도,29
신축,28
좋을것,28
주말,28
기본,28
창문,28
크기,28
할인,28
아쉬운,28
일찍,28
먹기,28
나쁘지,28
깨끗한,28
접근성,27
모바일,27
연결,27
강아지,27
식사,27
없는,27
분위기,27
룸서비스,27
구경,27
타고,27
친절,26
많아,26
업그레이드,26
하이,26
없어,26
가기,26
참고,26
엘리베이터,26
즐거운,25
두번째,25
테라스,25
만족스러웠습니다,25
수영,25
괜찮았어요,25
해결,25
오피스텔,25
가장,25
괜찮은,24
좋을,24
요청,24
수기,24
물이,24
오래된,24
낙산사,24
멋진,24
계속,24
친구,24
디럭스,23
용하는,23
모델링,23
없었습니다,23
따뜻하고,23
와인,23
별로,23
스키장,23
있지만,23
인피니티,23
미리,23
이불,23
배달,23
공사,23
치킨,23
계획,22
음식점,22
이동,22
안내,22
편안하게,22
친절하게,22
용했습니다,22
소음,22
있는데,22
패키지,22
도크,22
가바,22
경치,21
가보,21
온돌,21
