,freq
객실,20
소리,12
직원,12
먼지,12
방음,12
주차,12
머리카락,10
화장실,10
사람,9
예약,9
확인,9
시설,8
냄새,8
침구,8
이용,8
전화,8
부분,8
안내,8
사진,7
서비스,7
느낌,7
청결,7
정도,7
체크,7
모텔,7
연락,7
침대,6
생각,6
건물,6
주변,6
조식,6
최악,6
없는,6
창문,5
투숙,5
가격,5
도안,5
보고,5
실망,5
아침,5
리뷰,5
수준,4
아예,4
말투,4
얘기,4
이해,4
매우,4
프론트,4
같습니다,4
배정,4
달라,4
먼저,4
바닥,4
테이블,4
안됨,4
다시,4
온도,4
처음,4
샤워,4
잠도,4
새벽,4
엉망,3
일행,3
밤새,3
응대,3
부대,3
수건,3
본인,3
체크아웃,3
스탠드,3
에어컨,3
요청,3
고해,3
패키지,3
교통,3
두번째,3
의자,3
거울,3
고객,3
좁고,3
이건,3
히터,3
경험,3
불친절,3
엘베,3
안전,3
방이,3
당황,3
좁아요,3
음식,3
서너,3
아니었다,3
구조,3
매니,3
옆방,3
여자,3
별로,3
완전,3
아닌데,2
지급,2
개선,2
상태,2
대비,2
설치,2
키즈,2
내부,2
교환,2
스탠다드,2
가요,2
발견,2
나름,2
대고,2
소음,2
같네요,2
연휴,2
이런건,2
복도,2
식사,2
후기,2
침실,2
톡톡,2
세면대,2
모니터,2
고문,2
신기했습니다,2
무더워서,2
퀘퀘,2
스트레스,2
영화관,2
근처,2
듯합,2
만족스러웠습니다,2
아쉬움,2
세번,2
말소리,2
안되고,2
입구,2
덕분,2
역시,2
같구요,2
킨텍스,2
조절,2
미리,2
없었습니다,2
있지만,2
제대로,2
여기저기,2
흡연,2
많아요,2
맛집,2
편리하고,2
변기,2
기존,2
불편했습니다,2
요즘,2
쇼핑,2
렌즈,2
리조트,2
지프,2
전혀,2
외부,2
다가,2
잔뜩,2
알바,2
장점,2
없냐고,2
신경,2
청소,2
불친절합니다,2
좋게,2
추천,2
폭파,2
연결,2
업그레이드,2
위약금,2
없어서,2
계속,2
가시,2
방도,2
기도,2
고요,2
난방,2
싱글,2
티비,2
식당,2
처리,2
담배,2
차가,2
감기,2
지금,2
이안,2
세상,2
아들,2
콘센트,2
평소,2
캉스,2
헬스장,2
별도,2
사과,2
욕조,2
쿠폰,2
바디,2
신라,2
얼룩,2
깔끔하고,2
아내,2
중간,2
판단,2
답변,2
별일,2
바람,2
테라스,2
진짜진짜,2
아닌,2
뻔했습니다,2
몇개,2
괜찮은데,2
왜안,2
가드,2
등록,2
불만,2
대신,2
딱히,2
아니라,2
자체,2
자리,2
낮아서,1
첫날,1
비빔밥,1
황당할,1
시작,1
여주,1
있다가,1
커피한잔,1
굳이,1
한참,1
편했던,1
쇼파,1
물질,1
