,freq
객실,18
청소,13
시설,12
온도,12
상태,11
샤워,11
냄새,10
리뷰,10
예약,10
생각,9
소리,8
침대,8
침구,8
직원,7
주차장,7
화장실,7
수영장,7
서비스,7
에어컨,6
사진,6
머리카락,6
가격,6
사용,5
전체,5
조식,5
청결,5
주차,5
주변,5
별로,5
곰팡이,5
다시,5
먼지,5
이용,5
최악,5
체크,4
가나,4
처음,4
없어,4
방이,4
입구,4
배정,4
부분,4
위트,4
느낌,4
오션,4
온돌방,4
바다,4
바닥,4
조절,4
많아,3
변기,3
리모컨,3
층간소음,3
달라,3
교체,3
냉장고,3
칫솔,3
쓰레기,3
단점,3
공간,3
모텔,3
아침,3
완전,3
욕실,3
추워서,3
이불,3
있는데,3
전반,3
좁고,3
같습니다,3
산책로,3
회원,3
슬리퍼,3
불편,3
욕조,3
운영,3
메이크업,3
사람,3
다가,3
수영,3
안내,3
저녁,3
환풍기,3
친구,2
번요,2
정도,2
없습니다,2
청해,2
추워요,2
크기,2
벌레,2
요청,2
충전,2
해도,2
지방,2
연락,2
있음,2
방안,2
방음,2
사장,2
휴대폰,2
일로,2
문구,2
통로,2
친절,2
가지,2
의자,2
요구,2
더블,2
오후,2
필수,2
편의점,2
엉망,2
가안,2
말씀,2
큰소리,2
아쉬움,2
해바라기,2
준비,2
포함,2
석식,2
료칸,2
연기,2
설명,2
담배,2
건물,2
고해,2
요리,2
바람,2
관리,2
프론트,2
음식,2
주문,2
많은,2
고조,2
진심,2
결제,2
데스크,2
직접,2
커피,2
카운터,2
장점,2
아니고,2
하수,2
찌린,2
문제,2
친절함,2
선택,2
방도,2
히터,2
좋았으나,2
급하게,2
보통,2
확인,2
추가,2
없어요,2
가득,2
창문,2
가요,2
만족,2
콘도,2
금액,2
업그레이드,2
후기,2
관광,2
대비,2
전혀,2
체적,2
제대로,2
전망,2
자체,2
내부,2
작고,2
같아,2
불량,2
엘리베이터,2
절대,2
좋음,2
노캄,2
소음,2
어깨,2
설치,1
이동해,1
탑사,1
야하는,1
좋지,1
아쉬웠습니다,1
도시,1
좋고시내랑,1
가까워서,1
불편함이있었습니다,1
전기차,1
있다고하여서,1
휴지,1
요즘,1
만사,1
고안,1
매장,1
뜨내기,1
대패,1
아쉽네요,1
기빠진,1
박했는데,1
소가,1
하룻밤,1
자고,1
지저분하고,1
딱딱하고,1
갈래,1
불편했어요,1
리도,1
포장,1
동거,1
비용,1
효율,1
사천,1
이유,1
티비,1
웨이브,1
넷플티빙쿠프,1
좋았다,1
지역,1
솔직,1
삼천포,1
편리합니다,1
미흡,1
이해,1
역시,1
한역,1
향기,1
공기청정기,1
가동,1
장차,1
형편,1
못해,1
오만원,1
부모님,1
뷰업글,1
인해오시는,1
비싸졌,1
요전,1
없네요,1
코로나,1
선전,1
어프,1
런트,1
라면,1
가보,1
아무런,1
매력,1
솔직히,1
많으리라,1
가장,1
온천,1
어처구니없는,1
차등,1
아쉬웠어요,1
언짢았네요,1
가세,1
컵라면,1
포트,1
어보,1
간경,1
악했네요,1
도습,1
심했어요,1
용해야,1
악취,1
로이,1
필터,1
맨발,1
히노끼,1
어메니티,1
유카타,1
얘기,1
유명하니,1
여름,1
에아,1
용하면,1
안될것,1
습해서,1
친절하십니다,1
재료,1
워낙,1
간다,1
키친,1
고급,1
일본,1
프트,1
성수,1
그러네요,1
의인,1
깨끗한,1
딱딱해요,1
콘센트,1
쑥수,1
관계자,1
고물,1
기한,1
부스,1
인테리어,1
천정,1
이빠져서,1
같은데,1
순환,1
외부,1
신랑,1
아쉬워,1
프런트,1
낮은,1
상관없을듯,1
답변,1
안되는지,1
공기,1
일이,1
용하고부터,1
제한,1
밀양,1
호메,1
넓어,1
채널,1
기본,1
있네요,1
도룸,1
퓨저,1
오래된,1
복불복,1
당첨,1
안나,1
고객,1
도보,1
에디,1
고함,1
포기,1
별도,1
가탁,1
대응,1
주심,1
라운지,1
스테이크,1
와인,1
수모,1
수영복,1
착용,1
이제,1
번은,1
티맵,1
지하,1
음식물,1
어이없어요,1
좁으므로,1
준대형차,1
어떠한주의,1
플레인,1
시티,1
관해,1
천산,1
애초,1
용할수있도록,1
야한다고,1
돈대,1
맘껏,1
용하게,1
두시,1
섭취,1
규정,1
흡연,1
큐티,1
브로,1
무심해서,1
번체,1
같아서,1
없는,1
방추,1
사항,1
응대,1
나지상,1
표지판,1
깔끔해서,1
횟집,1
부인과,1
단가,1
회집,1
데모,1
는걸,1
셀프,1
고스,1
광어,1
숭어,1
신고,1
거제도,1
인하러가니,1
던데,1
요하니,1
없을시,1
깨끗하고,1
화이트,1
당일,1
샤워실,1
편입,1
말투,1
표정,1
번호,1
필요성,1
보상,1
한적,1
미끄러우나,1
팩트,1
데리,1
전기포트,1
고장,1
용할,1
없을것,1
때앱,1
삭제,1
텃세,1
자유롭지,1
재차,1
그다지,1
없었음,1
항구,1
포차,1
있는듯,1
추억,1
고집,1
방향,1
