,freq
냄새,21
직원,19
객실,18
시설,18
청소,17
생각,14
침대,14
예약,13
이불,13
이용,13
상태,12
머리카락,12
체크,12
바닥,11
먼지,11
가격,11
침구,10
추가,9
화장실,9
정도,9
모텔,9
처음,9
리조트,8
방음,8
느낌,8
주차,8
소리,8
난방,8
다시,7
입실,7
주변,7
노후,7
치약,7
최악,7
가족,7
수건,7
최대,6
인테리어,6
프론트,6
청결,6
저녁,6
노벨,6
안내,6
같은,6
오염,6
칫솔,6
방이,6
음식,6
리뷰,6
조식,6
새벽,6
건물,6
사진,6
창문,6
물이,6
황리,5
같습니다,5
요청,5
선택,5
굉장히,5
곰팡이,5
바다,5
같아,5
보고,5
욕실,5
주차장,5
안되는,5
위치,5
로비,5
모델링,5
온돌,5
관리,4
전화,4
추천,4
사람,4
온도,4
겨울,4
위해,4
에어컨,4
규정,4
옆방,4
친구,4
서비스,4
오래된,4
도안,4
편의점,4
문제,4
좋은데,4
오토바이,4
일찍,4
별로,4
교체,4
슬리퍼,4
실망,4
전체,4
위생,4
커버,4
배정,4
손님,4
경주,4
피부,4
식도,3
식당,3
아침,3
할인,3
장점,3
환기,3
다가,3
도대체,3
대요,3
잘못,3
안된,3
많은,3
티비,3
아쉬움,3
냉장고,3
잔뜩,3
온천,3
인할,3
비교,3
고프,3
안되어,3
쓰레기,3
이제,3
없어요,3
샴푸,3
외관,3
종교,3
더주고,3
없네요,3
세면대,3
좋진,3
수압,3
노천,3
지하,3
현관,3
세탁,3
나중,3
포항,3
머리,3
단체,3
무더워,3
야함,3
참고,3
부모님,3
코오롱,3
없어서,3
매우,3
실내,3
동생,3
얼룩,3
구성,3
애기,3
안되서,3
무료,3
좋지,3
없는,3
접근성,3
후회,3
욕조,3
끼리,3
샤워,3
요즘,2
이그,2
어메니티,2
헛걸음,2
바디,2
좋게,2
지불,2
여직원,2
구비,2
없었고,2
린스,2
히터,2
조명도,2
그런지,2
몇번,2
괜찮았어요,2
좋았네요,2
취약,2
친절하지,2
커피,2
면서,2
오지,2
온돌방,2
그랬어요,2
룸서비스,2
오래되서,2
대부분,2
단길,2
기본,2
고무,2
엄마,2
검은,2
깨끗하지,2
온수,2
심했고,2
더러워서,2
친절한,2
자국,2
서자,2
식기,2
얘기,2
안동,2
진심,2
전투,2
숙객,2
저렴한,2
살짝,2
수준,2
추웠어요,2
판매,2
이해,2
쇼파,2
제공,2
후기,2
배달,2
없다,2
방법,2
안나,2
대비,2
중앙,2
편하게,2
수영장,2
필요해,2
날씨,2
투숙,2
레전드,2
컨디션,2
폐기,2
없었습니다,2
서방,2
말투,2
보관,2
같네,2
담배,2
경험,2
페스,2
다방,2
단점,2
전혀,2
오션,2
있었다고,2
안주,2
전반,2
딸램,2
가나,2
보일러,2
연휴,2
이름,2
비용,2
밥솥,2
불친절,2
계속,2
같네요,2
개별,2
같아서,2
그런,2
노란,2
꾸중,2
같은게,2
없어,2
박하고,2
아닌,2
여름,2
근처,2
커튼,2
낡은,2
한상태,2
기업,2
보문호,2
기독교,2
안되,2
모임,2
아니라,2
구석구석,2
확인,2
학생,2
깨끗하고,2
고기,2
락스,2
더블,2
아예,2
방충,2
있었고,2
엉망,2
싱글,2
없더라고요,2
앞쪽,2
기름,2
없는게,2
결정,2
취사,2
연박,2
안해,2
시골,2
다르고,2
그대로,2
제일,2
비누,2
요물,2
이전,2
편히,2
와이프,2
무색,2
넓고,2
남아,2
행주,2
거실,2
자동차,2
정비,2
편입,2
일회용,2
부분,1
비위생적,1
몇개,1
추워서,1
스스로,1
천장,1
작동,1
처럼,1
신분,1
아지트,1
층수,1
할머니,1
낭패,1
미동,1
좁지,1
커플,1
서해,1
게스트하우스,1
실망했습니다,1
친절하진,1
지방,1
협탁,1
건데,1
그따위,1
테이블,1
컨트롤,1
청결하겠거니,1
시비,1
서재,1
찍찍,1
반말,1
운영,1
있었고당,1
장살,1
미사,1
의문,1
없으니,1
감고,1
진임,1
푹신했지만,1
어르신,1
더라고요,1
저번,1
사우나,1
지속,1
예전,1
번은,1
오스,1
자동,1
업그레이드,1
좋았,1
다룸,1
전입,1
실했던,1
들것,1
물건,1
순간,1
점검,1
이상하더라구요,1
고압,1
이야기,1
본격,1
영안,1
도문,1
의해도,1
직접,1
도움,1
해방,1
문해,1
처리,1
미리,1
무의미하고,1
어이없고요,1
만족스러운,1
아쉬웠습니다,1
불편한것이,1
가까이,1
기대하고,1
금액,1
후회되는,1
한식당,1
층간소음,1
심함,1
자재,1
남조,1
개인,1
영덕,1
연화,1
최근,1
지은,1
방안,1
편백,1
피로,1
풀기,1
최적,1
자칫,1
건조할수있는실내에,1
효과,1
숙면,1
나름,1
전망,1
한가롭게,1
뷔페,1
및맛,1
신경,1
야할거,1
고객,1
제대로,1
여행기,1
따뜻한,1
요절,1
어쩌,1
대처,1
미온수,1
아님,1
제적,1
더러웠으며,1
차가웠습니다,1
정보,1
다르게,1
남자,1
장물,1
불가능하다고,1
여자,1
만족스러웠습니다,1
맛있고,1
적당했습니다,1
만족스러웠지만,1
는고,1
문도,1
버튼,1
황룡,1
찍기,1
민망하구요,1
초콜렛,1
아닐듯,1
없다지만,1
신중하게,1
뭉탱이,1
크리스마스,1
뒤쪽,1
나빠네요,1
탁했는데,1
신발,1
데모,1
캐리어,1
따뜻하게,1
몹시,1
건조하고,1
시끄럽고,1
여행객,1
고속도로,1
휴게소,1
손잡이,1
막대기,1
어둡고,1
감기,1
내복,1
잠옷,1
하나요,1
가방,1
과자,1
부스러기,1
양념,1
굳은,1
드라이기,1
변기,1
반대,1
무관심한,1
변색,1
고막,1
고해,1
납부,1
구매,1
입욕,1
리기,1
야했으며,1
낡았고,1
기대했던,1
야했던,1
어두컴컴하게지내,1
불도,1
은방,1
딱딱하고거실,1
안된다하고,1
있었습니다,1
하수,1
찝찝해서,1
담요,1
어어,1
무덥습니다,1
자도,1
더워요,1
안됩니다,1
치킨,1
왜인,1
가납,1
구류,1
아쉽네요,1
페브리즈,1
향수,1
스러웠음,1
쌀쌀한,1
신건,1
별루,1
맛있었어요,1
식사,1
많았던,1
높았는지,1
치가,1
도기,1
아쉽고,1
이쁘게,1
시스템,1
문앞,1
시락,1
고도,1
건아,1
음원,1
친절하지는,1
아쉽지만,1
대체로,1
만족해요,1
거짓,1
보태,1
추석,1
어머니,1
모시,1
료칸,1
안남,1
장예,1
기대하시는,1
마당,1
이쁘고,1
옥도,1
색감,1
뿌리,1
멀미,1
비싸게,1
응대,1
보아,1
생색,1
특유의틱,1
만추,1
안되는데,1
아쉬우셨다고,1
별개,1
해병,1
청결한것과는,1
예쁘고,1
청결한,1
깔끔한,1
행복한,1
고민,1
있을거다,1
번만,1
날짜,1
면회,1
외박,1
일이,1
말씀,1
죄송하고,1
속상했습니다,1
다행히,1
첨부,1
원추,1
금은,1
박기준,1
인원,1
아팠어요,1
흡연실,1
인제,1
불편,1
나고지,1
요한,1
뚱뚱한,1
안좋고,1
데스크,1
하일,1
아니라서,1
그것,1
안된대,1
똑바로,1
이유,1
분잡,1
주행,1
오시,1
먼저,1
독했어요,1
이분,1
불친절합니다,1
구석,1
첫날,1
불친절함,1
넉넉하지,1
개조,1
해만,1
곳곳,1
모습,1
많습니다,1
티슈,1
마사지,1
고등,1
민망했네요,1
면도,1
구도,1
함석,1
저렴했으면,1
좀더,1
안좋아요,1
심하게,1
건가,1
일회용품,1
딱하나있어요,1
센서,1
가우리,1
불편했던게,1
있더라구요,1
구입,1
세트,1
미니바,1
보통,1
당황,1
없는건,1
도제,1
베개,1
누렇,1
괜찮았는데,1
힘들었고,1
친절하세요,1
행시,1
괜찮아요,1
냉온,1
수가,1
피하,1
불편함이있어요,1
괜찮음,1
천원,1
안됨,1
마을,1
관광지,1
환경보호,1
용했네요,1
남값,1
케이,1
성의,1
물음,1
표정,1
있었는데,1
속상하네요,1
호델,1
구경,1
만사,1
단풍,1
가을,1
친정엄마,1
매월,1
수질,1
유일한,1
나빴고,1
내부,1
산책길,1
가지,1
가야,1
관광객,1
괜찮으나,1
오기,1
힘들어서,1
설쳤어요,1
괜찮습니다,1
깜짝,1
좋더라구요,1
꼼꼼하게되,1
베드,1
검정,1
배드,1
특색,1
불만족,1
미진,1
디워,1
바스,1
매니,1
갯수,1
원수,1
없고인,1
뚜껑,1
실바,1
아쉽습니다,1
쓰레기봉투,1
분리수거,1
불쾌합니다,1
해도,1
휴가,1
모자라,1
모니터,1
작아요,1
이란,1
단어,1
엄청난,1
이상기,1
패스,1
상주,1
인텔,1
석식,1
종이,1
메뉴,1
미지근하거나,1
이하,1
전복죽,1
지물,1
물질,1
준비,1
없었네요,1
같은것도,1
그랬는,1
연결,1
중간,1
통로,1
심해,1
실리콘,1
길이,1
가까워서,1
갈수,1
버스정류장,1
교통,1
나쁘지,1
묵고,1
가기,1
딱좋은,1
이점,1
티백,1
없었지만,1
완전,1
컵라면,1
아가씨,1
딱딱하고,1
불친절해서,1
그랬네요,1
교육,1
안시,1
키시,1
오래되었고,1
불편했어요,1
콘도,1
렌징,1
비싼,1
금오산,1
예배,1
일반,1
은제,1
애초,1
이공사,1
가안,1
조용히,1
쉬러,1
학교,1
놀러,1
온건,1
밤새,1
고통,1
제도,1
비해,1
넷플릭스,1
없는거,1
충격,1
사장,1
마인드,1
패키지,1
와인,1
안줌준,1
타워,1
건너편,1
주차공간,1
좁음,1
한실,1
불편했답니다,1
가보,1
일정,1
사항,1
그러더라고요,1
죄송하다고,1
재미있었습니다,1
다르,1
비싼게,1
당연하네요,1
힘들다,1
참말,1
버스,1
도의,1
안되어있어서,1
불편했네요,1
비엔,1
평일,1
영업,1
수영,1
야경,1
햇겟,1
이뻤구요,1
여러가지,1
부대,1
알차게이용,1
맛있게,1
식이,1
부로,1
옆협탁,1
안쪽,1
양말,1
있더군요,1
가제,1
그러더라구요,1
여서,1
해수욕장,1
좋았답니다,1
장남,1
이쁨,1
뜨끈함,1
나쁜,1
놀러와,1
수다,1
이아,1
고파서,1
야식,1
베인,1
금지,1
공지,1
음문,1
고리,1
도미,1
세지,1
토리,1
조선시대,1
비방,1
초입,1
미터,1
점주,1
간식,1
소품,1
즐비하구요,1
뒷쪽,1
까페,1
만족합니다,1
비수,1
아까웠어요,1
계시,1
층투썸,1
물이끼,1
샌드위치,1
실시간,1
소통,1
안되는거,1
포함,1
이면,1
저렴한거,1
라거,1
솔찍,1
고안,1
아까워요,1
무오,1
히노키,1
나무,1
가세,1
찝찝했고,1
다다미방,1
수구,1
심했습니다,1
홍보,1
속지,1
침실,1
답답해요,1
공기청정기,1
당연,1
떡때,1
유아,1
동반,1
당연한건,1
그렇고,1
여행가,1
타로,1
제거,1
심했는데,1
게낫,1
관련,1
많지,1
비싸지,1
없습니다,1
없는것이,1
불편했,1
다짐,1
관광,1
려고,1
황당,1
히어로,1
흰색,1
후시,1
아무,1
플레이도,1
보호자,1
시소,1
명시,1
성인,1
용해야,1
적응,1
가능하다고해,1
당일,1
박후기,1
박후,1
일일이,1
많았습니다,1
기전,1
낡은줄,1
지인,1
데리,1
두번째,1
커서,1
차때매,1
그럴수있다라고,1
괜찮냐는,1
실망하고,1
가깝고,1
친절하고,1
페인트,1
드하,1
고집,1
도예,1
다름없었습니다,1
약하지,1
창밖,1
벚꽃,1
아까울,1
서손,1
싫어서,1
썼슈,1
카락,1
아유,1
수학여행,1
까칠하네요,1
좋지못하였습니다,1
얇아서,1
원래,1
전국,1
비싸고,1
나쁨,1
곳일줄알기,1
별기,1
만리,1
만족했기에,1
그럼에도,1
불구,1
보문,1
호수,1
이기,1
로소,1
는걸,1
오래된건,1
알겟,1
걸레질,1
화도,1
시꺼멓네요,1
방학,1
직장,1
경주로,1
늦잠,1
요란해서,1
힘들,1
엇음,1
전자렌지,1
베타,1
엘베,1
타고,1
이런거도,1
주가,1
