,freq
청결,489
객실,355
시설,290
조식,277
직원,272
경주,250
이용,221
가격,204
위치,187
가족,186
침대,170
화장실,164
생각,153
온천,150
예약,150
주변,149
주차,133
아침,129
추천,114
체크,114
느낌,113
바다,112
상태,111
정도,110
넓고,107
편의점,106
침구,105
사장,98
포항,97
컨디션,93
리조트,90
욕조,88
냄새,87
근처,87
주차장,86
욕실,84
사진,84
황리,83
방도,81
친절하시고,81
매우,80
수영장,76
방음,74
관리,73
저녁,72
서비스,71
다시,70
처음,70
건물,69
카페,68
식당,68
소리,66
힐링,65
청소,65
같습니다,64
산책,63
편하게,63
음식,63
추가,63
바닥,63
수건,62
샤워,62
물이,62
부분,59
방이,59
만족합니다,58
분위기,56
로비,56
대비,55
어메니티,54
걱정,53
선택,52
제공,52
오션,52
좋아서,51
사람,51
기도,51
부모님,50
사우나,49
없어서,49
식사,49
인테리어,49
친절하고,48
준비,47
조용하고,47
사용,47
식도,46
역시,46
보고,45
구비,44
넓어서,44
난방,44
미리,43
완전,43
있어요,43
같은,42
맛집,42
공간,42
오래된,41
이불,41
리뷰,40
모텔,40
노후,39
전반,39
전체,39
무료,39
모델링,39
벚꽃,39
커서,38
히노끼,38
불국사,38
가면,38
친절,38
스파,38
청결하고,37
같아,37
칫솔,37
커피,36
가기,36
공기,36
내부,35
접근성,35
겨울,35
친절하셔서,35
만족,34
투숙,34
입실,34
자체,34
배정,33
소음,33
구미,32
덕분,32
따뜻하고,32
후기,32
많은,32
깔끔한,31
좋네요,31
아쉬운,31
안내,31
티비,31
편했어요,31
냉장고,31
단점,31
머리카락,30
부대,30
먹기,30
비치,30
즐거운,29
할인,29
거실,29
노천,29
날씨,29
터미널,29
단길,29
가까워서,29
지하,29
장점,28
없는,28
별채,28
온돌,28
운영,28
호수,28
친절하게,27
온돌방,27
창문,27
넓은,27
친구,27
업그레이드,27
금오산,26
편의,26
살짝,26
세면대,26
용했습니다,26
별로,26
프론트,26
샤워실,26
괜찮았어요,26
맛있고,26
맛있었어요,26
복도,26
도보,25
추억,25
없었습니다,25
온도,25
고물,25
체크아웃,25
보문,25
안동,25
기대,25
전복죽,25
가지,25
문제,25
같네요,24
전망,24
고조,24
가깝고,24
외관,24
구경,24
보문호,24
포함,24
실내,24
나쁘지,24
관광지,24
에어컨,23
보이,23
가장,23
만족했습니다,23
만족스러웠습니다,23
웰컴,23
좋았구요,23
깨끗한,23
있는데,23
따뜻해서,23
야외,23
여름,23
주차공간,23
계속,23
석식,23
좋을것,22
응대,22
수압,22
샴푸,22
커튼,22
먹거리,22
작은,22
수영,22
관광,22
제일,22
그런지,22
치약,22
좋구요,22
좋았네요,22
물놀이,21
차로,21
입구,21
이동,21
기회,21
있었어요,21
용하기,21
죽도시장,21
굉장히,21
전혀,21
좋게,21
일찍,21
요다음,21
편하게잘,20
휴식,20
힐튼,20
담배,20
장소,20
바디,20
좋았,20
많아,20
깨끗했어요,20
편하고,20
있음,20
참고,20
묵고,20
길이,20
깔끔해서,20
더욱,20
용했어요,19
휴가,19
변기,19
불편했어요,19
일출,19
많고,19
고민,19
지역,19
바람,19
룸서비스,19
신경,19
안나,19
고객,19
평일,19
같고,19
치킨,19
편했습니다,19
간단한,19
갈수,19
끼리,19
프라이,19
식이,19
패키지,19
좋음,19
여유,19
예정,18
크기,18
자고,18
없어,18
주말,18
키즈,18
상당히,18
크게,18
기본,18
이제,18
편히,18
괜찮은,18
조용해서,18
깨끗해서,18
만족스러웠어요,18
옆방,18
따뜻한,18
가능해서,18
비용,17
새벽,17
가게,17
온수,17
따뜻하게,17
택시,17
모든,17
맥주,17
있지만,17
피로,17
입니,17
요청,17
기억,17
괜찮았습니다,17
풍경,17
경주월드,16
조절,16
무조건,16
거기,16
편안한,16
뽀로로,16
배달,16
해도,16
바베큐,16
아쉬웠습니다,16
테이블,16
맛있게잘,16
전자레인지,16
있었습니다,16
좋았던,16
친절한,16
메뉴,16
연식,16
주시,16
일본,16
불편함,16
곳도,16
없었어요,16
친절하셨어요,16
식구,16
은방,16
모시,16
좋은데,16
드라이기,16
개인,16
퀄리티,16
콘도,16
타고,16
급하게,16
없습니다,15
도안,15
간다,15
감성,15
목욕,15
무난,15
좀더,15
다이슨,15
용했는데,15
외부,15
인할,15
분리,15
두번째,15
맛있었습니다,15
산책로,15
뷔페,15
이벤트,15
시내,15
라면,15
도크,15
아기,15
단위,15
데스크,15
베개,14
아늑하고,14
경치,14
흔적,14
침실,14
좋을,14
먼지,14
정수기,14
생수,14
가능,14
친절하십니다,14
나중,14
엄마,14
구성,14
좋을거,14
가도,14
감사,14
디럭스,14
카운터,14
보통,14
용할,14
좋았는데,14
실망,14
꿀잠,13
조용한,13
요조,13
기념,13
조명,13
깔끔하게,13
종류,13
가나,13
깔끔했어요,13
료칸,13
주방,13
세트,13
멋진,13
취사,13
신축,13
용품,13
다가,13
가까이,13
해결,13
노벨,13
편안하고,13
나름,13
마사지,13
벌레,13
용해,13
같아서,13
이름,13
아니라,13
보기,13
전화,13
곰팡이,13
예전,13
마지막,13
편안하게,13
아쉬웠어요,13
많아요,13
일정,13
세월,13
편안하게잘,13
슬리퍼,13
음료,12
환경,12
게이,12
요물,12
경험,12
남자친구,12
랜드,12
확인,12
아니지만,12
방안,12
골목,12
편입,12
물품,12
에이,12
아쉬움,12
예쁘고,12
음식점,12
만족스러운,12
개별,12
작년,12
버스,12
해변,12
바닷가,12
가야,12
가보,12
려고,12
레스토랑,12
비품,12
사항,12
적당히,12
강아지,12
아쉬웠던,12
위생,12
아침식사,12
번창,12
비교,12
간단하게,12
만족하고,12
위해,12
오기,12
신청,12
인원,12
용하는,12
높은,12
저렴한,11
오시,11
일회용,11
좋았음,11
김천,11
동궁,11
깔끔해요,11
요강,11
감동,11
전날,11
비누,11
먼저,11
오픈,11
테라스,11
커플,11
어른,11
아쿠아,11
이쁘고,11
없는게,11
깨끗했고,11
금액,11
일회용품,11
고온,11
