,freq
냄새,19
예약,17
모텔,16
침대,15
직원,14
객실,12
가격,12
화장실,11
주차,10
서비스,10
청결,10
시설,9
상태,8
도안,8
생각,8
침구,8
체크,8
머리카락,8
리뷰,7
문제,7
처음,7
조식,7
수건,6
내부,6
사람,6
먼지,6
없어서,6
이불,6
사우나,6
담배,6
청소,6
욕조,6
사진,5
머리,5
소리,5
이용,5
최악,5
정도,5
전화,5
온도,5
달라,5
많은,4
타워,4
추가,4
이안,4
건물,4
말씀,4
창문,4
입실,4
샤워,4
주차장,4
바퀴,4
연락,4
안됨,4
참고,4
곰팡이,4
다시,4
느낌,4
위치,4
취소,4
같습니다,3
어이없네요,3
비치,3
사장,3
친절,3
하니,3
기본,3
직접,3
난방,3
관리,3
실망,3
문의,3
요청,3
에어컨,3
바퀴벌레,3
티비,3
수준,3
방음,3
프론트,3
교체,3
계속,3
결제,3
고객,3
발생,3
옆방,3
말투,3
보고,3
연휴,3
비용,3
충격,3
없어,3
남자,3
같은,3
이름,3
사용,3
도로,3
절대,3
바닥,3
컴퓨터,3
후기,3
강아지,3
살짝,3
없다,2
손가락,2
없는데,2
도제,2
욕실,2
친구,2
두번째,2
약해요,2
신경,2
설명,2
서침,2
시나,2
수압,2
추워,2
좋긴,2
아침,2
음모,2
건데,2
주변,2
인정,2
대비,2
용품,2
개인,2
위생,2
불편했습니다,2
춥다,2
괜찮았어요,2
골목,2
휴대폰,2
정확히,2
스러웠어요,2
반복,2
제대로,2
좋았을텐데,2
추석,2
없네요,2
애견,2
스테이,2
많았어요,2
사이,2
비즈니스,2
일반,2
여기저기,2
매우,2
중간,2
방안,2
구류,2
추워서,2
비아,2
치약,2
콜백,2
소통,2
가장,2
감기,2
많고,2
탁자,2
베개,2
어플,2
지금,2
런가,2
브라운,2
나쁘게,2
응대,2
평점,2
의자,2
얘기,2
상무역,2
부근,2
요금,2
현장,2
구심,2
복도,2
카페트,2
보통,2
가난,2
민원,2
모델링,2
분위기,2
융통성,2
수수료,2
금액,2
있어야하지만,2
그런,2
얼굴,2
첫날,2
동네,2
명정,2
여자,2
고양이,2
체크아웃,2
지역,2
굳이,2
로안,2
외부,2
장점,2
같아,2
화가,2
인테리어,2
확인,2
변기,2
테이블,2
가득,2
불쾌했습니다,2
솔직,2
여자친구,2
접근성,2
자체,2
지도,2
좋은데,2
좀비,2
전화했더니,2
이돈,2
거기,2
좋아서,2
컨디션,2
충전기,2
제일,2
실망했어요,2
데스크,2
실시간,1
있어요,1
테두리,1
세병,1
좋네요,1
냉장고,1
실리콘,1
있는데,1
온전,1
얼룩,1
전기장판,1
태직,1
노노,1
깨끝,1
단어,1
비싸요,1
다를,1
빵벽,1
좋게,1
자국,1
세면대,1
덜렁,1
해도,1
방충,1
데넘,1
침해,1
놀랬구,1
말빼,1
세탁,1
안되니까,1
글구,1
상관없음,1
은합,1
넉넉합니다,1
물때,1
광택,1
회색,1
피곤한,1
모든,1
스타,1
넷플릭스,1
좋았지만,1
부탁드립니다,1
리얼,1
모기,1
보일러,1
나로,1
한기,1
거짓말,1
개조,1
심해,1
간방,1
소음,1
이바,1
안나,1
더라고요,1
약했습니다,1
개선,1
많아,1
따뜻한,1
여관,1
매트리스,1
불편해요,1
가능할듯,1
스프링,1
아이피,1
기기,1
충돌,1
입니다말이,1
지고,1
서예,1
상당히,1
식도,1
센터,1
교통,1
마땅한,1
방법,1
제시,1
안해,1
주시,1
고요,1
인하게,1
많았습니다,1
대응,1
터미널,1
가왜,1
낭비,1
타고,1
야했는지,1
좋겠네요,1
다라,1
편리하다,1
역도,1
좋다,1
별반,1
아까워요,1
인할,1
깨끗하다,1
본사,1
시스템,1
친절하시다,1
굉장히,1
편안하다,1
있었습니다,1
데프론,1
계시,1
안경,1
곱슬,1
대처,1
아니구요,1
댓글알바,1
미리,1
같은걸,1
원하면,1
프런트,1
종업원,1
용하지말라고,1
지르르,1
던어,1
같다면,1
제어,1
불친절하게안,1
거울,1
아닌듯,1
커피컵,1
벽틈,1
파손,1
방치,1
추천,1
명함,1
통보,1
안주,1
아쉽습니다,1
없었고,1
없다고,1
더나아요,1
그게,1
관련,1
분명히,1
통화,1
고추가,1
괜찮다고,1
서주,1
찜질방,1
상호,1
십지,1
가능한가요,1
일관,1
벌레,1
더나을듯,1
한나,1
안되서,1
있고고데,1
에프킬라,1
공기청정기,1
무서웠던것,1
순간,1
아플만큼,1
탈취,1
심하게,1
찜찜했고,1
한쪽,1
불편했고,1
충전,1
안되더라구요,1
실밥,1
너덜너덜한수건,1
이기,1
한지,1
간지럽다고,1
찝찝하고,1
작동,1
식이,1
괜찮은,1
세월,1
없는,1
거구,1
인하자마자,1
더러웠어요,1
출입문,1
부어,1
불편했어요,1
수구,1
부분,1
피부,1
세균,1
로지,1
같은게,1
곤란한,1
운영,1
코로나,1
점검,1
비싸다는,1
시끄럽고,1
미비,1
오래된거,1
모텐,1
많아요,1
쫌쩡,1
신견,1
입니다다시가지는,1
가방,1
있긴한데,1
구식,1
콘센트,1
근처,1
구석구석,1
나쁘지,1
국제,1
나이트클럽,1
지하,1
영상,1
가요,1
활성화,1
면숙,1
소환,1
경이이,1
곤란한듯,1
겨울,1
하나요,1
시골,1
캉스,1
싸구려,1
운지,1
방광염,1
안되어있음,1
이벤트,1
겸해,1
서호,1
온건,1
최근,1
가제,1
환풍기,1
가룸,1
불미,1
일이,1
있으니,1
상관,1
죄송합니다,1
예제,1
뭘더,1
서도,1
무료,1
만족하시겠어요,1
가안,1
에전,1
쓰레기통,1
안비,1
워짐,1
날숟소,1
안된다하,1
제공,1
당시,1
패스,1
안되어있는듯,1
달걀,1
그릇,1
당연한거,1
커피,1
머신,1
더러워서,1
시침,1
중앙,1
때앱,1
어메니티,1
우린,1
무한,1
대기,1
해결,1
키안,1
전화했으나,1
번외,1
입지,1
안되는것,1
시선,1
대체로,1
친절하나,1
하이라이트,1
퇴실,1
영하,1
던데,1
안되어있어서,1
