,freq
청결,610
조식,301
시설,277
직원,239
객실,232
이용,201
주차,198
침대,171
가격,158
주변,155
화장실,145
위치,136
예약,111
생각,111
넓고,109
침구,103
친절하고,96
컨디션,96
매우,94
상태,94
냄새,94
아침,93
근처,86
스타,82
추천,79
친절하시고,69
주차장,68
편의점,64
가족,63
욕실,62
정도,60
편하게,59
청소,59
방도,59
느낌,58
체크,57
사장,56
서비스,55
처음,53
맛집,52
건물,51
욕조,50
티비,50
음식,48
만족합니다,47
사진,45
전체,45
로비,45
같습니다,44
방이,44
사용,44
소리,43
없어서,43
선택,43
제공,42
부분,42
구비,42
커피,42
샤워,41
모텔,41
많고,41
넓어서,40
방음,40
식도,39
만족,39
담배,38
깨끗해서,38
친구,37
상무지구,37
수압,37
조용하고,36
식당,36
주차공간,35
런트,35
좋아서,34
전반,34
청결하고,34
대비,34
깔끔합니,34
없는,33
있음,33
좋네요,33
인테리어,33
단점,33
난방,33
타일러,32
한식,32
첨단,32
수건,31
바닥,31
창문,30
무료,30
타워,30
먹거리,30
관리,30
없었습니다,30
편하게잘,30
리뷰,29
다룸,29
다시,29
편하고,28
소음,28
가면,28
깔끔해서,27
넷플릭스,27
어메니티,27
같은,27
친절,26
가까워서,26
기도,26
프론트,26
있어요,26
지역,26
괜찮은,26
샤워실,26
문제,25
장점,25
내부,25
나쁘지,25
분위기,25
아쉬운,24
물이,24
용하는,24
요조,24
체크아웃,24
편의,24
고민,24
비즈니스,24
깔끔한,24
번화가,24
편히,23
좋았구요,23
공간,23
입실,23
완전,23
저녁,23
커서,23
식사,23
좋음,23
신경,23
걱정,23
터미널,22
비지니스,22
준비,22
만족스러웠습니다,22
식이,22
예정,22
반찬,22
친절하게,22
아침식사,21
머리카락,21
사람,21
카페,21
살짝,21
일찍,21
용했습니다,21
친절합니다,21
편했습니다,21
맛있어요,21
같네요,21
덕분,21
친절해서,21
이동,21
많아,21
제일,20
기본,20
에어컨,20
테이블,20
업그레이드,20
도크,20
만족했습니다,20
급하게,20
먼지,19
가게,19
공기청정기,19
음식점,19
시내,19
이아주,19
굉장히,19
편안하게,19
친절하셔서,19
도보,19
좋았,19
가장,19
곳도,19
리조트,19
그런지,18
의자,18
묵고,18
저렴한,18
먹기,18
복도,18
역시,18
실내,18
없습니다,18
입니,17
있는데,17
따뜻하고,17
주위,17
편했어요,17
새벽,17
모델링,17
캉스,17
괜찮았습니다,17
변기,17
야구,17
해결,17
맛있는,17
고조,17
물품,17
안내,17
쾌적하고,17
샴푸,17
교통,17
추가,17
매트리스,17
송정역,17
후기,17
가지,17
접근성,17
응대,16
많습니다,16
골목,16
카운터,16
아쉬웠습니다,16
크기,16
좋을거,16
조용해서,16
깨끗한,16
디럭스,16
배정,16
기계,16
깔끔하게,16
두번째,16
좀더,16
용하기,16
무조건,16
꿀잠,16
요청,15
안나,15
좋았네요,15
위해,15
안마,15
좋았음,15
비치,15
이불,15
가깝고,15
퀄리티,15
충장로,15
종류,15
온도,15
친절한,15
세면대,15
계속,15
합리,15
공원,15
다가,15
괜찮았어요,15
개인,14
같아,14
맛있게,14
외부,14
가까운,14
괜찮고,14
친절하셨어요,14
많아요,14
고객,14
끼리,14
깨끗해요,14
부모님,14
배달,14
좋게,14
포함,14
곤지암,14
수영장,14
있으면,14
아쉬웠어요,14
넓은,14
좋구요,14
간단한,13
친절하,13
분리,13
가나,13
라마,13
편안하게잘,13
용할게요,13
있었는데,13
냉장고,13
보고,13
아쉽네요,13
충전기,13
불편한,13
깨끗했어요,13
도안,13
금방,13
할인,13
산책,13
당황,13
추합니다,13
참고,13
용했어요,13
크게,12
훌륭합니다,12
만족하고,12
비교,12
사우나,12
편리했어요,12
도편,12
라면,12
불편함,12
깔끔하,12
차량,12
발렛,12
맛있고,12
좋을것,12
별로,12
친절하세요,12
마트,12
전라도,12
연인,12
구경,12
쉬었,12
한편,12
따뜻한,12
용할,12
요즘,12
만족스러운,12
칫솔,12
그런,12
치약,12
감동,12
기억,12
운영,11
위생,11
일반,11
부대,11
겨울,11
저수지,11
넓어,11
용품,11
숙박업소,11
드라이기,11
깨끗했습니다,11
보통,11
조용한,11
헬스장,11
인근,11
고급,11
편입,11
가짓수,11
무난,11
양호,11
다방,11
많은,11
은방,11
괜찮아요,11
입구,11
전혀,11
환기,11
다다,11
깔끔해요,11
베개,11
있지만,11
용할께요,11
술집,11
설명,11
그거,11
푹신하고,11
편안한,11
아쉽습니다,11
계획,11
화장,11
압도,11
직접,11
나름,11
업무,11
투숙,11
있었어요,11
도로,11
용하고있습니다,10
아쉬워요,10
불편했어요,10
편안하고,10
있었습니다,10
조절,10
용합니다,10
수준,10
간단하게,10
만족했어요,10
자고,10
시작,10
일이,10
비품,10
가능,10
전기장판,10
친절하시,10
해도,10
없었어요,10
간단히,10
날씨,10
매니,10
예전,10
구조,10
이안,10
경험,10
데스크,10
용하는데,10
면서,10
지인,10
신축,10
만족스러웠어요,10
주말,10
좋았던,10
기회,10
이마트,10
번창,9
편해요,9
아니라,9
따뜻해서,9
친절했습니다,9
확인,9
비데,9
음료,9
종종,9
소파,9
없어,9
얼음,9
좋은데,9
대체로,9
깔끔하니,9
딱히,9
가기,9
애용,9
고해,9
좋더라구요,9
고프,9
서사,9
자체,9
일정,9
변경,9
에스,9
그것,9
조명,9
모든,9
요일,9
관광,9
저렴하고,9
외출,9
새로,9
다양한,9
지금,9
맛있어서,9
고층,9
손님,9
즐거운,9
에이치,9
깔끔했어요,9
먼저,9
용했는데,9
지구,9
고장,9
생수,9
이틀,9
좋았는데,9
더블,9
중심,9
맛있습니다,9
요다음,9
음번,8
오래된,8
연결,8
구류,8
쿠션,8
향기,8
흡연,8
고스,8
작동,8
많은데,8
있구요,8
엄마,8
충분히,8
힐링,8
만족스럽습니다,8
공사,8
공기,8
친절해요,8
홀리데이인,8
운천,8
없어요,8
더욱,8
택시,8
미리,8
개선,8
옆방,8
트윈,8
토스트,8
발코니,8
에이,8
있을,8
있었지만,8
가까이,8
바디,8
여자친구,8
아늑하고,8
린스,8
검색,8
일회용,8
감사,8
방안,8
불편했습니다,8
달라,8
친절하시구,8
뷔페,8
떡갈비,8
광역시,8
불편함이,8
정리,8
롯데,8
편한,8
결혼식,8
편리합니다,8
깨끗하며,8
외관,8
로예,8
편리했습니다,8
이모,8
평일,8
대형,8
좁은,8
엘레베이터,8
이예,8
있네요,8
모던,8
프런트,7
금연,7
피로,7
여유,7
고물,7
주시,7
요금,7
오시,7
중간,7
같은데,7
좋겠습니다,7
개별,7
여름,7
사이즈,7
든든하게,7
좋을,7
점도,7
친절하십니다,7
레스토랑,7
신분,7
모임,7
맛있었어요,7
쾌적합니다,7
친절했어요,7
이기,7
기아,7
따뜻하게잘,7
편합니다,7
군데,7
백화점,7
장소,7
리모컨,7
맛있었습니다,7
광주시,7
깨끗하게,7
타일,7
약했는데,7
스탠다드,7
슬리퍼,7
두바이,7
최근,7
기대,7
그대로,7
유스퀘어,7
없는데,7
상무,7
좋을듯,7
나중,7
이유,7
유튜브,7
온수,7
휴식,7
공항,7
가능한,7
여자,7
이벤트,7
의향,7
부도,7
버스,7
시리얼,7
엘리베이터,7
필요한,7
서예,7
이제,7
편함,7
아쉬웠네요,7
집밥,7
제외,7
딱딱한,7
깨끗했고,7
거기,7
가도,7
좋았지만,7
가끔,7
