,freq
직원,20
모텔,20
객실,13
냄새,13
조식,13
화장실,13
시설,11
예약,10
최악,10
청소,10
상태,10
소리,9
이용,9
체크,9
후기,9
청결,9
머리카락,8
수준,8
장점,7
가격,7
사람,7
처음,7
전화,6
엉망,6
아침,6
배정,6
느낌,6
이불,6
수건,6
서비스,5
생각,5
전혀,5
고물,5
무료,5
없습니다,5
추가,5
샤워,5
응대,5
안내,5
방음,5
일찍,5
욕실,5
엘리베이터,5
냉장고,5
사진,5
도안,5
방도,5
침구,5
직접,4
확인,4
사용,4
결제,4
뭔가,4
새벽,4
개선,4
하니,4
관리,4
다시,4
좋지,4
담배,4
리뷰,4
이안,4
보고,4
위치,4
에어컨,4
방안,4
정도,4
달라,4
주차장,4
단점,4
먼지,4
일정,4
편의점,4
주변,4
제공,4
욕조,3
자체,3
절대,3
카페,3
걱정,3
위생,3
없어서,3
체인지,3
그대로,3
전기,3
커피,3
안되,3
비상,3
공사,3
작동,3
변기,3
그런,3
콘도,3
곳도,3
방이,3
근처,3
구석,3
얼룩,3
손님,3
없는,3
좋아서,3
없었습니다,3
평이,3
신경,3
복도,3
수압,3
입구,3
주차공간,3
일반,3
요청,3
안된,3
흡연,3
전자레인지,3
컨디션,3
기본,3
입실,3
주차,3
같네요,3
아닙니다,3
침대,3
아쉬웠습니다,3
참고,3
같습니다,3
이아,3
환불,3
연휴,3
넉넉함,2
김치,2
바닥,2
여자,2
공기,2
아닌가요,2
세번,2
부가,2
반응,2
다르네요,2
야할듯,2
한참,2
단체,2
동대구역,2
바베큐,2
다방,2
더위,2
사과,2
은방,2
아무,2
두번째,2
오래된,2
좀더,2
요구,2
일회용,2
히터,2
마지막,2
바람,2
요하,2
패딩,2
주말,2
이름,2
샴푸,2
심하게나서,2
기도,2
쉰내,2
엄청났습니다,2
대충,2
머리,2
프런트,2
는걸,2
라그,2
뷔페,2
에이,2
찾기,2
면서,2
라면,2
내부,2
어렵게,2
밤늦게,2
비누,2
변경,2
황당,2
음식,2
의자,2
문도,2
없어,2
선택,2
계획,2
가족,2
룸서비스,2
나름,2
불편했어요,2
아예,2
겨울,2
건물,2
괜찮았습니다,2
아쉽습니다,2
온도,2
엘베,2
마감,2
숙박업소,2
생수,2
트윈,2
페트병,2
종이컵,2
테이블,2
당황,2
추워서,2
인후,2
차량,2
걸이,2
없었으며,2
베드,2
오물,2
물이,2
프린터,2
소음,2
연결,2
실망,2
프론트,2
주의,2
의안,2
방법,2
저녁,2
은하,2
어른,2
자고,2
셀프,2
좋음,2
천원,2
사항,2
좋겠어요,2
자국,2
미리,2
이별,2
고함,2
전체,2
별로,2
수구,2
없으니,2
다룸,2
대비,2
없다,2
안보,2
연락,2
교통,2
안전,2
문제,2
아니라,2
곰팡이,2
식기,2
아닌,2
볼일,2
준비,2
상관없다고,2
인테리어,2
음료,2
기준,2
패키지,2
먼저,2
깨끗한,2
대답,2
전기레인지,2
종이,2
아깝고,2
안되고,2
있다는,2
반려견,2
창문,2
현금,2
전반,2
강아지,2
고장,2
도제,2
고해,2
비지니스,2
취사,1
연히,1
지배인,1
식사,1
코트,1
마넌,1
여인숙,1
못함,1
정해,1
가능하고,1
도당,1
도롱,1
이몸,1
달성군,1
많으셔서,1
벌레,1
끔찍하네요,1
불편할듯,1
배달,1
마인드,1
니요,1
진행,1
진심,1
해나,1
냒임,1
급히,1
가라,1
못해,1
극구,1
방충,1
야하는데,1
신랑,1
전화하려다,1
깨끗하지도,1
아니고,1
이용자,1
카폐,1
또밖,1
관리인,1
불편,1
가요,1
용하기,1
조명,1
크기,1
일반인,1
작고,1
친절하셨어요,1
라카,1
고춧가루,1
계란후라이,1
더더,1
용했는데,1
로주,1
개봉,1
이예,1
요인,1
약하면,1
그런건,1
외투,1
대신,1
조용하고,1
산속,1
다모아,1
감안,1
믹스,1
남편,1
추합니다,1
사드,1
맛있음,1
어떨지,1
후회,1
있음,1
식당,1
좁지만,1
문인,1
깨끗하고,1
차로,1
단위,1
은비,1
먹음,1
밥못,1
첨부,1
작은,1
어이없음,1
오래되어,1
좋았던,1
맥주,1
많았지만,1
야채,1
과일,1
시들시들,1
주신,1
귀여웠어요,1
내해,1
만족했을,1
용했어요,1
같아서,1
똑같을것,1
서방,1
딱히,1
건데,1
예쁘고,1
좁은데,1
약함수건,1
예민한데,1
어두웠어요,1
더워서,1
동작,1
불가능,1
현장,1
아침식사,1
비즈니스,1
예상외,1
아닌데,1
필요합니다,1
대안,1
도인,1
시끄러운건,1
한밤,1
파크,1
심해서,1
도착,1
약했습니다,1
안나,1
좋다는,1
아니요,1
간방,1
무심해서,1
퀘퀘,1
비슷하겠다싶어서,1
주위,1
사해,1
리모컨,1
도키,1
도시락,1
려고,1
기기,1
조절,1
있던것처럼,1
미지근했,1
고시원,1
시트,1
교체,1
많았어요,1
툭툭,1
사장,1
친절하셨지만,1
추천,1
보태,1
평가,1
회장,1
완벽하게,1
학습,1
고객,1
전파,1
총평,1
온돌,1
스탠다드,1
최대,1
인룸입니,1
인용,1
담요,1
미취,1
아동,1
세트,1
부족해서,1
인기,1
준방,1
이기,1
어렵답니다,1
아니었는데,1
야하기,1
안된답니다,1
덕분,1
타월,1
형편,1
로비,1
몇번,1
뜨거운,1
장물,1
뻔쩍,1
더러워서,1
비위,1
가상했습니다,1
오줌,1
추정,1
노란,1
액체,1
가흥,1
있었습니다,1
자제,1
번지르르,1
굉장히,1
친절했습니다,1
프로,1
안된다고,1
베드로,1
업그레이드,1
음료수,1
콜라,1
자몽,1
아픔,1
을해,1
그런지,1
그것,1
바깥,1
괜찮았으나,1
온수,1
새로,1
불친절하고,1
고민,1
가게,1
황당하네요,1
똑같습니다,1
볼수,1
칠곡,1
음식점,1
다스,1
벅베,1
스킨,1
고기,1
집도,1
많고하지만,1
데스크,1
친절하셨으나,1
레스토랑,1
태도,1
웃음,1
얼굴,1
스러웠,1
고조,1
메뉴,1
비해,1
무니,1
부적,1
달랐습니다,1
이서,1
해도,1
없을,1
같은,1
양호,1
힘들고,1
도약,1
빠르다는,1
부분,1
고려,1
번은,1
와부,1
무난,1
관광,1
동이,1
용이하다는,1
밤새,1
옆방,1
대화,1
불편하,1
다르겠지,1
기대했으나,1
대단히,1
용했지만,1
인하고,1
아까워,1
좋을듯,1
용할,1
좋을,1
외관,1
쓰시,1
먹통,1
픽업,1
예상,1
주시,1
안쪽,1
고리,1
전기장판,1
유로,1
난방,1
차서,1
친구,1
덜덜,1
제일,1
거북했던,1
이요,1
도아,1
있는데,1
거북했어요,1
따뜻한,1
코로나,1
이후,1
시작,1
같다는,1
재기,1
애정,1
그래요,1
음침해서,1
대해,1
실내,1
드라이기,1
선풍기,1
약해요,1
가세,1
현실,1
경악,1
놀래서,1
지름,1
개판,1
하바,1
방은수,1
휴지통,1
개념,1
없구요,1
타고,1
문두,1
노래방,1
하퇴,1
가능합니다,1
한쪽,1
검게,1
가제,1
괜찮습니다,1
좋다까지는,1
친절,1
용이,1
비싼데,1
무서웠고,1
미닫이,1
온몸,1
웠습,1
매우,1
지저분했습니다,1
친절했으나,1
바디,1
난생처음,1
거품,1
벅벅,1
약도,1
안좋길래,1
스위트룸,1
도정,1
불만족,1
스럽습니다,1
가지,1
실제,1
어어어어,1
방수,1
마루,1
비닐,1
인지,1
들떠서,1
뻐걱뻐걱,1
가나,1
고비,1
쪽물,1
많아요,1
계속,1
없는말하면,1
아픈다신,1
안감,1
원래,1
전력,1
전화하려고,1
데이터,1
통해,1
무서웠어요,1
가끔,1
있다고,1
딱좋음,1
보통,1
정전,1
있는지,1
아닌가,1
없던,1
폐쇄공포증,1
온건,1
박하면서,1
번했네요,1
세면,1
안심,1
여성,1
없는데,1
친절함,1
향기,1
도입,1
다처,1
시어,1
가안,1
노답,1
안되는건,1
고질,1
같음,1
대표,1
번호,1
전화하면,1
로프,1
연결하면,1
와이파이,1
비번,1
배치,1
문자,1
신축,1
공휴일,1
뭐함,1
대물,1
천장,1
이하나,1
새로주신,1
고간,1
신발,1
쇼파,1
잔뜩,1
정체,1
모로인,1
깊은,1
수영장,1
홍보,1
많아,1
서기대,1
규모,1
작은건,1
갈색,1
정장,1
피부,1
남자,1
불친절,1
등록,1
시문,1
짜증,1
참전,1
번했는데도,1
어두웠고,1
심각하네요,1
경량,1
누가,1
문고,1
리안,1
큰일,1
뻔했습니다,1
누구세요,1
젊은,1
목소리,1
죄송합니다,1
실수,1
정중히,1
무도,1
체감,1
영하,1
날씨,1
방만,1
제대로,1
안좋은,1
웬만해서는,1
만족,1
아아,1
높아서,1
서지,1
니스,1
요다음,1
곳재,1
금일,1
착해서,1
뒷쪽,1
잔디밭,1
이용도,1
그러네요,1
기만,1
결혼기념일,1
안될것,1
위로,1
메리어트,1
인연,1
수고,1
비위생적,1
금액,1
아깝습니다,1
취소,1
연박,1
시오,1
유도,1
와인잔,1
와인,1
비교,1
있어요,1
인접,1
한경,1
주최,1
집성촌,1
옺골,1
마을,1
팔공산,1
벚꽃,1
여행가,1
숙박시설,1
깔끔했어요,1
상권,1
고요,1
인근,1
있었는데,1
더라구요,1
편의,1
점도,1
있던데,1
착해서인지,1
충분했어요,1
대한,1
안이,1
고추가,1
다른건,1
저런,1
안치,1
꼼꼼하게,1
더럽지,1
동성로,1
택시,1
기사,1
잘못,1
번화가,1
아쉽,1
무조,1
어둠,1
변기수,1
리좀,1
샤워실,1
이상한,1
악취,1
같은게,1
완전,1
우노,1
아래,1
괜찮았는데,1
다재,1
후회됩니다,1
중요할듯,1
돌침대,1
딱딱하고,1
장공,1
사소리,1
여관,1
안됨,1
떡국,1
토스트,1
시리얼,1
기대하지,1
즐겁게,1
검정색,1
티비,1
화면,1
이크,1
보기,1
탁자,1
넷플릭스,1
가지원,1
건스,1
타일러,1
말투,1
여태,1
황당하고어이가,1
프린트,1
심하게,1
아들,1
아빠,1
단둘,1
필요하여,1
사전,1
센터,1
가능하다고하여,1
칠지도,1
이메일,1
대외,1
어메니티,1
문서,1
어렵다고,1
분명히,1
참으로,1
무책임한,1
쿰쿰한,1
불편해요,1
관련,1
물품,1
기저귀,1
외부,1
약속,1
다가,1
모델링,1
오지,1
도저히,1
안되겠,1
그럴수,1
없다고,1
큐티브,1
층룸,1
도리,1
필요한,1
인해서,1
여기저기,1
왠만하면,1
자세히,1
체모,1
교환,1
드릴,1
의도,1
하노,1
약해서,1
용했네요,1
발리,1
한장,1
물밑,1
양심,1
지모,1
냄비,1
기름,1
더러웠어요,1
설거지,1
실하면,1
괜찮았어요,1
마개,1
사이즈,1
소파,1
높낮이,1
마주,1
차이,1
주보,1
있으니,1
예쁘한데,1
어딘가,1
강했네요,1
금연,1
입니,1
다단,1
구역,1
프라이팬,1
더러웠,1
요물,1
아니였어요,1
오픈,1
시끄러운,1
있으면,1
모닝콜,1
야합,1
다지,1
이이,1
용했을,1
때재,1
모로,1
지하,1
은한,1
검사,1
스러웠어요,1
설정,1
서약,1
간단하게라도,1
법안,1
가전체,1
무뚝뚝한,1
청결한,1
이미지,1
벽지,1
찝찝함이,1
고변,1
회전,1
안되는,1
가로,1
대면,1
로안,1
세로,1
필요해,1
보임,1
라며,1
카운터,1
고층,1
다나,1
안남았다라고,1
말씀,1
애초,1
그런말을,1
의문,1
가볍게,1
저렴한,1
엎친데덮친격,1
제거,1
기물,1
해달,1
방향,1
베개,1
재활,1
용할수있는,1
뚜껑,1
찝찝했네요,1
말소리,1
비행기,1
라나,1
오래되었군요,1
아깝다요,1
좀잘,1
좋겠네요,1
비호감,1
기별,1
점단,1
클라이언트,1
심리,1
없네요,1
스프레이,1
로션,1
많고,1
세면대,1
안되어있고,1
습했어요,1
다운,1
공종,1
어리둥절했네요,1
러하,1
만족한,1
아니어서,1
에놀,1
불편함이있네요,1
경관,1
좋았구요,1
산책,1
리버,1
좋네요,1
식당가,1
도심지,1
있지만,1
오기,1
꼼꼼히,1
용한,1
데자,1
환한,1
국물,1
이확,1
냅킨,1
일체,1
불안,1
소서,1
타격,1
화가,1
그럴,1
싸하게,1
다한,1
줄평,1
전예,1
약해도,1
선정,1
쾌쾌,1
소재,1
방문자,1
힘들어,1
보이,1
하나요,1
건아,1
기대,1
친절하진,1
아이스,1
이따,1
구매,1
신중하게,1
