,freq
청결,508
조식,286
시설,278
객실,269
직원,242
이용,191
주변,174
주차,172
가격,166
예약,149
위치,145
화장실,138
생각,123
침대,123
침구,115
넓고,111
아침,111
근처,106
상태,104
욕조,104
정도,99
느낌,93
친절하고,88
스타,82
욕실,82
주차장,77
추천,75
냄새,75
서비스,74
컨디션,72
편의점,72
체크,71
매우,70
청소,66
친절하시고,64
소리,58
사진,57
방음,57
가족,57
사장,56
같습니다,56
만족합니다,53
방이,53
커피,52
샤워,52
완전,52
카페,50
식당,50
처음,50
분위기,49
제공,49
수영장,48
인테리어,48
로비,46
방도,46
동성로,45
식도,44
편하게,44
사용,44
모텔,43
불편,43
무료,42
조용하고,42
맛집,41
많고,41
창문,40
기도,40
관리,39
무조건,39
청결하고,39
대비,39
전체,39
건물,39
같은,39
없어서,39
추합니다,38
구출,38
수건,38
소음,38
부분,38
바닥,38
좋음,38
넓어서,37
다시,37
전혀,36
동대구역,36
저녁,36
접근성,35
있지만,35
내부,35
리뷰,35
좋아서,35
티비,34
시내,34
친절,33
좋네요,33
사람,33
구비,33
어메니티,32
온도,32
역시,32
의자,32
음식,32
만족,32
공간,31
깔끔한,31
주차공간,31
친구,30
아쉬운,30
단점,30
편하게잘,30
걸이,30
조명,29
난방,29
걱정,29
응대,29
수성,29
편히,28
코로나바이러스,28
식이,28
라면,28
캉스,27
체크아웃,27
다양하고,27
장점,27
전반,27
가까워서,27
안마,26
모델링,26
준비,26
환경,26
예정,26
산책,26
같고,26
에어컨,26
조용해서,25
고조,25
급하게,25
분리,25
좋았,25
친절하게,25
있음,25
선택,25
깨끗해서,25
가기,25
가깝고,25
새벽,25
편하고,25
종류,24
일이,24
보고,24
덕분,24
배달,24
만족스러웠습니다,24
공기,24
나쁘지,24
주위,24
있어요,24
머리카락,23
추가,23
제일,23
청결해서,23
프론트,23
담배,23
맛있었어요,23
냉장고,22
입실,22
일정,22
칫솔,22
한식,22
문제,22
별로,22
신경,22
수압,22
살짝,22
먹거리,22
없어,22
토스트,21
투숙,21
좋다,21
친절하셔서,21
저렴한,21
괜찮았어요,21
타워,21
갈수,21
도보,20
가지,20
오래된,20
친절합니다,20
만족했습니다,20
샤워실,20
입니,20
테이블,19
기대,19
요다음,19
용했습니다,19
감수,19
모든,19
먼지,19
먹기,19
넓은,19
일찍,19
크게,19
지역,18
스타벅스,18
검색,18
휴식,18
괜찮은,18
가면,18
깔끔해서,18
번화가,18
그런지,18
포함,18
신관,18
맛있고,18
굉장히,18
추억,18
업그레이드,18
인터,18
좋았네요,18
안내,17
작동,17
사우나,17
나름,17
힐링,17
확인,17
카운터,17
같아,17
다룸,17
있는데,17
감동,17
공기청정기,17
불편함,17
신분,17
많은,17
조절,17
아기,16
기본,16
도착,16
에드,16
타일러,16
도크,16
인근,16
묵고,16
용했어요,16
바디,16
수영,16
좋게,16
지하,16
없네요,16
실내,16
작은,16
복도,16
없었습니다,16
뷔페,16
기억,16
깨끗한,16
교통,16
용할,15
곳도,15
미리,15
용하는,15
세면대,15
신축,15
전화,15
샴푸,15
이동,15
치약,15
친절한,15
시리얼,15
식사,15
커튼,15
따뜻하고,15
가운,15
충전기,15
편안하게,15
넷플릭스,15
부모님,15
다가,15
후기,15
있었어요,15
있으면,15
안나,15
편의,15
배정,14
커서,14
고객,14
에이,14
공사,14
괜찮고,14
해결,14
자체,14
도안,14
손님,14
쾌적하고,14
무난,14
용했는데,14
부대,14
좋았는데,14
계속,14
그것,14
번창,14
음료,14
술집,14
그거,14
데스크,14
아쉬웠어요,14
컴퓨터,14
요청,14
쿠폰,14
옆방,14
깨끗했어요,14
편안한,14
기회,14
퀄리티,13
꿀잠,13
가장,13
불편한,13
생수,13
겨울,13
비용,13
차량,13
가게,13
물이,13
만족한,13
깨끗해요,13
잠도,13
비치,13
메뉴,13
변기,13
아쉬웠습니다,13
한편,13
공원,13
없는,13
크기,13
비지니스,13
고민,13
일회용,13
간단한,13
평일,13
있었는데,13
따뜻한,13
보이,13
인상,13
구조,12
스파,12
도로,12
좋았구요,12
노후,12
용하기,12
편리했습니다,12
가나,12
없을것,12
비즈니스,12
다양한,12
온천,12
베개,12
맛있게,12
가능한,12
없어요,12
장오,12
자고,12
친절했습니다,12
가까운,12
아쉽네요,12
중심,12
용품,12
엄마,12
할인,12
충분히,12
요조,12
저렴하고,12
쉬다,12
이아주,12
고물,12
편했습니다,12
도심,12
도편,12
좋은데,12
다방,11
있었지만,11
파크,11
헬스장,11
그런,11
좋을것,11
만족하고,11
피로,11
보기,11
어플,11
간단하게,11
반신,11
주말,11
택시,11
엑스코,11
요리,11
용하는데,11
푹신하고,11
사이즈,11
차로,11
더블,11
같네요,11
중앙,11
참고,11
설명,11
부도,11
확신,11
아쉬웠지만,11
필요한,11
점도,11
