,freq
모텔,20
예약,14
직원,10
생각,10
주차,9
청결,9
상태,8
청소,8
가격,8
정도,8
객실,7
침대,7
리뷰,7
냄새,6
별로,6
샤워,6
최악,6
먼지,6
시설,5
바닥,5
화장실,5
이불,5
보이,5
완전,5
아침,5
창문,5
유성,4
카운터,4
다시,4
없어서,4
엉망,4
실망,4
전화,4
사진,4
모델링,4
일부러,4
조식,4
변기,3
사용,3
좋게,3
대화,3
친절,3
깔끔해,3
없는,3
주차장,3
사람,3
비지니스,3
담배,3
보기,3
지저분하고,3
확인,3
줄알,3
난방,3
마냥,3
크기,3
소리,3
부족,3
처음,3
티비,3
도안,3
전기장판,3
있었고,3
오피스텔,3
없었습니다,3
개선,3
없습니다,3
이용,3
그대로,3
친구,3
편의점,3
불량,3
없네요,3
고객,3
건물,3
누가,2
손님,2
준비,2
이아,2
수준,2
침구,2
공사,2
길이,2
히터,2
서예,2
투숙,2
칫솔,2
커서,2
아니라,2
머리카락,2
분위기,2
곳곳,2
야하는데,2
프론트,2
서비스,2
두운,2
약했는데,2
가지,2
제대로,2
전기,2
방음,2
같네요,2
라마,2
바퀴벌레,2
가나,2
같은데,2
욕조,2
환불,2
방안,2
괄호,2
당황,2
이상한,2
수압,2
안좋았어요,2
겨울,2
그런,2
환기,2
에어컨,2
짜증,2
샤워실,2
물이,2
책임감,2
주변,2
전체,2
자체,2
달라,2
광고,2
기계,2
자고,2
슬리퍼,2
신분,2
새로,2
부의,2
냉장고,2
컨디션,2
교육,2
청사,2
수가,2
공영,2
솔직,2
심각합니다,2
이건,2
외부,2
내부,2
계속,2
필요해,2
일찍,2
이해,2
관리,2
안됩니다,2
그래요,2
입실,2
후기,2
덕분,2
문자,2
여직원,2
커버,2
싫어서,2
주차공간,2
숙박업소,2
오래된,2
차액,1
적합하다고,1
기겁,1
어처구니없는,1
현장,1
저녁,1
호실,1
추웠어요,1
가능한,1
온갖,1
빠르게,1
심장,1
샤샤,1
외국인,1
잠도,1
은한,1
없는데,1
체크아웃,1
은공,1
있는게,1
손가락,1
본적,1
통뒤,1
끔찍했어요,1
취사,1
중간,1
동이,1
좋다고,1
입니,1
좋고가,1
깨끗하고,1
역시,1
방충,1
시원하지,1
작은건,1
다른사람,1
보임,1
뽀얗게,1
걸이,1
좁음,1
스탠다드,1
함방,1
좋길래,1
있었네요,1
있었지만,1
공기청정기,1
없으신,1
딱히,1
사장,1
많아,1
없으며,1
전혀,1
나은,1
보태,1
좀더,1
흔적,1
을해,1
넷플릭스,1
디즈니,1
보고,1
모든,1
길게,1
용하시려는,1
에이,1
도대체,1
운영,1
비즈니스,1
제발,1
간단히,1
댓글,1
때뮨,1
안된다고,1
플러스,1
가능하지만,1
청하면,1
요청,1
변경,1
저렴히,1
처리,1
블라인드,1
조용한,1
말로,1
표현,1
비교,1
장점,1
복도,1
온도,1
조명,1
좋겠는데,1
아쉬워요,1
일회용,1
리모컨,1
많아요,1
아님,1
비싸고,1
문제,1
복장,1
말투,1
스럽,1
고조,1
약속,1
면서,1
체널,1
환급,1
일부,1
더라구요,1
얘기,1
서문,1
의했더니,1
없었으면,1
크게,1
보시,1
그러시더라구요,1
용하는걸,1
수수료,1
야하는거,1
아닙니까,1
용하지,1
사정,1
이틀,1
취소,1
안눌림,1
장난,1
나방,1
옆쪽,1
세면대,1
괜찮았지만,1
배수,1
잘되지,1
도저히,1
없을,1
중구,1
동구,1
제자,1
싫어지더군요,1
위해,1
라면,1
가기,1
최근,1
중제,1
래서,1
베개,1
보통,1
종류,1
정체,1
불명,1
액체,1
자국,1
소용없었어요,1
황당했어요,1
허가,1
결과,1
좋겠어요,1
저렴했어요,1
카테고리,1
깨끗해,1
없길래,1
부띠,1
없었어요,1
카톡,1
가안,1
인용,1
없는게,1
아쉬웠,1
행사,1
있으셔서,1
작업,1
샴푸,1
고있어요,1
자세한,1
설명,1
생략,1
아쉬웠고,1
매트,1
려고,1
지저분해서,1
음이름,1
세트,1
코튼,1
차가워용,1
개별,1
따뜻하게,1
한계,1
있었어요,1
풍도,1
문의,1
온돌방,1
없다고,1
굉장히,1
답변,1
방이,1
없나,1
고려,1
개조,1
온돌,1
신물,1
불친절하고요,1
상세,1
씼음,1
일어나서,1
따뜻한,1
점점,1
미지근해지더니,1
마지막,1
찬물,1
삼차,1
각질,1
얼룩,1
분명,1
가면,1
원추,1
디자인,1
하래,1
이차,1
하얀,1
낭패,1
좋은지,1
보지,1
분류,1
힘들,1
고씨,1
악취,1
좋아서,1
아니였음,1
자발,1
야하지,1
일차,1
짜증났음,1
안되어서,1
곰팡이,1
안마,1
웃돈,1
메뉴,1
오니,1
체크,1
그런다는게,1
굳이,1
시간대,1
실하고난,1
요하,1
편하게,1
정이,1
중요한,1
진동,1
귀옆,1
있을,1
이한창,1
같지,1
신경,1
보아,1
가구,1
무난,1
노상,1
가능,1
승용차,1
부족하며,1
포함,1
지하,1
지상,1
추워요,1
딱딱하고,1
새벽,1
웬만하면,1
있던,1
화가,1
몇번,1
고프,1
고민,1
데리,1
더블,1
디럭스,1
이돈,1
불편,1
안됨,1
놀랬네요,1
실화,1
메이드,1
진심,1
좀하시길,1
실리,1
화장,1
충격,1
전화해서,1
주가,1
평소,1
그럴,1
클린,1
추웠답니다,1
심해,1
가웃,1
없는데다,1
반복,1
없다고만,1
서해,1
업체,1
말씀,1
시기,1
한남,1
안되고,1
그럴듯,1
없어,1
없었네요,1
담벼락,1
그랬어요,1
초대,1
이럴거면,1
지역,1
만상,1
스럽고말,1
대처,1
많았는데,1
실망했네요,1
데넘,1
잘못,1
고간,1
이하,1
요기,1
친절해,1
안남,1
세탁,1
침대보,1
플레인,1
롯데,1
더라고요,1
헤드,1
쓰던,1
좀어이가,1
도열,1
커튼,1
퇴실후,1
단속,1
출구,1
필요한,1
글쎄요,1
디다,1
둥마는둥,1
물더,1
응대,1
아파요,1
허리,1
이잠,1
동하,1
타고,1
버스,1
출발,1
이면,1
조절,1
직진,1
업무,1
어두워서,1
후문,1
아닌,1
정문,1
신호등,1
횡단보도,1
아니지만,1
위험할,1
단점,1
대학병원,1
판이,1
다가,1
안된,1
다운,1
첨부,1
같습니다,1
아깝습니다,1
목소리,1
샷시,1
알루미늄,1
도아,1
이중창,1
게다,1
옆방,1
똑같고,1
주네,1
매일,1
필요,1
새로리,1
구매,1
춥다,1
장판,1
아예,1
따뜻하지도,1
가작,1
같은,1
요즘,1
작은거,1
많았을텐데,1
실망했어요,1
드릴,1
로서,1
주인,1
예식,1
부모님,1
레지던스,1
뻔했습니다,1
있으,1
없다,1
한심해서,1
입니다하도,1
고저,1
서전,1
안해,1
진창,1
좋게나,1
별점,1
점수,1
최하,1
맛있다고,1
식이,1
고해,1
차량,1
절대로,1
아쉽네요,1
위생,1
유료,1
제공,1
일회용품,1
욕실,1
낮은,1
느낌,1
만리,1
요방,1
만하,1
저렴할,1
저렴하다고,1
이세,1
그랬는지는,1
말해뭐해,1
대비,1
런트,1
영업,1
원룸,1
불가,1
임왜,1
보조,1
그런히,1
채덩,1
참고,1
개념,1
정신병,1
거지,1
이야기,1
확실하니까,1
애매하면말,1
황당합니다,1
실수,1
더니,1
전화했는데,1
분실물,1
마는,1
손해,1
있네요,1
낡고,1
용할께요,1
안되어있더라구요,1
같았다,1
제일,1
정돈,1
좋지,1
락달락,1
야합,1
해변,1
불편했어요,1
셋탑박스,1
친절한,1
힘들어,1
리기,1
채널,1
수건,1
같아서,1
있길래,1
수도꼭지,1
가운데,1
장보고,1
서서,1
있는데,1
청소직원,1
이따,1
엉덩이,1
볼때,1
옛날,1
불편해서,1
많은데,1
나쁘지,1
용하기는,1
심해도사,1
노후,1
환경,1
요소,1
없네,1
일별,1
