,freq
청결,367
객실,218
가격,205
조식,174
주차,172
이용,170
직원,170
시설,167
위치,161
주변,152
화장실,129
침대,125
근처,110
생각,107
매우,100
상태,99
침구,90
느낌,89
예약,89
정도,77
컨디션,72
주차장,70
체크,70
편의점,69
추천,65
냄새,64
욕실,63
같습니다,63
아침,61
편하게,61
청소,58
샤워,57
방음,57
방도,56
친절하시고,56
넓고,56
친절하고,55
온천,53
모텔,53
처음,52
욕조,49
대비,47
전체,45
맛집,45
사장,44
수압,44
티비,43
만족합니다,43
식당,42
제공,41
로비,40
바닥,39
없어서,39
가까워서,39
사진,38
건물,38
소음,38
담배,37
방이,37
서비스,37
프론트,37
청결하고,36
유성,36
난방,35
소리,35
접근성,34
백화점,34
유두,33
인테리어,33
어메니티,33
단점,33
공간,32
착한,32
나름,31
저녁,31
의자,30
성심당,30
기도,30
내부,29
제일,29
사용,29
다시,29
장점,29
좋어요,29
같은,29
음식,29
부분,28
관리,28
주말,28
따뜻하고,28
자체,27
물이,27
커피,27
깔끔해서,27
카페,27
먹거리,27
먹기,27
굉장히,27
친구,27
카운터,27
만족,27
응대,26
있는데,26
나쁘지,26
없었습니다,25
안나,25
사람,25
구비,25
문제,25
준비,25
전반,25
무료,25
이동,25
완전,24
좋네요,24
칫솔,24
많아,24
스타,24
투숙,24
용했습니다,24
친절하게,24
있어요,23
선택,23
음식점,23
편안하게,23
넓어서,23
좋아서,23
깔끔한,22
도편,22
식사,22
무난,22
아울렛,22
넷플릭스,22
좋게,22
편의,22
많고,22
가족,22
식도,22
레지던스,22
있음,22
둔산동,22
괜찮았어요,22
기본,21
냉장고,21
체크아웃,21
오래된,21
조용하고,21
신세계,21
분위기,21
살짝,21
외부,21
세탁기,21
커서,21
지하,20
친절,20
좋음,20
창문,20
에이,20
간단한,20
만족스러웠습니다,20
묵고,19
이마트,19
인근,19
계속,19
좋을것,19
아쉬운,19
도크,19
포함,19
참고,18
온수,18
편하고,18
용할,18
모델링,18
번화가,18
실내,18
예정,18
스파,18
안마,18
없는,18
주차공간,18
같네요,18
시티,17
없습니다,17
주위,17
같아,17
연결,17
깨끗해서,17
엘리베이터,17
덕분,17
가기,17
입구,17
사우나,17
걱정,17
먼지,17
업무,16
시내,16
깨끗한,16
중간,16
캉스,16
괜찮은,16
미리,16
도보,16
친절하십니다,16
신경,16
테이블,16
곳도,16
쇼핑,16
압도,16
비지니스,15
크기,15
골목,15
좋겠어요,15
입실,15
리뷰,15
저렴한,15
온도,15
중앙,15
간단히,15
개인,15
입니,15
에어컨,15
추가,15
친절하셔서,15
가장,15
일이,15
위생,15
가깝고,15
복도,14
피로,14
치약,14
수건,14
세면대,14
이불,14
면서,14
세탁,14
용하기,14
후기,14
비즈니스,14
가면,14
아기,14
편히,14
친절하셨어요,14
용했어요,14
넓은,14
비데,14
한식,14
수영장,13
보고,13
푹신하고,13
만족했습니다,13
보일러,13
용하는,13
괜찮았습니다,13
확인,13
찾기,13
외관,13
지역,13
방안,13
커튼,13
괜찮습니다,13
기억,13
지하철역,13
따뜻해서,13
요다음,13
게이,13
만족스럽습니다,13
불편한,13
온돌,13
가능,13
용할게요,13
취사,13
겨울,13
불편함,13
가나,13
다룸,12
레이더스,12
많아요,12
있었습니다,12
해결,12
매니,12
공원,12
직접,12
데스크,12
편안하게잘,12
퀄리티,12
평일,12
같아서,12
여유,12
침실,12
기회,12
더욱,12
좋았구요,12
보통,12
자고,12
금액,12
전자레인지,12
충전기,12
타워,12
유지,12
있으면,12
구매,12
샤워실,12
많습니다,12
모든,12
바디,12
비치,12
종류,11
교통,11
용품,11
식이,11
맛있어요,11
유성온천역,11
친절한,11
두번째,11
조명,11
요조,11
불편,11
좋구요,11
무조건,11
하룻밤,11
보로,11
편안하고,11
요청,11
조용해서,11
사항,11
오시,11
옆방,11
없어요,11
가지,11
정리,11
싱글,11
편리합니다,11
라면,11
개별,11
전혀,11
편했습니다,11
편리하고,11
