,freq
냄새,25
직원,25
객실,18
침대,17
소리,15
생각,14
모텔,14
청소,14
느낌,12
창문,12
방음,12
고객,11
거울,11
정도,11
주차,11
공사,11
예약,11
위치,11
베개,10
상태,10
처음,10
얼룩,10
최악,9
리뷰,9
오션,9
안내,9
수영장,9
청결,9
체크,8
사용,8
시설,8
침구,7
추가,7
사진,7
체크아웃,7
건물,7
같은,7
문의,6
수준,6
같네요,6
프론트,6
난방,6
별도,6
사람,6
화장실,6
바다,6
없어서,6
샤워,6
엉망,6
교체,6
소음,6
그대로,6
누가,6
컨디션,6
먼지,6
가격,5
보고,5
서비스,5
이용,5
관리,5
안됨,5
센터,5
해운대,5
머리,5
이미지,5
착각,5
친절,5
없는,5
별로,5
처리,5
주차장,5
에어컨,5
교육,5
손님,5
머리카락,5
오피스텔,4
규모,4
요금,4
비밀번호,4
신분,4
참고,4
오래된,4
도안,4
연락,4
안되서,4
바닥,4
응대,4
조명,4
번호,4
욕실,4
수건,4
다시,4
광안대교,4
있음,4
영수증,4
센스,4
안보,4
변기,4
부분,4
손가락,4
같습니다,4
없습니다,4
기본,4
담배,4
절대,4
이불,4
없을,4
한참,4
실망,4
매우,4
엘리베이터,4
도아,4
블라인드,4
커버,3
방안,3
전화,3
투숙,3
입구,3
변경,3
뚜껑,3
좋아서,3
있는데,3
불친절,3
신경,3
실제,3
냉장고,3
선택,3
사용자,3
일반,3
싱글,3
수영,3
아니고,3
불만,3
옆방,3
인테리어,3
많음,3
가운,3
고함,3
아닌,3
테라스,3
가족,3
광안,3
새통,3
할인,3
시트,3
영도,3
공간,3
데스크,3
후기,3
안되어,3
전체,3
항의,3
서방,3
열한시,3
중앙,3
안된,3
매트,3
운영,3
미리,3
없어요,3
계속,3
일정,3
은방,3
달라,3
많습니다,3
사이,3
역대,3
입실,3
인근,3
난리,3
남자,3
작동,3
해도,3
확인,3
직접,3
여자,3
화장,3
좋게,2
이구,2
넷플릭스,2
힘들었습니다,2
이그,2
요즘,2
엘베,2
기다림,2
안좋아서,2
대한,2
보관,2
전날,2
면도기,2
고급,2
없었음,2
티비,2
에어,2
당황,2
스파,2
일회용품,2
식당,2
괜찮았는데,2
버튼,2
매트리스,2
거기,2
용하는,2
사과,2
아침,2
서온,2
아쉬운,2
좋음,2
상당히,2
오후,2
관광,2
시끄러,2
아니라,2
여기저기,2
깜짝,2
안되는,2
벌금,2
할아버지,2
퇴실,2
좁고,2
캐리어,2
외국인,2
전반,2
고전,2
이건,2
환불,2
결제,2
애초,2
커텐,2
여유,2
작고,2
온돌방,2
미흡한듯,2
현관,2
새벽,2
사십분,2
하수,2
도어,2
벽지,2
이별,2
도나,2
나머지,2
향기,2
크게,2
오토바이,2
접근성,2
근처,2
해운대역,2
카펫,2
추천,2
로안,2
장사,2
같음,2
시끄럽고,2
대화,2
표정,2
가작,2
관광객,2
아쉽네요,2
이안,2
주문,2
나쁘지,2
방이,2
숫자,2
필요한,2
작은,2
방식,2
세면대,2
엘레베이터,2
사항,2
기대,2
고려,2
가요,2
둘째,2
기전,2
귀책사유,2
비슷한,2
실내,2
서안,2
많고,2
비치,2
같은데,2
금방,2
대비,2
여인숙,2
동남아,2
아님,2
디파,2
요구,2
더니,2
휴지,2
등록,2
있어요,2
대위,2
세면,2
날씨,2
차가,2
맥주,2
대체,2
숙박시설,2
을해,2
그러려니,2
업체,2
해결,2
이상한,2
행사,2
거실,2
잘못,2
아예,2
가차,2
안좋은,2
부산여행,2
죄송하다,2
그거,2
하이,2
기온,2
상이,2
조치,2
인피니트,2
약해서,2
고장,2
야외,2
만하,2
설명,2
슬리퍼,2
온수,2
건데,2
만사,2
경험,2
테이블,2
입장,2
그득,2
이해,2
대응,2
만족,2
장점,2
운동,2
전혀,2
자리,2
쓰레기,2
태도,2
나진,2
쇼파,2
문제,2
굳이,2
안감,2
포함,2
테스,2
신안,2
작음,2
복도,2
커플,2
발생,2
의문,2
이제,2
고해,1
그런,1
구매,1
명시,1
세탁기,1
유쾌한,1
난치,1
야할까,1
베드,1
시가,1
안된다지만,1
가향,1
모션,1
예민하,1
이면,1
커튼,1
야합,1
추웠습니다,1
제탓,1
없는거,1
아니었습니다,1
흡연,1
아이디,1
힘들었고,1
별점,1
낮게,1
연동,1
핸드폰,1
유일,1
있으면,1
는바,1
신라,1
스테이,1
있고실내,1
안녕하세요,1
색깔,1
팔도,1
아닌게,1
깔끔한,1
저런,1
세상,1
있겠지만,1
스마트,1
자동,1
곤란한,1
차원,1
어떨까,1
공기,1
쿰쿰하고,1
딱딱합니다,1
없다고,1
시큼한,1
있었구요,1
회용,1
방법,1
기어,1
거미,1
해달,1
고시원,1
오픈,1
최적,1
오전,1
작업,1
굉장히,1
밤늦게,1
스임,1
시끄럽다고,1
광안리해수욕장,1
조용히,1
찝찝한,1
현재,1
손절,1
기도,1
시작,1
비교,1
쉬워서,1
보임,1
고민,1
화려하나,1
고급스러운,1
어두워서,1
호불호,1
도벽,1
흔적,1
박만,1
창고,1
명과,1
임현재,1
고모,1
제안,1
친절했음,1
판매,1
간잡,1
친절한,1
계시는지,1
업그레이드,1
드해요어,1
매너티,1
면방,1
도벌,1
고알았,1
인해,1
그렇,1
용기,1
하자,1
결론,1
점도,1
가비,1
젊고,1
심하네요,1
인부,1
도왜,1
기주,1
좋았으나,1
비수,1
외부,1
배치,1
필요해,1
휴대폰,1
어쩌,1
지도,1
안락함과는,1
이외,1
귀찮은,1
다그,1
국내외,1
세탁실,1
통틀어,1
오지,1
라면,1
필요하신거,1
휴식,1
용하는데,1
나쁘네요,1
동영상,1
인했어도,1
왜돈더,1
이소리,1
롯데,1
심합니다,1
강점,1
서면,1
중심,1
하든,1
유명,1
번화가,1
있다는,1
깔끔하게리,1
모델링,1
입니,1
방향,1
없으면,1
수압,1
안되는것마저도,1
첫인상,1
친절했어요,1
로비,1
데전좀,1
번지,1
인한,1
좋아다,1
전화하니,1
며칠,1
퀘퀘,1
방옆,1
호실,1
주네,1
뿐입니다,1
안되고,1
오래된거,1
다기,1
비싸기,1
불친절합니다,1
준비,1
플러그,1
공지,1
좋았지만,1
대해,1
궁금하네요,1
사서,1
스펜서,1
짜증나게,1
코앞,1
모습,1
있을,1
형식,1
아니란,1
건알,1
취사,1
시도,1
없다니,1
불친절해서,1
가분,1
자가용,1
등주,1
힘들다,1
가정,1
비갑,1
친절하다,1
편하다,1
가제,1
수도,1
불투명하게,1
공안,1
좋으나,1
핸드,1
솝디,1
이공사,1
불가능,1
힘들,1
길었어요,1
구입,1
인할,1
소독약,1
가나,1
머그컵,1
인조잔디,1
세척,1
위생,1
태직,1
안좋게,1
좋았으며,1
많던데,1
침실,1
망신,1
임재,1
친절해요,1
멋져요,1
분리,1
만족하고,1
불편한,1
없었으나,1
깨끗한줄,1
덕분,1
저렴하게,1
도전,1
비직,1
오일,1
있는인,1
놀래서,1
황당한,1
낮은,1
여시곤,1
비즈,1
스트립,1
불쾌해서,1
포장마차,1
생식기,1
취한,1
도해,1
카운터,1
도모,1
이상하고,1
색상,1
불어,1
통통,1
부재,1
있는지인이,1
경찰,1
공포,1
재사용,1
걸통안,1
무시,1
어마,1
식물,1
신고,1
야하고로,1
착오,1
통속,1
옆집,1
상품,1
누락,1
응답,1
루프,1
블로그,1
외벽,1
모바일,1
실망한,1
입니다아,1
음성,1
묵음,1
기대하고오면,1
화면,1
시청,1
불편함,1
이모,1
