,freq
청결,579
객실,407
직원,395
위치,375
바다,312
이용,306
가격,306
시설,293
해운대,255
오션,254
주차,225
침대,223
체크,210
예약,207
생각,193
화장실,190
수영장,177
주변,174
광안,170
조식,161
완전,161
근처,149
추천,145
서비스,137
느낌,136
정도,127
컨디션,122
아침,118
건물,114
침구,112
같습니다,111
상태,110
맛집,110
매우,109
넓고,105
처음,104
사진,95
편의점,95
가족,94
좋아서,89
사람,87
청소,87
부분,87
광안대교,85
부산여행,82
욕조,81
친절하시고,80
주차장,79
인테리어,79
체크아웃,77
대비,75
편하게,75
방도,73
해변,73
방음,71
업그레이드,70
욕실,70
좋네요,68
친절하고,67
배정,67
롯데,66
가까워서,64
제공,64
소리,63
전체,63
만족합니다,63
리뷰,62
샤워,62
기도,62
방이,60
로비,60
역시,60
없어서,59
사용,58
수영,58
보고,57
다시,57
냄새,57
힐링,57
접근성,57
많고,55
카페,55
저녁,54
무료,54
테라스,54
만족,53
있어요,53
커피,52
청결하고,52
음식,51
라운지,51
도보,51
시장,51
가면,50
수건,50
엘리베이터,50
공간,49
루프,49
단점,48
나쁘지,48
준비,48
장점,48
니엘,47
칫솔,47
무조건,47
프론트,47
냉장고,47
같은,47
선택,47
걱정,46
전망,45
먼지,44
비대,44
굉장히,44
분위기,43
시티,43
소음,43
관리,43
식당,43
어메니티,43
아쉬운,42
바닷가,42
보이,42
추억,42
친구,42
기억,41
내부,41
안내,40
추가,40
투숙,40
덕분,39
야경,39
친절,39
계속,39
예정,39
산책,39
캉스,39
모든,39
치약,38
가깝고,38
응대,38
티비,38
구비,38
살짝,37
좋았,37
해운대해수욕장,37
고층,37
바닥,37
그런지,36
스테이,36
친절하게,36
전반,36
온도,36
편하게잘,36
날씨,35
인피니티,35
부모님,35
타워,35
입구,35
창문,35
좋음,35
편안하게,34
편하고,34
먹거리,34
가기,33
넓어서,33
같아,33
거실,33
고민,33
입실,33
신축,32
송도,32
후기,32
좋게,32
많아,32
높은,31
제일,31
가장,31
미리,31
난방,31
세탁기,31
구경,31
실내,31
조용하고,31
괜찮은,31
바디,30
좋았구요,30
면서,30
바람,30
신경,29
없는,29
영도,29
만족스러웠습니다,29
이동,29
편의,29
크기,29
조명,29
하프,29
요다음,28
샴푸,28
캡슐,28
커서,28
작은,28
부대,28
테이블,28
참고,28
만족스러운,28
만족했습니다,28
커튼,28
엘베,27
편했어요,27
용했어요,27
이불,27
설명,27
평일,27
야외,27
별로,27
수압,27
아쉬웠어요,27
같네요,27
문제,27
파라다이스,26
자체,26
센터,26
일정,26
식도,26
고객,26
침실,26
나름,26
꿀잠,26
종류,25
푹신하고,25
뷔페,25
사우나,25
지하,25
드라이기,25
편히,25
없었습니다,25
신분,25
친절한,25
사장,25
있는데,25
많은,25
굿굿굿,24
아울렛,24
좋을것,24
요청,24
디럭스,24
물이,24
온천,24
에어컨,24
광안리해수욕장,24
일찍,24
아난,24
편리하고,24
저렴한,24
편했습니다,24
비치,24
멋진,24
깨끗해서,23
오시,23
좋은데,23
쾌적하고,23
모델링,23
해결,23
친절하셔서,23
남포동,23
가바,23
변기,23
깔끔한,23
할인,23
다룸,23
친절하세요,23
없어요,23
로예,23
묵고,23
운영,22
보관,22
제대로,22
해수욕장,22
좋더라구요,22
맛있고,22
기본,22
좀더,22
포함,22
매니,22
식사,22
주말,22
보기,22
있었어요,22
용할,22
기계,22
옆방,22
없어,21
세면대,21
금액,21
넓은,21
분리,21
생수,21
인할,21
더블,21
스타벅스,21
슬리퍼,21
머신,20
여자친구,20
그랜드,20
넷플릭스,20
라면,20
가게,20
입장,20
엘레베이터,20
친절해서,20
가능,20
좋았던,20
샤워실,20
깨끗한,20
괜찮았던,20
입니,20
용했습니다,20
가까워,20
전혀,19
가보,19
온수,19
타고,19
급하게,19
여유,19
용하기,19
있지만,19
사이즈,19
괜찮았어요,19
신라,19
편리합니다,19
부스,19
많아요,19
술집,19
구매,19
가운,19
이쁘고,19
웰컴,19
외부,19
아닌,19
가지,19
아쉬웠습니다,19
크게,19
데스크,19
주방,19
있으면,19
먹기,19
두번째,19
행복한,19
충분히,19
다가,18
갈수,18
있었습니다,18
당황,18
주위,18
볼거리,18
없었어요,18
가나,18
곳도,18
간만,18
직접,18
괜찮았습니다,18
깔끔했어요,18
백화점,18
일회용품,17
없습니다,17
계획,17
일이,17
고조,17
불편한,17
베개,17
관광,17
친절하셨어요,17
엄마,17
일반,17
좋았네요,17
깔끔해서,17
포차,17
따뜻하고,17
자리,17
해운대역,17
그거,17
배달,17
포장,17
쿠폰,17
도안,17
만족하고,17
편해요,17
사이,17
좋았음,17
불편함,17
의자,17
메뉴,17
경험,17
와인,16
불편했어요,16
휴식,16
대중교통,16
은방,16
신발,16
오픈,16
요리,16
교통,16
유료,16
시스템,16
머리카락,16
이그,16
코앞,16
상가,16
정리,16
만족했어요,16
쇼핑,16
용하는,16
새벽,16
감동,16
아쉽네요,16
자고,16
레지던스,16
가까이,16
도크,16
아기,16
위해,16
대기,16
간단한,16
깔끔하게,16
모습,16
도구,16
찾기,15
아쉬움,15
개인,15
레이,15
없는게,15
미니바,15
괜찮고,15
아쉬운건,15
친절해요,15
해운,15
스타,15
같아서,15
비품,15
생일,15
차량,15
피트니스,15
개월,15
가능합니다,15
대쪽,15
기대,15
유지,15
조선,15
카운터,15
강추,15
기장,15
위생,15
파도,15
리가,15
공사,15
기회,15
좋을,15
용이,14
이벤트,14
퀄리티,14
린스,14
지하철역,14
필요,14
순간,14
싱글,14
조용해서,14
경치,14
좋겠어요,14
타임,14
친절합니다,14
무난,14
메르,14
아들,14
구조,14
는걸,14
관광지,14
문의,14
디자인,14
있으니,14
깨끗하게,14
그것,14
고급,14
문자,14
베드,14
중간,14
외국인,14
잠자리,14
도모,14
송정,14
신관,14
따뜻하게,14
그게,14
맛있어요,14
통해,13
점도,13
지금,13
도편,13
용하는데,13
친절하셨고,13
따뜻한,13
감탄,13
확인,13
나중,13
좋을거,13
이케아,13
담배,13
추합니다,13
본관,13
오전,13
모시,13
양호,13
아니고,13
가까운,13
프로,13
차가,13
거나,13
음식점,13
이안,13
단체,13
반스,13
테이,13
다행,13
불편,13
만족스러웠어요,13
먼저,13
일회용,13
이름,13
풍경,13
가능해서,13
모텔,13
고가,13
서면,13
잠도,13
전화,13
압도,13
아니라,13
주시,12
옥상,12
한눈,12
완벽한,12
번화가,12
좋겠습니다,12
나머지,12
의향,12
에이,12
없네요,12
대신,12
맛있었어요,12
베란다,12
끼리,12
편안하고,12
패키지,12
용했는데,12
깨끗했어요,12
맥주,12
오피스텔,12
개선,12
깔끔했습니다,12
마지막,12
편하게이,12
건조기,12
송도해수욕장,12
더라구요,12
편해서,12
제품,12
히노끼,12
당일,12
한편,12
식이,12
와인잔,12
다다,12
없지만,12
쓰레기,12
뉴얼,12
애기,12
가능한,12
룸서비스,12
장소,12
필수,12
저렴하고,12
있게,12
인근,12
상당히,12
매트리스,12
캐리어,12
비누,12
딤섬,11
레스토랑,11
위트,11
깨끗해요,11
여서,11
같고,11
어려움,11
책상,11
불편함은,11
한가지,11
연박,11
친절함,11
적극,11
물놀이,11
미쳤어요,11
없으니,11
아쉬웠던,11
피로,11
만족스럽습니다,11
층간소음,11
도로,11
마트,11
카페트,11
센스,11
스카이,11
히터,11
워낙,11
불편함이,11
다그,11
용할게요,11
수기,11
있었고,11
감상,11
벡스코,11
로션,11
쓰기,11
편입,11
여러가지,11
버튼,11
고합,11
샴페인,11
풀이,11
충전기,11
고프,11
만족한,11
골목,11
야해요,11
아파트,11
이제,11
콘센트,11
조절,11
방안,11
비데,11
잠옷,11
로이,11
좋았지만,11
성인,11
달라,11
키즈,11
연결,11
보로,11
오래된,11
이야기,11
없었고,11
창가,11
여행객,10
탁트인,10
맛있게,10
헬스장,10
첫날,10
보시,10
해도,10
사항,10
케이블카,10
아마,10
청결해서,10
시작,10
있었는데,10
추워서,10
뚜벅,10
세탁,10
식기,10
대부분,10
아쉬웠지만,10
비용,10
아래,10
무제한,10
취사,10
반신,10
사랑,10
예쁜,10
좋아하는,10
메인,10
다방,10
가능하고,10
오늘,10
횟집,10
수풀,10
포장마차,10
야합,10
금방,10
보통,10
편했고,10
일출,10
친절하시,10
더욱,10
확실히,10
아쉬워요,10
오기,10
가습기,10
수가,10
넓어요,10
디너,10
전날,10
기념,10
좋았구,10
대체로,10
깡통,10
기준,10
버스,10
머리,10
이해,10
택시,10
음료,10
친절했어요,10
결정,10
가가,10
지하철,10
있음,10
친절하십니다,10
가요,10
최상,10
배치,10
열차,10
편리했습니다,10
다리,10
실내수영장,10
하버,10
용한,10
카펫,10
엘시,10
노후,9
설치,9
좁긴,9
주차공간,9
그런,9
안보,9
사이드,9
외관,9
이예,9
일행,9
고해,9
정면,9
진행,9
간다,9
그대로,9
있었지만,9
방식,9
없었구요,9
깔끔해요,9
매력,9
인상,9
산책로,9
워시,9
카톡,9
한참,9
좁은,9
비교,9
송정해수욕장,9
기만,9
쉬다,9
좋앗습니다,9
요금,9
안되서,9
별도,9
만족도,9
거울,9
불편했습니다,9
세번,9
깔끔했고,9
잡고,9
오후,9
괜찮아요,9
처리,9
쇼파,9
좋았는데,9
이별,9
여기저기,9
이아주,9
푹신해서,9
이보,9
간단히,9
테이크아웃,9
가세,9
디저트,9
편리했어요,9
요조,9
용품,9
고물,9
비밀번호,9
둘이서,9
게다,9
편안하게잘,9
비도,9
안나,9
친절했습니다,9
남자친구,9
과자,9
예뻐서,9
작고,9
괜찮았고,9
모임,9
인전,9
분도,9
약했는데,9
비싼,9
리스트,9
있네요,9
국제,9
부도,9
많습니다,9
라마,9
이뻐요,9
이브닝,9
도착,9
좋아용,9
얘기,9
복도,9
이틀,8
모로,8
조리,8
국밥,8
불어,8
환경,8
있을,8
클럽,8
이유,8
수준,8
전용,8
굿굿,8
관광객,8
이만,8
좁아서,8
다재,8
안좋아서,8
목적,8
셀프,8
인프라,8
이모,8
센트럴,8
착해서,8
때또,8
좋앗어요,8
여자,8
이바,8
하이,8
왼쪽,8
생활,8
다해,8
정비,8
차이,8
물품,8
가시,8
주문,8
시원하게,8
스탠다드,8
좋구요,8
조용히,8
와이프,8
요전,8
없었네요,8
제큐티,8
따뜻해서,8
같았어요,8
가볍게,8
블룸,8
소파,8
옵션,8
좋았고요,8
유리,8
좋지,8
패밀리,8
있는게,8
커플,8
여름,8
저렴하게잘,8
서사,8
안쪽,8
컨디셔,8
깜짝,8
아름다운,8
데넘,8
다양한,8
이하나,8
주의,8
고요,8
많았어요,8
예전,8
용하게,8
좋구,8
빠르게,8
만족하는,8
좋지만,8
데리,8
전복죽,8
로안,8
환상,8
려고,8
딱히,8
과일,8
혜택,8
맛있는,8
유명한,8
무인,8
가안,8
쿠키,8
굳이,8
이용도,8
켄트,8
무척,8
편한,8
가도,8
예쁘고,8
도어,8
합리,8
수영복,8
프런트,8
베이,8
대교,8
연인,8
도움,8
미온수,8
차로,8
버스정류장,8
에스코트,7
도아,7
식당가,7
