,freq
객실,25
직원,23
체크,15
정도,14
모텔,14
청소,14
냄새,13
침대,12
화장실,11
먼지,11
상태,10
생각,10
예약,10
느낌,9
소리,9
최악,8
바닥,8
수건,8
계속,8
가격,8
방음,8
주차,7
창문,7
새벽,7
시설,7
응대,7
아기,6
에어컨,6
문의,6
배정,6
컨디션,6
전체,6
이불,5
도안,5
이용,5
소음,5
리뷰,5
사람,5
매우,5
투숙,5
청결,5
프론트,5
근처,4
사진,4
고해,4
콘센트,4
태도,4
확인,4
체크아웃,4
처음,4
머리카락,4
외국인,4
욕조,4
많고,4
욕실,4
좋음,4
서비스,4
완전,4
샤워,4
신라,4
준비,4
교체,4
친구,4
접근성,4
셀프,4
먼저,4
좋아서,4
요금,3
세면대,3
양호,3
와이프,3
전화,3
저녁,3
신경,3
달라,3
주변,3
안되고,3
안되서,3
대비,3
추가,3
고장,3
구석구석,3
고객,3
아쉽네요,3
손님,3
가나,3
나쁘지,3
요즘,3
어둡고,3
편합니다,3
같은,3
크게,3
수구,3
스타,3
조식,3
위생,3
담배,3
물이,3
오스,3
별로,3
실망,3
신청,3
대부분,3
건물,3
는걸,3
침구,3
사용,2
칼날,2
커버,2
용품,2
단점,2
없다,2
충전,2
위치,2
악취,2
티비,2
곰팡이,2
방도,2
비누,2
서랍,2
절대,2
동네,2
비데,2
덩어리,2
지하,2
가세,2
강남,2
대충,2
가루,2
발견,2
가장,2
컨디셔,2
같네요,2
선택,2
침실,2
난방,2
없습니다,2
전기포트,2
언급,2
수준,2
시스템,2
깔끔하고,2
뭔가,2
장점,2
로비,2
물건,2
결제,2
동시,2
같습니다,2
많은,2
경험,2
이돈,2
정비,2
드라이기,2
히터,2
더니,2
다른건,2
중간,2
없어,2
부분,2
뷔페,2
개선,2
본인,2
냉장고,2
이해,2
성도,2
기도,2
고프,2
질문,2
보고,2
거기,2
온도,2
도로,2
안내,2
환기,2
유료,2
요구,2
아닌,2
낡고,2
오래된,2
넥팅룸,2
제대로,2
요하,2
리모컨,2
방해,2
방충,2
스테이,2
높아서,2
방이,2
실내,2
에프,2
슬리퍼,2
아닌가요,2
분위기,2
지고,2
가면,2
가지,2
캐리어,2
데리,2
지점,2
안됨,2
사이,2
얘기,2
다짐,2
남아,2
직접,2
샤워실,2
말투,2
드릴,2
기본,2
작은방,2
강아지,2
미리,2
좋지,2
여의도,2
안되냐고,2
베드룸,2
후기,2
도보,2
고민,2
인사,2
데스크,2
안된다고,2
일회용,2
무심해서,2
이그,2
이상하네요,1
이럴까,1
아이손,1
위아래,1
그러,1
고제,1
사과,1
지저분한이,1
돈더,1
보태,1
유리,1
부스,1
물질,1
만족해서다음,1
로안,1
서열,1
조절,1
넉넉하고,1
실칸,1
전화했더니,1
청해,1
냉동,1
없던,1
소통,1
제대,1
부재,1
나머지,1
원내,1
세탁,1
다해,1
냉장,1
구분,1
편했습니다,1
기류,1
먹기,1
리해,1
임짐,1
도자기,1
임택,1
고투,1
숙객,1
전자레인지,1
치약,1
한국인,1
없는거아니냐고,1
많아요,1
찜찜했고,1
이유,1
있구나싶었어요,1
아쉽,1
칫솔,1
프론,1
숙면,1
몹시,1
불친절합니다,1
후라이팬,1
모든,1
찝찝했어요,1
몇시,1
번리,1
해먹,1
있어서요,1
나중,1
이따,1
있는데,1
문보,1
이키,1
좀달랫,1
있었던,1
등식,1
수저,1
그릇,1
가라,1
냄비,1
정리,1
둿던,1
렌즈,1
좋았으나,1
도해,1
이상했어요,1
태음,1
아플,1
멀미,1
전하,1
이구,1
괜찮은데,1
있어도,1
방내,1
건데,1
된거,1
인지도,1
이오,1
불친절해요,1
이별,1
친절하고,1
상냥했으나,1
이름,1
카운터,1
상당히,1
나빠서,1
머리,1
관리,1
정문,1
저가,1
전방,1
자체,1
있었나,1
불쾌했으나,1
피곤하여,1
용함,1
없지,1
부가,1
커서,1
만원,1
쓰레기,1
피곤해서,1
차비,1
듯함,1
로손,1
특급,1
바란,1
건아,1
니지,1
무등등,1
대기,1
당연하게말,1
부족했어요,1
캉스,1
좋았음,1
괜찮아서,1
려고,1
디자인,1
착했습니다,1
개중,1
넓었음,1
간혹,1
이상하고,1
안되어있기,1
조용하게,1
가오,1
샴푸,1
제시,1
종종,1
일이,1
로그인,1
당당하고,1
수고,1
주위,1
눈빛,1
과정,1
싫다,1
호텔리어,1
단자,1
근무,1
나쁘다,1
판매,1
나쁜,1
현대,1
인테리어,1
멋지고,1
휴대폰,1
꿀잠,1
북경오리,1
랍스터,1
특별하고,1
친절하시고,1
제제,1
아쉬웠던,1
전기,1
없다고,1
구조,1
중문,1
미닫이,1
당진,1
레벨,1
참고,1
일별,1
더러워도,1
도시,1
