,freq
청결,507
객실,423
직원,373
이용,330
위치,315
가격,288
시설,269
체크,261
조식,247
근처,194
침대,183
예약,175
느낌,174
주변,174
서비스,165
화장실,162
생각,161
주차,156
매우,135
컨디션,125
추천,124
상태,118
편의점,114
침구,111
정도,110
수영장,110
캉스,104
신라,103
음식,103
로비,101
편하게,101
샤워,99
롯데,98
체크아웃,92
욕조,88
같습니다,84
스테이,83
아침,82
친절하고,79
소음,79
인테리어,78
주차장,75
맛집,74
업그레이드,74
처음,74
접근성,74
사진,73
공간,73
사람,73
부분,73
칫솔,73
좋아서,72
배정,71
가까워서,70
욕실,69
없어서,68
소리,67
친절하시고,67
전체,67
대비,66
방음,64
사용,64
역시,63
어메니티,62
냄새,62
커피,62
무료,61
넓고,60
있어요,60
방도,60
티비,59
제공,59
건물,58
청소,58
분위기,58
한강,58
저녁,56
장점,54
만족,53
바디,53
배달,52
다시,52
포함,51
용했어요,50
준비,50
전반,49
넷플릭스,49
고층,49
많고,48
치약,48
라운지,48
방이,48
살짝,48
수건,47
요청,46
선택,46
강남,45
걱정,45
후기,44
호선,44
응대,44
식당,44
창문,43
청결하고,43
가족,42
샴푸,42
평일,42
구비,42
여의도,41
없는,41
먼지,41
별로,40
카페,40
홍대,39
수영,39
합리,38
공사,38
식사,38
아쉬운,38
난방,38
같은,38
외국인,38
관리,38
룸서비스,38
내부,38
교통,38
바닥,38
단점,38
가깝고,37
만족합니다,37
엘리베이터,37
온도,37
프론트,37
예정,37
나쁘지,37
투숙,37
편하고,36
생일,36
사우나,36
덕분,36
코엑스,35
안내,35
지하,35
조용하고,35
있었습니다,35
완전,34
패키지,34
해피아워,34
주말,34
친절하셔서,34
넓어서,34
지하철역,33
헬스장,33
분리,32
용하는,32
참고,32
가지,32
있는데,32
입구,32
수압,32
좋음,31
친절,31
문제,31
개인,31
친절하게,31
테이블,31
깔끔해서,31
깔끔한,31
좋네요,30
종류,30
식도,30
지하철,30
계속,30
신분,30
부대,30
넓은,30
구매,30
여자친구,30
구경,30
친절합니다,30
신경,29
대중교통,29
도보,29
전망,29
좋을것,29
편리합니다,29
기본,29
같아,29
그런지,29
추가,28
복도,28
다룸,28
세면대,28
석촌호수,28
친구,28
용하기,28
편의,28
가장,28
냉장고,28
편했습니다,27
이동,27
부스,27
가능합니다,27
일이,27
친절해요,27
좋게,27
뷔페,27
가기,27
