,freq
청결,66
시설,50
여유,45
주차,29
식당,28
상태,28
주변,28
청소,27
침구,26
주차공간,23
다시,23
로비,23
맛집,22
인프라,22
시끄럽지,22
좋구요,22
외관,22
찻길,20
수건,20
객실,14
직원,14
조식,12
이용,12
체크,8
가격,8
서비스,6
편의점,6
시티,5
많아,5
샤워,5
인테리어,4
깨끗해서,4
호수,4
베스트,4
요조,4
금액,4
웨스턴,4
비즈니스,4
카페,4
선택,4
제일,4
만족합니다,4
수압,4
먼지,3
공원,3
사진,3
헬스장,3
생각,3
넷플릭스,3
배정,3
티비,3
아쉬웠어요,3
좋아서,3
아침,3
정도,3
건물,3
근처,3
있음,3
인할,3
대비,3
음료,3
체크아웃,3
서사,3
위치,3
어진동,3
사람,3
베니키아,3
매우,3
있었습니다,3
라운지,3
머리카락,3
화장실,3
보이,3
방도,3
입실,2
편하고,2
가요,2
끼리,2
좋았네요,2
양호,2
문제,2
있던,2
좋았는데,2
친절하게,2
용하기,2
고급,2
저렴하게,2
포함,2
있게,2
개선,2
소음,2
좋더라구요,2
아침식사,2
쉬었습,2
있어요,2
편하게,2
패키지,2
같은,2
지고,2
친절하시고,2
편하게잘,2
일찍,2
최근,2
종류,2
참고,2
신청,2
용했는데,2
침실,2
같습니다,2
고급스러,2
없는,2
퀄리티,2
충분히,2
이제,2
무난,2
쿠폰,2
확실히,2
친절하시,2
올레,2
맛있었습니다,2
구조,2
칫솔,2
여성,2
난방,2
고려,2
맛있어요,2
음식점,2
편안하게잘,2
가성,2
스타즈,2
할인,2
깨끗한,2
지하,2
전체,2
공간,2
주차장,2
깨끗했습니다,2
남아,2
방음,2
보기,2
안내,2
수준,2
여러가지,2
어메니티,2
면또,2
관광,2
처음,2
기도,2
불편하였습니다,2
걱정,2
외국인,2
먼저,2
친절하십니다,2
고가,1
입니,1
넓음,1
깨끗함,1
다방,1
따뜻하고,1
오픈,1
조용해서,1
한지,1
사항,1
같은것,1
맛있습니다,1
지체,1
저렴해야,1
라면,1
높았습니다,1
시조,1
자세하게,1
에투,1
일행,1
의논,1
친절하다고,1
요뭐,1
재촉,1
크게,1
인과,1
지문,1
구석구석,1
있다고,1
워낙,1
분리,1
좋다고,1
용할수있,1
특별한,1
안나,1
예뻐서,1
코인,1
세탁실,1
가능,1
복도,1
좋음,1
친절함,1
없어,1
가도,1
있을거다,1
부대,1
신축,1
볼일,1
깔끔한,1
검색,1
예정,1
종이,1
아니니까,1
스테이,1
신라,1
넉넉해서,1
구찌,1
해결,1
좁음,1
같더라구요,1
판매,1
어려움,1
고조,1
경쟁력,1
수영장,1
시원하게,1
커서,1
창문,1
편했습니다,1
편했요,1
별로,1
넓어,1
없어서,1
넓고,1
음유,1
산소,1
많음,1
룸서비스,1
파스,1
특이,1
힐링,1
있을듯,1
과거,1
간편해요,1
간단하고,1
시스템,1
좋았,1
깜짝,1
보고,1
괜찮,1
그거,1
멀었습니다,1
엘베,1
특이하고,1
좋지는,1
박했습니다,1
남지,1
등록,1
올해,1
에드,1
비싼거,1
있습니다만,1
예전,1
같네요,1
없을것,1
그럴수밖에,1
이적,1
고객,1
높지만,1
요금,1
가까워요,1
차량,1
만족,1
깔끔하고아래,1
설치,1
행사,1
주말,1
면괜,1
만가,1
다양하진,1
아쉽긴,1
가작,1
추세,1
야할듯,1
신분,1
예민하,1
카펫,1
바닥,1
부스,1
내부,1
자가,1
테이블,1
게다,1
가볍,1
비슷하게,1
체인점,1
흐뭇하게,1
응대,1
친절한,1
좋으며,1
다행,1
행차,1
가족,1
청사,1
시재,1
스타일,1
일부,1
그런지,1
새로지어진데라,1
조용합니당,1
야해서,1
기념,1
크리스마스,1
건조합니다,1
히터,1
같고요,1
좋을거,1
가능한,1
사용,1
메뉴,1
컨디션,1
예쁘고,1
굉장히,1
편리하오니잘,1
교통,1
좋겠네요,1
있었으면,1
공기청정기,1
야합니다,1
계속,1
박이상,1
이벤트,1
저렴한,1
없습니다,1
부담스럽습니다,1
깔끔해요,1
풍경,1
식당가,1
결재,1
요하,1
브릿지,1
연결,1
베이커리,1
이심,1
기기,1
온도,1
멀었던,1
엘리베이터,1
요구,1
별도,1
어제,1
없었는데,1
지금,1
예뻤으면,1
용하는데,1
번은,1
에두,1
미다,1
서하면,1
직접,1
라이더,1
배달,1
가능하구요,1
스케줄,1
구비,1
치약,1
친절,1
아쉬움,1
괜찮고,1
없네요,1
핸드,1
도침,1
만족스럽네요,1
선호,1
레이크,1
마음껏,1
쿠키,1
만족스럽습니다,1
푹신해서,1
슬리퍼,1
실내,1
준비,1
넉넉하게,1
역시,1
소파,1
고스,1
업그레이드,1
친절합니다,1
한정,1
채널,1
안되는,1
시청,1
시댁,1
맛있게잘,1
아쉬웠지만,1
쌀국수,1
금방,1
구류,1
자체,1
최대,1
몇개,1
신선했고,1
과일,1
채소,1
기대,1
사기,1
맛있다고,1
이조식,1
시작,1
서기,1
벌써,1
있다가,1
없더라고요,1
자리,1
커튼,1
많으시다고,1
인원,1
내일,1
같았어요,1
잔거,1
꿀잠,1
예민한,1
예뻤어요,1
경이,1
만족스러웠습니다,1
착했는데,1
식도,1
쎄서,1
파워,1
드라이기,1
이구,1
첨부,1
위치위치,1
있는데,1
불쾌감,1
이그,1
부스러기,1
과자,1
의자,1
거기,1
모텔,1
유성구,1
쇼크,1
의심,1
머리,1
인정,1
가내,1
순간,1
위해,1
어그,1
세면대,1
느낌,1
고있는,1
관리,1
전혀,1
명성,1
손님,1
깔끔한실내,1
벽면,1
입구,1
조명,1
청결했고,1
착하면서부터,1
친절하셔서도,1
국내,1
해외,1
많은,1
데스크,1
리셉션,1
가면,1
좋았구요,1
중앙,1
조용하구,1
이쁘고,1
음번,1
아쉬울,1
등골,1
양식,1
한식,1
중식,1
일식,1
간식,1
간단한,1
가까이,1
저녁,1
도서관,1
음식,1
맛있었어요,1
있으면,1
플라자,1
편하게있,1
대량,1
제공,1
샴푸,1
이바,1
정책,1
그랬네요,1
괜찮았는데,1
최대한,1
요구사항,1
이맘,1
동하,1
친절해서,1
만족도,1
합리,1
평이,1
레스토랑,1
외석,1
도아,1
로이,1
케잌,1
파스쿠찌,1
용할수있을것,1
게이,1
만족스럽,1
연인,1
해도,1
다른건,1
작은,1
비싼,1
쾌적하게잘,1
조용하고,1
접근성,1
시내,1
고민,1
매리어트,1
학회,1
괜찮았음,1
기운,1
용공,1
추천,1
조용한,1
야드,1
코트,1
없을만큼,1
후기,1
다른데,1
유튜브,1
예약,1
전날,1
땅치,1
이마,1
운영,1
없기는하나,1
만요,1
친구,1
플러스,1
용할,1
어떨지,1
도도,1
맞이,1
불구,1
