,freq
직원,35
청소,29
객실,29
상태,20
먼지,19
바닥,19
체크,19
이용,18
냄새,17
예약,17
최악,14
조식,14
처음,13
시설,13
머리카락,12
생각,11
사람,11
주변,11
화장실,11
샤워,11
주차장,11
매우,10
고객,10
담배,10
주차,10
수건,10
서비스,9
침구,9
저녁,9
가격,9
청결,9
욕실,9
리뷰,9
변기,9
모텔,8
온도,8
안내,8
물이,8
침대,8
프론트,8
카펫,7
별로,7
새벽,7
근처,7
컨디션,7
소리,7
칫솔,7
기본,7
바다,6
위치,6
확인,6
같은,6
많고,6
관리,6
제공,6
인할,6
없어서,6
같습니다,6
부분,6
실내,5
슬리퍼,5
후기,5
응대,5
가족,5
경험,5
계속,5
음식,5
에어컨,5
다시,5
단체,5
고장,5
나쁘지,5
사용,5
느낌,5
프로포즈,4
공항,4
있었고,4
실망,4
준비,4
이벤트,4
이름,4
기억,4
로비,4
룸서비스,4
이불,4
창문,4
위생,4
거기,4
노후,4
교체,4
욕조,4
한참,4
체크아웃,4
몇번,4
손님,4
외부,4
샴푸,4
아침,4
보고,4
말씀,4
전화,4
불편했습니다,4
외출,4
금액,4
안되어,4
그런,4
인천공항,4
그런지,4
점검,4
스트레스,4
식사,4
방이,4
커버,3
건물,3
수준,3
가안,3
얼룩,3
난방,3
잠도,3
없는지,3
주말,3
이동,3
도저히,3
전혀,3
있었어요,3
이안,3
있었습니다,3
바람,3
같아,3
식당,3
내용,3
컨디셔,3
해도,3
이유,3
사진,3
교육,3
입장,3
방음,3
등록,3
제대로,3
아쉬웠어요,3
음식물,3
치약,3
커피포트,3
신경,3
엉망,3
단점,3
번호,3
비용,3
예전,3
조절,3
가배,3
전체,3
분위기,3
도아,3
베개,3
가운,3
온건,3
여자친구,3
키즈,3
사항,3
같네요,3
안쪽,3
입실,3
테이블,3
요청,3
브라운,3
개선,3
드라이기,3
리모컨,3
세면,3
마트,3
안된,3
카페,3
기류,3
레이,3
모델링,3
역시,3
소음,3
좋네요,3
바디,3
문제,3
해결,3
제일,3
좋지,3
용할,2
소파,2
서랍,2
작고,2
친절하게,2
온수,2
좋게,2
고가,2
장난,2
전산,2
수구,2
먼저,2
없는,2
마침,2
층간소음,2
연식,2
복도,2
머리,2
모든,2
있네요,2
밸브,2
화가,2
이드,2
려고,2
불친절,2
수기,2
사유,2
비행기,2
안보,2
있었네요,2
정보,2
대신,2
아닙니다,2
죄송,2
인하,2
여관,2
야하는,2
레버,2
가나,2
저렴한,2
호스,2
다해,2
수도,2
말라,2
아예,2
의자,2
용하지,2
조합,2
의방,2
여러가지,2
면서,2
완전,2
유리,2
상당히,2
지하,2
있었는데,2
커피,2
있어요,2
오늘,2
이기,2
찬물,2
아쉽습니다,2
남자,2
당일,2
날씨,2
같다는,2
송도,2
깜짝,2
배정,2
일반,2
자체,2
구이,2
계셨는데,2
오리,2
야할것,2
얘기,2
실망했습니다,2
덕분,2
여자,2
기도,2
도보,2
하룻밤,2
추가,2
넓은,2
공간,2
이럴꺼면,2
방도,2
상담,2
수영장,2
출국,2
용하는,2
살짝,2
안된다는,2
미숙,2
왕리,2
없었어요,2
개인,2
먹거리,2
없을,2
공용,2
