,freq
청결,767
객실,449
시설,362
직원,361
이용,329
주변,281
가격,277
주차,261
체크,226
근처,222
침대,216
위치,205
예약,191
생각,186
화장실,184
조식,174
편의점,174
공항,162
상태,147
추천,144
매우,140
주차장,136
바다,131
침구,128
서비스,127
수영장,125
컨디션,124
오방,124
정도,120
느낌,119
같습니다,112
인천공항,107
욕조,107
청소,106
욕실,103
맛집,103
송도,100
로비,98
오션,97
샤워,94
아침,90
처음,89
많고,89
무료,89
식당,89
편하게,87
넓고,82
캉스,81
건물,81
파크,81
친절하시고,78
요즘,78
가족,78
방도,77
사용,77
영종도,77
냄새,77
사진,75
칫솔,74
친절하고,73
체크아웃,72
카페,72
있어요,71
비행기,71
짱짱,68
주가,67
음식,65
사람,65
공간,65
티비,64
편하고,62
같은,60
사장,60
바디,60
방음,59
치약,59
리뷰,59
대비,59
시티,59
조용하고,57
파라다이스,56
어메니티,56
부분,56
구읍뱃터,56
내부,56
먹거리,56
분위기,55
관리,55
소리,55
바닥,55
청결하고,54
없어서,54
만족,54
제공,54
기도,54
저녁,53
전체,53
선택,53
배정,52
걱정,52
수건,52
소음,52
좋아서,52
완전,51
월미도,51
샴푸,51
가깝고,50
응대,50
수압,49
투숙,48
테이블,48
룸서비스,48
구비,48
단점,47
무인,47
보고,47
센트럴,47
지하,46
좋네요,46
다시,46
셔틀,46
가까워서,45
테라스,45
제일,45
만족합니다,45
전반,44
아쉬운,44
패키지,44
산책,44
요청,43
냉장고,43
커피,43
창문,42
힐링,42
방이,42
키즈,41
좋음,40
실내,40
인테리어,40
야경,40
평일,40
넓어서,40
난방,40
살짝,39
준비,39
프론트,39
개인,39
날씨,39
고층,39
주말,39
마트,39
새벽,39
운영,39
전망,38
참고,38
도보,38
운서역,38
편의,38
크기,38
연결,38
아트,38
접근성,37
미리,37
없어,36
장점,36
계속,36
먼지,36
입실,36
사우나,36
많아,35
에어컨,35
일찍,35
라운지,35
음식점,34
메르,34
있는데,34
포함,34
신경,33
온도,33
있었습니다,33
무조건,33
왕리,33
좋게,33
친절한,32
있음,32
안내,32
가지,32
친절합니다,32
좋을것,32
역시,32
친절,32
용했습니다,32
없는,32
굉장히,31
데스크,31
공원,31
아쉬웠습니다,31
추가,31
의자,31
수영,31
주차공간,31
다양한,31
타워,31
배달,31
할인,30
나쁘지,30
편하게잘,30
별로,30
가면,30
다룸,30
보이,30
괜찮았어요,30
급하게,29
가능한,29
기전,29
위해,29
가기,29
간단한,29
자고,29
후기,29
식사,29
좋았,29
용하는,29
슬리퍼,28
출국,28
예정,28
먹기,28
가장,28
없습니다,28
그랜드,28
오피스텔,28
아쉬웠어요,28
이불,27
아기,27
셔틀버스,27
친절하게,27
기회,27
업그레이드,27
매일,27
깔끔한,27
깨끗해서,27
클럽,26
헬스장,26
있었는데,26
커서,26
가능합니다,26
많아요,26
커튼,26
없었습니다,26
도시,26
부대,26
자체,26
제외,26
와인,25
일회용,25
좀더,25
상당히,25
린스,25
있네요,25
생수,25
하늘,25
용할,25
터미널,25
문제,25
부모님,25
비누,25
있지만,25
엘베,25
물이,25
괜찮은,25
복층,25
웰컴,25
주방,25
소래포구,25
해수욕장,25
불편함,24
디럭스,24
넷플릭스,24
즐거운,24
입구,24
같아,24
친절하셔서,24
담배,24
좋았네요,24
외관,24
고민,24
정리,24
이동,24
굿굿,24
레지던스,23
종류,23
용하기,23
덕분,23
만족스러웠습니다,23
이쁘고,23
라면,23
맥주,23
친구,23
여유,23
아니라,23
작은,23
머리카락,22
편안하게,22
많은,22
가능,22
가능해서,22
편리하고,22
갈수,22
조명,22
모습,22
기간,22
외국인,22
저렴한,22
깔끔해서,22
취사,22
깨끗하고요,22
요조,22
꿀잠,22
차량,22
파라디,22
나름,22
좋았구요,22
하얏트,22
레스토랑,22
인프라,21
타고,21
오래된,21
묵고,21
편했어요,21
용했는데,21
인할,21
드라이기,21
구경,21
에이,21
기본,21
차이나타운,21
일회용품,21
편했습니다,21
좋은데,21
편히,21
요다음,21
가까운,21
깔끔했고,21
메뉴,21
비치,20
곳도,20
괜찮았습니다,20
직접,20
있을건,20
넓은,20
따뜻하고,20
에어포트,20
모든,20
카운터,20
확인,20
사이즈,20
좋을,20
그런지,20
세탁기,20
소파,20
공사,20
통해,20
오스,20
맛있는,20
감사,20
음료,20
높은,20
엘리베이터,20
다다,20
가끔,19
시스템,19
한편,19
카펫,19
같은데,19
기억,19
히노끼,19
편안하고,19
합리,19
일이,19
두번째,19
쇼파,19
한가지,19
추억,19
일반,19
바람,19
싱글,19
세면대,19
조절,19
손님,19
친절하십니다,19
구매,19
위트,19
신분,19
아쉬움,18
루프,18
보일러,18
보기,18
캐리어,18
제대로,18
롯데,18
분리,18
입니,18
개선,18
더블,18
외부,18
편리했습니다,18
노후,18
깔끔하게,18
대신,18
예전,18
엄마,18
다가,18
있을,18
안나,18
아늑했었어요,18
전날,18
부스,18
식도,18
따뜻한,18
이름,17
로예,17
편안하게잘,17
은방,17
가운,17
크리스마스,17
무난,17
가나,17
편해서,17
링크,17
없어요,17
도크,17
더욱,17
변기,17
비지니스,17
히터,17
미니바,17
쿠폰,17
계획,17
이안,17
충전기,17
해외,17
업무,17
환경,17
넓어,17
용했어요,17
용할께요,17
센터,17
좋을듯,17
크게,17
전자레인지,17
용품,17
반신,17
설명,17
별도,16
원재,16
있었어요,16
오후,16
있었고,16
비대,16
입니당,16
번창,16
로션,16
아들,16
이제,16
문자,16
좋겠습니다,16
여름,16
이구,16
샤워실,16
차로,16
환기,16
단체,16
만족했습니다,16
일정,16
친절해서,16
휴식,16
온수,16
편안한,16
겨울,16
푹신하고,16
해결,16
기준,16
공연,16
충분히,16
교통,16
압도,15
비데,15
한식,15
도편,15
기대,15
쉬다,15
해먹,15
친절하셨습니다,15
인시,15
비즈니스,15
타입,15
필요한,15
요금,15
투어,15
구성,15
주위,15
깨끗했습니다,15
모로,15
거나,15
예쁘고,15
경험,15
에드,15
방안,15
깨끗한,15
뷔페,15
점도,15
여자친구,15
맛있게,15
뭔가,15
깨끗해요,15
아울렛,15
파라,15
프리미엄,15
복도,15
스마트,15
전화,14
컨디셔,14
장소,14
구조,14
간단하게,14
친절해요,14
퀄리티,14
개별,14
횟집,14
목적,14
오크,14
성인,14
있으면,14
강추,14
배서,14
다방,14
이비,14
리조트,14
멀지,14
프로,14
사항,14
가게,14
설치,14
현대,14
얼음,14
없었어요,14
도착,14
금액,14
이아주,14
같네요,14
입장,14
아쉽지만,14
맛있었어요,14
구류,14
조용한,14
요리,14
가능하고,14
전혀,14
면서,14
추합니다,14
간식,13
깨끗하게,13
작년,13
엘레베이터,13
배려,13
고가,13
많은데,13
이크,13
푹신해서,13
약했는데,13
가드,13
끼리,13
가까이,13
탁트인,13
작품,13
용하겠습니다,13
고급,13
만족스러운,13
같았어요,13
금방,13
상관없이,13
청결한,13
화장,13
워시,13
물품,13
문의,13
중국,13
침실,13
노을,13
이기,13
도구,13
우드,13
만족스럽습니다,13
따뜻하게,13
좋았는데,13
잘못,13
식기,13
온돌,13
베란다,13
전자렌지,13
홈플러스,13
상가,13
가가,13
편합니다,13
뜨거운,13
머리,13
베드,13
제법,13
대여,13
안되서,13
야합,13
조리,13
간단히,13
신축,12
곳곳,12
관광객,12
당황,12
야외,12
바닷가,12
옆방,12
넘치는,12
적당히,12
정수기,12
픽업,12
칵테일,12
산책로,12
쾌적하고,12
오전,12
여행가,12
지하철역,12
쇼핑,12
친절하세요,12
신발,12
비행,12
그거,12
세트,12
지하철,12
깔끔했어요,12
원룸,12
친절하,12
가요,12
강력,12
여러가지,12
서재,12
없지만,12
종종,12
위생,12
풍경,12
그것,12
영종,12
피트니스,12
오픈,12
바깥,12
인피니티,12
깨끗했고,12
비교,12
작동,12
용합니다,12
빵빵,12
용해,12
저렴하게,12
도안,12
지금,12
배치,12
좋더라구요,11
술집,11
장가,11
용이,11
좋구요,11
웨스턴,11
부도,11
불편했습니다,11
좋았던,11
만족스러웠어요,11
연휴,11
만족하고,11
매니,11
대한,11
유리,11
편리합니다,11
탁자,11
흔적,11
버스,11
다행히,11
포장,11
얼룩,11
지인,11
연식,11
개구,11
타월,11
오기,11
편해요,11
와인잔,11
아래,11
책상,11
교체,11
마지막,11
고객,11
부가,11
경이,11
괜찮아요,11
라마,11
당일,11
멋진,11
모텔,11
보로,11
거기,11
기념일,11
딱히,11
데뷰,11
자리,11
박스,11
치킨,11
디저트,11
그게,11
좋구,11
불편함이,11
해도,11
오시,11
모시,11
플레이,11
쌀국수,11
아쉽네요,11
경치,11
불편,10
매트리스,10
하룻밤,10
이유,10
고조,10
만족하는,10
약해서,10
가로,10
확실히,10
좋아용,10
작아서,10
호구포역,10
도도,10
대부분,10
야해요,10
연락,10
적당한,10
규모,10
리스,10
만족도,10
있으니,10
처리,10
더박스,10
생활,10
운행,10
블룸,10
오라,10
려고,10
머신,10
캡슐,10
샴페인,10
없으니,10
데이트,10
대해,10
소하,10
전철역,10
가볍게,10
좋을거,10
불편하지,10
필요해,10
훌륭한,10
로이,10
남자친구,10
기기,10
기계,10
아닌,10
이스트,10
실제,10
프라이,10
아쉽습니다,10
아쉬웠지만,10
피로,10
편리하게이,10
생일,10
따뜻해서,10
아무,10
콘센트,10
유료,10
을해,10
안되는,10
가습기,10
괜찮아서,10
휴가,10
연인,10
양호,10
친절하셨어요,10
기류,10
재밌게,10
인덕션,10
단위,9
이바,9
만족했어요,9
갯벌,9
마무리,9
비용,9
나무,9
부담,9
출구,9
원더,9
인근,9
편안함,9
몇번,9
편리했어요,9
등록,9
있었네요,9
게임,9
개월,9
스테이,9
지도,9
레이,9
코너,9
옷장,9
찾기,9
없으면,9
주문,9
예술,9
거실,9
중국인,9
저번,9
좁은,9
이마트,9
창밖,9
면도기,9
좋지,9
통창,9
빠른,9
감동,9
상권,9
전철,9
이틀,9
인상,9
좁고,9
데리,9
인포,9
다행,9
계정,9
같아서,9
먼저,9
트윈,9
물놀이,9
특별한,9
있었지만,9
편하게이,9
여행객,9
가안,9
즐겁게,9
스타일,9
같고,9
불편했어요,9
달라,9
괜찮습니다,9
많았고,9
보통,9
해변,9
보시,9
이드,9
편입,9
휴대폰,9
굿굿굿,9
택시,9
리셉션,9
용할수있는,9
제품,9
안해,9
한식당,9
어요,9
좋았다,9
애기,9
구입,9
관광,9
있게,9
용해서,9
이착륙,9
핸드폰,8
저렴하고,8
식이,8
대중교통,8
용할것,8
커플,8
없네요,8
오늘,8
넓어요,8
좋다,8
네스트,8
용한,8
게다,8
조용해서,8
고집,8
볼거리,8
굳이,8
해외여행,8
코로나,8
깔끔했습니다,8
예뻐요,8
많았어요,8
비품,8
커피숍,8
맛있었습니다,8
말씀,8
중앙,8
근교,8
워낙,8
좋았음,8
게이,8
편백,8
하버,8
좋다고,8
골든,8
자국,8
이이,8
깨끗했어요,8
향기,8
친절히,8
한옥호텔,8
안마,8
최적,8
감성,8
괜찮고,8
여기저기,8
운치,8
사이,8
세면,8
안전,8
프런트,8
나중,8
서예,8
친절했어요,8
도로,8
카이,8
예쁜,8
대체,8
모델링,8
대기,8
비도,8
많음,8
아마,8
빠르게,8
아늑하고,8
이참,8
없는게,8
이예,8
정비,8
딱좋은,8
만점,8
편안했습니다,8
괜찮았는데,8
인전,8
이점,8
여서,8
수풀,8
이하나,8
착해서,8
고장,8
정돈,8
어려움,8
같은게,8
그대로,8
세월,8
공기청정기,8
기념,8
구이,8
아쉽,8
깔끔해요,8
시내,8
체험,8
충전,8
인기,8
베개,8
용할게요,8
아닙니다,8
보관,8
인해,8
대응,8
이나,8
아웃,8
좋아하는,8
가까워,8
정거장,8
시작,8
플라자,7
고역,7
때또,7
같더라고요,7
외국,7
좋앗어요,7
최악,7
편리해서,7
잠도,7
예상,7
고해,7
신랑,7
패밀리,7
놀러와,7
이미지,7
청결합니다,7
주인,7
비밀번호,7
많았습니다,7
있는거,7
프리미어,7
친절하신,7
좋았으나,7
경원,7
더블베드,7
대형,7
옵션,7
신청,7
주시,7
고비,7
방충,7
이뻐요,7
특성,7
최근,7
만족감,7
셀프,7
양식,7
까운,7
디자인,7
세심,7
게쉬,7
연화,7
좋겠어요,7
발코니,7
청결했습니다,7
연말,7
청결해서,7
서방,7
놀수,7
떡볶이,7
일몰,7
친절하셨고,7
가능해요,7
고다,7
얘기,7
평수,7
서술,7
취하,7
목욕,7
편히잘,7
스페이스,7
아쉽긴,7
한국,7
여객,7
넓었고,7
변경,7
헤드,7
많지는,7
가바,7
깨끗하게잘,7
나인,7
고재,7
편리,7
티백,7
럭셔리,7
더라구요,7
개방,7
조용히,7
선물,7
가야,7
벚꽃,7
좋았어,7
어른,7
식탁,7
같았습니다,7
깨끗함,7
이벤트,7
순간,7
야하는,7
숙면,7
스파,7
인치,7
코스,7
그런,7
대교,7
편했고,7
총평,7
야식,7
이듭,7
특급,7
조개,7
상품,7
세탁,7
가시,7
이후,7
더울,7
있었,7
지상,7
남편,7
수가,7
여자,7
판매,7
자판기,7
금은,7
고풍,6
옛날,6
놀러,6
이제일,6
조치,6
좋았고요,6
용하게,6
최상,6
호구,6
고온,6
장님,6
국내,6
없다,6
가깝,6
숙박업소,6
부페,6
코인,6
불편했네요,6
축제,6
관광지,6
선녀,6
완벽한,6
걸이,6
불도,6
서도,6
한쪽,6
어린이,6
이면,6
온돌방,6
서안,6
있는것,6
친절하게안내,6
야합니다,6
보완,6
냄비,6
높아서,6
맞이,6
시장,6
가보,6
답답하지,6
아쉬워요,6
색다른,6
포기,6
이쁜,6
아쉬운건,6
찜질,6
없는듯,6
유리창,6
며칠,6
부탁드립니다,6
좋아해서,6
기능,6
있구요,6
도모,6
감탄,6
안도,6
무척,6
이아,6
트릭,6
이따,6
결정,6
친절하시,6
생기,6
친절했고,6
다재,6
여직원,6
같아여,6
실물,6
면또,6
번호,6
샌드위치,6
만족스럽,6
요하,6
좋으나,6
가구,6
있었구요,6
쾌적했습니다,6
높이,6
서자,6
이륙,6
아레나,6
서식,6
스파이어,6
가작,6
밤늦게,6
관람차,6
하니,6
부족,6
없을,6
거울,6
고려,6
야할것,6
만하,6
송도로,6
가제,6
있으며,6
청라,6
길이,6
부평,6
넓게,6
고무,6
행복한,6
쾌적합니다,6
막걸리,6
없지,6
깨끗하,6
괜찮은데,6
선풍기,6
얼굴,6
베스트,6
층간소음,6
고물,6
추후,6
카톡,6
가도,6
입니다다음,6
아니지만,6
혜택,6
공기,6
작성,6
활용,6
맛있어요,6
세상,6
부부,6
다른사람,6
불편한,6
맛있습니다,6
인후,6
아쉽게도,6
장기,6
숙박시설,6
형태,6
건아,6
디소,6
은하,6
가세,6
용하려구요,6
좌측,6
기존,6
비행기소음,6
좋지만,6
호텔리어,6
깊은,6
불편함은,6
남자,6
많습니다,6
괜찮았고,6
일어나서,6
새로,6
발견,6
따뜻하구,6
지역,6
일출,6
고요,6
날조,6
어플,6
유튜브,6
구명조끼,6
있더라구요,6
간다,6
저렴해서,6
메리트,5
고프,5
칼국수,5
커다란,5
실망,5
힘들어서,5
용할수있었어요,5
밤새,5
만원,5
친절함,5
편리하게,5
소금,5
저런,5
매점,5
이모,5
방내,5
정착,5
반상,5
유가,5
블루,5
필수,5
차가,5
알콜,5
제일교통,5
폭죽,5
깨끗해,5
음악,5
서해,5
정리정돈,5
이건,5
안되고,5
흠잡을,5
유지,5
구월동,5
아가,5
벙커,5
실컷,5
발렛,5
저렴하게이,5
만족스러워서,5
지고,5
첫날,5
다르게,5
신해,5
구석구석,5
을사,5
상세,5
추워서,5
운동,5
가짓수,5
수납,5
맛있었고,5
더더,5
있다는,5
올해,5
리도,5
널널,5
지난번,5
답변,5
쎄고,5
계단,5
없더라구요,5
다음주,5
협력,5
미니,5
최신,5
대안,5
유의,5
아닌듯,5
용하였습니다,5
커피포트,5
착한,5
수고,5
도움,5
좋고잘,5
출근,5
인분,5
청결했고,5
전기포트,5
필요,5
아쉬웠던,5
첨부,5
매트,5
맛있고,5
관람,5
볼일,5
시어,5
리베라,5
이상은,5
배수,5
안된,5
통로,5
최대,5
페리,5
편안해서,5
그렇고,5
중심,5
결제,5
스카이,5
도올,5
더위,5
미러링,5
베이커리,5
방법,5
지방,5
다른건,5
앰버,5
야함,5
조리기구,5
만족스러웠던,5
보임,5
박하기,5
는걸,5
전경,5
라운드,5
조용하니,5
채널,5
송도신도시,5
마시기,5
아니었지만,5
있더군요,5
있으나,5
많네요,5
공항철도,5
간혹,5
시청,5
은별,5
불만족,5
샐러드,5
과자,5
다이슨,5
로또,5
더워서,5
전등,5
팔고,5
침대시트,5
훌륭했습니다,5
남아,5
시원하고,5
따뜻하게잘,5
좋았아요,5
아아,5
아름다운,5
환상,5
감상,5
미세먼지,5
남동구,5
바베큐,5
구역,5
다운,5
컨셉,5
데넘,5
로만,5
중요한,5
잡고,5
구석,5
원래,5
서사,5
유명한,5
훌륭합니다,5
건강,5
이중문,5
나머진,5
괜찮,5
벽지,5
없는데,5
프로그램,5
행사,5
지라,5
후회,5
놀이기구,5
요호,5
전기,5
괜찮다,5
공용,5
마침,5
많더라구요,5
수구,5
카프레,5
약했습니다,5
점심,5
웬만한,5
쾌적해서,5
한참,5
솔레뷰,5
진행,5
새해,5
가온,5
화이트,5
타임,5
골목,5
소래포구역,5
이레,5
용하고있습니다,5
야해서,5
이보,5
있었으면,5
헤어,5
비비큐,5
이전,5
일행,5
친절하시구,5
런가,5
근방,5
금고,5
많았는데,5
한호,5
정보,5
영화,5
동선,5
무제한,5
복합,5
내부시,5
쉬었습,5
안보,5
불구,5
용하기에,5
야할듯,5
가든,5
도나,5
동시,5
유아,5
편하,5
누마루,5
달리,5
멋지고,5
이인상,4
스타벅스,4
드라마,4
다이소,4
중간,4
용하면,4
실시간,4
새우,4
정책,4
공영,4
싱크대,4
신포시,4
동반,4
스피커,4
설거지,4
편리했고,4
냉방,4
아늑하게,4
깔끔하게잘,4
에이스침대,4
있어도,4
발판,4
애견,4
좋았어서,4
워터파크,4
보트,4
불빛,4
파도,4
이야기,4
조용히잘,4
조만간,4
뷰방,4
작아요,4
담요,4
촬영,4
안된다는,4
쓰기,4
편도,4
넷플,4
이세,4
핸드,4
많았지만,4
심하게,4
없다고,4
과일,4
풀이,4
있고요,4
많지,4
괜찮아,4
다해,4
청하면,4
평소,4
튤립,4
깔끔하니,4
인할수있어서,4
만족할만,4
수온,4
조합,4
미온수,4
아예,4
신도시,4
드라이브,4
높아,4
깨끗하니,4
만족해서,4
입욕,4
힘든,4
다라,4
편안히잘,4
매력,4
활주로,4
저렴하게잘,4
하프,4
밥집,4
고갈,4
대상,4
탑승,4
시간대,4
큐레이터,4
좋아오,4
수도,4
애프터눈티,4
필요없이,4
다담,4
기사,4
바램,4
우측,4
암막,4
가방,4
대체로,4
만족합니,4
연박,4
출발,4
약했어요,4
검색,4
급히,4
정원,4
미소,4
항공,4
양한,4
대리석,4
포트,4
흡연,4
눈치,4
필요합니다,4
필요할,4
살기,4
한적하고,4
곰팡이,4
아침식사,4
과정,4
종합,4
아쉽고,4
일상,4
용할수있어,4
우수했어요,4
고추,4
마련,4
솔직히,4
스탈,4
파티,4
효종,4
안됨,4
신하,4
이색,4
안쪽,4
만족해요,4
주류,4
아쉬웠네요,4
장난,4
형식,4
만가,4
어시장,4
좋아여,4
마당,4
아니였어요,4
안되게,4
하워드,4
존슨,4
같더라구요,4
된거,4
편한,4
자꾸,4
볶음밥,4
정신,4
가오,4
이그,4
건안,4
청결해,4
쾌적한,4
친절했습니다,4
공터,4
이해,4
이사,4
수기,4
막상,4
이별,4
케이크,4
군데군데,4
세탁실,4
끝내줍니다,4
초콜릿,4
미쳤습니다,4
체적,4
엇습니다잘묵엇습,4
집도,4
마감,4
상점,4
매월,4
편안합니다,4
있다고,4
단연,4
오래된거,4
티브이,4
제한,4
찜질방,4
수준,4
협소,4
좋았던거,4
아늑하니,4
외출,4
안심,4
편리한,4
있으시면,4
콘서트,4
런트,4
왼쪽,4
인원,4
이주,4
예민하,4
가차,4
접근,4
난감했는데,4
드랍,4
기안,4
즐겁,4
오니,4
가각,4
녹차,4
다리미,4
국제공항,4
신혼여행,4
더이,4
친철,4
