keyword,freq
객실,290
직원,282
냄새,217
예약,187
청소,176
시설,163
상태,157
모텔,155
생각,154
침대,145
화장실,142
가격,139
체크,138
청결,135
먼지,121
소리,119
최악,117
바닥,117
주차,115
이용,115
정도,108
머리카락,101
리뷰,100
방음,98
서비스,94
사람,94
처음,92
느낌,92
침구,91
이불,87
수건,87
조식,84
샤워,83
사진,77
주차장,72
프론트,69
창문,69
담배,67
에어컨,67
사용,67
별로,65
건물,65
주변,64
온도,63
관리,63
위치,61
응대,60
도안,59
안내,58
추가,58
욕실,57
전화,57
매우,54
난방,53
확인,53
없어서,53
같습니다,52
수준,52
곰팡이,52
다시,52
실망,51
아침,51
새벽,51
고객,51
보고,50
같은,48
부분,46
계속,44
문제,44
변기,43
컨디션,42
없는,41
욕조,41
물이,40
요청,40
배정,40
손님,40
소음,40
후기,40
교체,39
냉장고,39
저녁,39
엉망,39
전체,39
가족,38
체크아웃,38
방이,38
입실,37
투숙,37
바다,37
수영장,37
기본,37
얼룩,36
노후,36
연락,36
달라,36
편의점,36
오션,36
칫솔,36
신경,36
안됨,35
없습니다,34
전혀,34
위생,34
슬리퍼,34
근처,34
옆방,34
리조트,33
내부,32
대비,32
장점,32
추천,31
모델링,31
테이블,31
없어,30
개선,30
음식,30
로비,30
머리,30
직접,29
그대로,29
절대,29
같네요,29
남자,28
친절,28
제대로,28
티비,28
완전,28
가지,27
복도,27
문의,26
커버,26
카운터,26
온천,26
오래된,26
치약,26
선택,26
얘기,26
수압,26
자체,25
공사,25
많고,25
좋지,25
베개,25
고해,25
실내,25
가나,24
단점,24
단체,24
커튼,24
자국,24
일반,24
참고,24
바람,24
방안,24
의자,23
안된,23
인테리어,23
조절,23
있는데,23
좋게,23
안되서,22
결제,22
환기,22
히터,22
비용,22
이해,22
제공,22
친구,22
아닌,22
이름,22
식당,22
고장,22
이안,22
아니라,21
해도,21
좋아서,21
도아,21
잘못,21
외부,20
엘리베이터,20
있음,20
세면대,20
방도,20
온돌방,20
커피,20
미리,20
안되고,20
작동,20
금액,19
입구,19
비치,19
말씀,19
그런,19
데스크,19
같아,19
당황,19
안되는,19
없네요,19
어메니티,19
보이,18
샴푸,18
준비,18
지하,18
거울,18
위해,18
교육,18
면서,18
방충,18
아예,18
없어요,18
말투,18
쓰레기,18
접근성,18
나름,17
요금,17
전반,17
무료,17
분위기,17
누가,17
부모님,17
중앙,17
여자,17
제일,17
태도,17
많은,17
사장,17
다가,17
먼저,17
인할,17
요즘,17
좋은데,17
가안,16
하니,16
한참,16
좋음,16
온돌,16
흡연,16
카펫,16
안되어,16
상당히,16
굉장히,16
운영,16
연결,16
경험,16
주말,16
없었습니다,16
잠도,16
이건,15
고프,15
려고,15
할인,15
리모컨,15
불편했어요,15
가장,15
더블,15
나쁘지,15
충격,15
환불,15
처리,15
포함,15
콘센트,15
신분,15
좀더,15
일찍,15
고물,15
아니고,15
없다,15
아쉽네요,15
비누,14
카페,14
좁고,14
설명,14
저렴한,14
기도,14
도로,14
일회용,14
전자레인지,14
아쉬움,14
몇번,14
밤새,14
곳도,14
키즈,14
물질,14
겨울,14
해결,14
있었고,14
크기,14
안좋은,14
일부러,14
공간,14
벽지,14
번호,14
불친절,14
패키지,14
불편했습니다,14
점검,14
그런지,14
거실,14
층간소음,14
안나,13
많아,13
없을,13
아닌가요,13
예전,13
기대,13
요구,13
벌레,13
둘째,13
개인,13
아님,13
수구,13
더러워서,13
입니,13
강아지,13
첫날,13
아무,13
이그,13
크게,13
작고,13
충전기,13
아닌데,13
야할듯,13
없다고,13
이유,13
아닙니다,13
일정,13
현장,13
여관,13
감기,13
필요해,13
안해,13
아쉽습니다,13
바디,13
사항,13
업그레이드,12
타고,12
사과,12
여직원,12
넷플릭스,12
베란다,12
조명,12
따뜻한,12
추워서,12
아쉬운,12
이제,12
화장,12
위트,12
건데,12
샤워실,12
있었습니다,12
날씨,12
이아,12
넓고,12
충전,12
아쉬웠어요,12
당일,12
일회용품,12
이야기,12
룸서비스,12
덕분,12
안보,12
별도,12
같은데,12
같은게,12
휴지,12
본인,12
두번째,12
물때,12
고함,11
중간,11
일이,11
대한,11
깜짝,11
변경,11
부족,11
로안,11
있어요,11
뭔가,11
안된다고,11
화가,11
지도,11
불편,11
이미지,11
현관,11
는걸,11
드라이기,11
자고,11
모든,11
옛날,11
스트레스,11
좋겠네요,11
아기,11
을해,11
시작,11
거기,11
라면,11
여기저기,11
전망,11
커서,11
애견,11
스테이,11
외국인,11
세면,11
불량,11
인사,11
같음,11
다방,11
연휴,11
식사,11
보통,11
그것,10
발견,10
보임,10
금연,10
표정,10
오염,10
싱글,10
솔직히,10
안전,10
엘베,10
기류,10
숙박업소,10
시스템,10
서방,10
테라스,10
정리,10
외관,10
취소,10
런트,10
요물,10
판매,10
번은,10
전기,10
은방,10
세탁,10
오후,10
없는데,10
지금,10
살짝,10
편하게,10
오피스텔,10
추워,10
아래,10
진심,10
만족,10
온수,10
사우나,10
이별,10
취사,10
후회,10
많음,10
불가,9
라마,9
비지니스,9
용할,9
좋을것,9
답변,9
약했는데,9
실망했습니다,9
가요,9
용품,9
많습니다,9
고요,9
악취,9
서안,9
지불,9
문자,9
셀프,9
요리,9
인지,9
무심해서,9
피해,9
안되,9
역시,9
쿠폰,9
괜찮았어요,9
뚜껑,9
같아서,9
이틀,9
괜찮은,9
작은,9
없으니,9
아쉬웠습니다,9
더니,9
요하,9
교통,9
여름,9
기억,9
구매,9
대충,9
도대체,9
고간,9
보기,9
배달,9
가운,9
방법,9
대처,9
음식물,9
야합,9
센터,9
장난,9
비비큐,9
실수,9
캐리어,9
자리,9
맛집,9
비교,9
대해,9
고민,9
가세,9
이상한,9
많아요,9
짜증,9
불편합니다,9
부스,9
공기청정기,9
그래요,9
카페트,9
등록,9
얼굴,9
환풍기,9
있었어요,9
대화,8
하수,8
좋았는데,8
있네요,8
안쪽,8
나중,8
나머지,8
매니,8
오래되서,8
구석구석,8
수기,8
인근,8
정비,8
심해,8
야외,8
안됩니다,8
끼리,8
입장,8
쇼파,8
동네,8
마지막,8
마을,8
공용,8
도제,8
야함,8
굳이,8
도착,8
식기,8
말소리,8
커피포트,8
바퀴벌레,8
있지만,8
없었고,8
싱크대,8
인시,8
노벨,8
거미줄,8
솔직,8
불편한,8
대부분,8
많았고,8
세탁기,8
엘레베이터,8
매트리스,8
오토바이,8
휴대폰,8
대응,8
관광,8
이돈,8
천장,8
교환,8
스탠다드,8
수영,8
가제,8
구조,8
이벤트,8
소파,8
용하지,8
락스,8
편의,8
주방,8
보시,8
편히,8
가면,8
걸이,8
곳곳,8
불편함,8
데리,8
생수,8
역대,8
바베큐,8
플레인,8
순간,8
첨부,8
심함,8
