keyword,freq
청결,9196
객실,5539
시설,4761
직원,4718
이용,3925
조식,3416
가격,3409
위치,3065
주변,3028
주차,2988
침대,2853
예약,2525
화장실,2441
생각,2325
근처,2118
체크,2042
상태,1939
침구,1881
편의점,1842
추천,1762
바다,1723
컨디션,1693
가족,1668
주차장,1660
느낌,1643
매우,1568
아침,1537
넓고,1521
정도,1495
서비스,1321
청소,1265
수영장,1174
오션,1164
욕조,1164
욕실,1160
냄새,1153
사진,1129
같습니다,1124
로비,1114
맛집,1095
처음,1094
편하게,1075
친절하시고,1069
방도,1053
식당,1036
건물,1018
친절하고,1011
샤워,996
소리,987
방음,976
저녁,902
다시,885
없어서,868
만족합니다,864
음식,862
전체,832
부분,825
방이,812
좋아서,811
사람,811
대비,800
사용,798
카페,794
사장,784
있어요,778
수건,775
무료,768
관리,764
인테리어,748
제공,742
공간,735
좋네요,724
커피,721
완전,715
만족,706
리조트,700
선택,690
바닥,683
기도,674
조용하고,670
내부,667
많고,665
체크아웃,664
산책,663
티비,661
소음,641
가까워서,637
칫솔,634
청결하고,622
단점,620
분위기,615
준비,613
걱정,612
어메니티,611
같은,609
넓어서,602
구비,580
리뷰,579
난방,578
배정,566
수압,563
접근성,556
전반,554
지하,550
장점,548
힐링,543
창문,536
프론트,536
역시,527
사우나,515
냉장고,503
응대,498
보고,496
업그레이드,489
아쉬운,488
추가,482
투숙,480
깨끗해서,477
전망,474
바디,474
식사,473
가면,473
스타,472
친절,471
편하고,470
온도,469
온천,468
치약,467
살짝,464
친구,462
샴푸,461
모텔,460
식도,454
캉스,452
좋음,450
부모님,445
먹거리,444
주차공간,443
편의,443
신경,441
덕분,437
있는데,436
도보,436
물이,435
문제,431
테이블,431
나쁘지,430
굉장히,427
가깝고,425
커서,423
제일,421
예정,421
먼지,417
없는,417
후기,415
평일,408
실내,408
좋게,404
배달,402
입실,401
수영,400
공항,397
깨끗한,393
부대,391
같아,389
친절하게,389
편하게잘,388
넷플릭스,387
용했습니다,387
크기,386
날씨,385
계속,384
미리,384
깔끔한,382
그런지,381
테라스,380
가기,379
에어컨,378
