,freq
수건,15
직원,14
청결,12
이용,10
청소,10
가격,10
객실,10
모텔,10
사람,9
생각,9
화장실,8
침대,7
자국,7
샤워,7
냄새,6
이불,6
응대,6
상태,6
사용,6
교체,6
느낌,6
처음,6
정도,5
추가,5
주차장,5
수영장,5
조식,5
에어컨,5
예약,5
침구,5
바닥,5
최악,5
요청,4
단점,4
남자,4
없어서,4
전체,4
편의점,4
보고,4
먼지,4
옆방,4
체크,4
오션,4
바다,4
음식,4
사진,4
의자,4
프론트,4
없는,4
신경,4
소리,4
시설,4
별로,4
슬리퍼,4
결제,3
위생,3
방음,3
관리,3
타월,3
컨디션,3
넓고,3
제대로,3
직접,3
가든,3
욕실,3
물놀이,3
아닌,3
헤지,3
있는데,3
라마,3
위치,3
냉장고,3
세면대,3
중앙,3
도안,3
대비,3
물질,3
완전,3
부분,3
잘못,3
확인,3
여직원,3
방충,3
피씨,3
후기,3
머리카락,3
서비스,3
더블,3
고요,3
싱크대,3
물때,3
기준,3
온돌방,3
인테리어,2
의문,2
온돌,2
제공,2
추천,2
싸구려,2
여수,2
카펫,2
바람,2
히터,2
전혀,2
아쉽게도,2
도아,2
가지,2
용했는데,2
불편합니다,2
거미줄,2
맛집,2
옛날,2
펜션,2
비치,2
테이블,2
밤새,2
달라,2
프리미어,2
저렴한,2
가장,2
난방,2
산책로,2
헬스장,2
리모컨,2
평일,2
실망했습니다,2
같네요,2
수전,2
변기,2
이예,2
매우,2
짚라인,2
욕조,2
엘리베이터,2
포함,2
이바,2
장물,2
계단,2
아저씨,2
주말,2
매점,2
같고,2
여관,2
이유,2
주변,2
리조트,2
려고,2
있음,2
국물,2
밑단,2
실망,2
노후,2
건물,2
걸레,2
아쉽네요,2
물이,2
충전기,2
아쉬운,2
번호,2
주차,2
가안,2
생일,2
기념,2
있으나,2
담배,2
처리,2
서한,2
과정,2
안내,2
아래,2
전화,2
보드,2
좋지만,2
원래,2
고추,2
지도,2
좋게,2
짜증,2
컴퓨터,2
체크아웃,2
볼일,2
손님,2
안해,2
하자,2
이용도,2
미리,2
칼국수,2
스타,2
라그,2
더럽고,2
인덕션,2
지하,2
음가,2
가도,2
전자렌지,2
국밥,2
오입,1
비번,1
경비실,1
서하면,1
전화해야,1
아파트,1
가능한,1
많았어요,1
불구,1
관광지,1
허리,1
없으니,1
아팠어요,1
보기,1
즐거운,1
여수시,1
멀어요,1
진도,1
한적합니다,1
용했고,1
고흥,1
남편,1
안좋은,1
추억,1
별루,1
매트리스,1
주차공간,1
안되는것,1
과바,1
팔마,1
체육,1
관등,1
친절했구요,1
내부,1
있더라구요,1
불친절함,1
수압,1
쎄더라구요,1
있는걸,1
구비,1
교육,1
필요,1
건너편,1
그렇습니다,1
미터,1
깔끔합니다,1
고지,1
안되다시피,1
환풍기,1
요법,1
계획,1
잡고,1
이아,1
규정,1
좋자는,1
뻔하져두,1
다시,1
음식점,1
안되는것을,1
일회용품,1
도적,1
출입문,1
없네요,1
들러리,1
추첨,1
입장,1
선착순,1
지나,1
추워,1
경품,1
좁고,1
상의,1
좋겠네요,1
허수,1
기만,1
본인,1
없다는,1
잔치,1
비지니스,1
만족스럽진,1
추위,1
없다는거,1
류등,1
초심,1
신건,1
있던,1
카운터,1
타워,1
동시,1
이상하고,1
모로,1
영종도,1
엘레베이터,1
나절,1
항공,1
가능할듯,1
모든,1
전기,1
오픈,1
편한데,1
지인,1
방도,1
괜찮았고,1
좋지도,1
나쁘지도,1
좋았는데,1
트읜,1
통창,1
넓은,1
은방,1
풍경,1
너무했어요,1
찝찝해서수건,1
거칠거칠하고,1
라바다,1
커피숍,1
크게,1
답변,1
뜨거운,1
바디,1
은색,1
벽지,1
컴컴함,1
사장,1
불친절하고,1
그래요,1
방이,1
더워도,1
못틈,1
클린,1
미지근한,1
베개,1
요즘,1
낮은거,1
만원,1
소하,1
게다,1
휴대폰,1
충전,1
선도,1
헷갈림,1
다른데,1
더주고라도,1
인용,1
바깥,1
없다며,1
까페,1
제뒤,1
사고,1
공지,1
없던데다,1
리아,1
파서,1
대기,1
에드,1
식당,1
뿐이었습니다,1
만하,1
좁아요,1
선택,1
있지만이,1
좁아도,1
