,freq
청결,720
객실,346
시설,333
직원,312
여수,275
조식,247
가격,223
침대,215
이용,210
바다,200
위치,191
주변,188
화장실,169
주차,167
가족,158
예약,157
오션,156
편의점,149
상태,136
주차장,136
아침,133
생각,132
컨디션,129
침구,125
추천,124
매우,116
근처,109
체크,107
느낌,102
넓고,101
수영장,95
목포,92
정도,87
사진,86
처음,85
같습니다,84
청소,81
냄새,79
로비,77
건물,77
리조트,76
관리,74
서비스,73
맛집,73
사용,72
순천,70
저녁,70
없어서,69
다시,67
방도,66
전체,64
방음,62
산책,61
대비,61
좋네요,60
만족,60
수건,59
선택,59
있어요,59
샤워,58
커피,58
편하게,58
기도,57
조용하고,56
광장,54
친절하시고,54
테라스,54
부모님,53
사우나,53
소리,52
친절하고,51
카페,51
음식,50
방이,50
스타,50
무료,50
완전,49
식당,49
수압,48
좋아서,48
수영,48
전망,48
어메니티,48
준비,47
사람,46
보고,45
욕실,45
사장,45
경치,44
비치,43
내부,43
단점,42
공간,42
욕조,42
창문,42
같은,41
배정,41
제공,40
온도,40
칫솔,40
걱정,39
청결하고,39
일출,39
좋을것,38
티비,38
부대,38
부분,38
깨끗해서,38
바닥,38
넓어서,37
구비,37
인테리어,37
편의,37
아기,35
만족합니다,35
만족스러웠습니다,35
좋게,35
예정,35
가까워서,35
야경,34
인피니티,34
평일,34
있는데,34
마트,33
같아,33
장점,33
치약,33
신축,33
별로,33
테이블,33
소음,33
냉장고,32
커서,32
리뷰,32
크기,32
괜찮았어요,32
전반,32
가면,32
투숙,32
요다음,31
편히,31
입구,31
난방,31
깨끗한,31
좋았,31
도보,31
아쉬운,30
간단한,30
미리,30
실내,30
응대,30
이불,30
힐링,30
많고,30
편하고,30
포차,30
물이,29
친절해요,29
좋았네요,29
관광지,29
개인,29
프론트,29
나름,29
역시,28
샴푸,28
자체,28
종류,28
덕분,28
편하게잘,28
나쁘지,28
모든,28
있음,28
깔끔한,28
이순신,28
에어컨,27
의자,27
편했습니다,27
날씨,27
접근성,27
바람,27
친구,27
추가,27
워터파크,27
넷플릭스,27
시내,27
친절하게,27
지하,27
식도,27
분위기,27
주차공간,27
토스트,26
있으면,26
바닷가,26
고민,26
그런지,26
순천역,26
자고,26
드라이기,26
후기,26
먹기,26
꿀잠,26
스파,26
라면,26
두번째,26
편안하게,26
바디,26
샌드위치,25
편했어요,25
낭만,25
모텔,25
맥주,25
신경,25
없는,25
오동도,24
광양,24
타고,24
깔끔해서,24
깨끗했어요,24
없어요,24
기본,24
친절,24
가게,24
입니,24
샤워실,24
분리,24
케이블카,24
체크아웃,24
없어,24
포함,23
좋구요,23
주위,23
굉장히,23
할인,23
가기,23
보이,23
친절합니다,23
즐거운,23
김밥,23
뷔페,23
없었습니다,23
없었어요,23
고흥,22
평화,22
간단히,22
이동,22
더블,22
가까운,22
보기,22
계속,22
용했습니다,22
전혀,22
좋았구요,22
라운지,22
같네요,22
택시,22
일찍,22
모델링,22
주말,22
좋은데,21
먼지,21
도크,21
추억,21
크게,21
살짝,21
변기,21
다룸,21
린스,21
풍경,21
부족함,21
온수,21
용할,21
불편함,21
좋았는데,21
엑스포,21
가장,21
저렴한,21
공원,21
만족했습니다,20
갈수,20
외부,20
좀더,20
고조,20
정원,20
취사,20
방안,20
안나,20
급하게,20
업그레이드,20
따뜻하고,20
친절한,20
용했어요,20
음료,20
엘리베이터,20
가깝고,20
고층,20
수풀,20
진도,20
여름,20
복층,19
상당히,19
입실,19
구매,19
좋음,19
한가지,19
번창,19
싱글,19
요조,19
아쉬웠어요,19
검색,19
은방,19
많은,19
용하기,19
타일러,18
해결,18
그것,18
아쉽네요,18
있지만,18
배달,18
아니라,18
음식점,18
좋을,18
프런트,18
친절해서,18
일회용품,18
데스크,18
침실,18
베드,18
모시,17
세탁기,17
여유,17
편안한,17
컵라면,17
친절하세요,17
세면대,17
패키지,17
식사,17
직접,17
일몰,17
정리,17
구경,17
간단하게,17
푹신하고,17
무조건,17
조절,17
지역,17
많아,17
참고,17
식이,17
먹거리,17
엄마,17
기회,17
제일,17
기억,17
스테이,17
가나,17
있네요,17
야외,16
그거,16
