,freq
가격,15
객실,14
침대,13
소리,13
시설,13
직원,12
방음,11
상태,11
청결,10
화장실,10
냄새,10
청소,10
생각,10
예약,10
이용,9
체크,8
처음,8
느낌,8
모텔,7
군산,7
담배,7
문제,7
창문,7
정도,6
먼지,6
부분,6
사람,6
아침,6
침구,6
바닥,6
실망,6
전혀,6
관리,6
마을,6
위트,5
달라,5
같습니다,5
복도,5
해결,5
별로,5
수준,5
머리카락,5
응대,5
칫솔,5
웨딩,5
위치,5
리조트,5
서비스,5
최악,5
주차장,5
그대로,5
이불,5
스테이,4
소음,4
안내,4
가족,4
노후,4
같은,4
내부,4
프론트,4
수건,4
치약,4
일반,4
개선,4
컨디션,4
새벽,4
체크아웃,4
오래된,4
얼룩,4
추천,4
신관,4
실내,4
같네요,4
배정,4
대비,4
야할듯,4
전화,4
전주,4
없어요,3
없는,3
직접,3
없어,3
세탁,3
세탁기,3
있는데,3
시프,3
을해,3
유리,3
좋게,3
축복,3
보고,3
바다,3
건물,3
기대,3
미리,3
설거지,3
문자,3
리뷰,3
오션,3
저녁,3
선택,3
충전기,3
번은,3
욕실,3
가지,3
주차,3
이안,3
타고,3
당황,3
벽지,3
머리,3
좋겠습니다,3
사이즈,3
적정,3
좀더,3
야외,3
층간소음,3
흡연,3
다시,3
곳도,3
감안,2
엉망,2
발견,2
그런지,2
남자,2
플레이,2
사용,2
아쉬운,2
샤워,2
온돌방,2
화장,2
려고,2
작성,2
순간,2
식탁,2
요즘,2
점검,2
당일,2
만큼,2
물티슈,2
고장,2
요조,2
안됨,2
용한,2
작동,2
불량,2
외부,2
사진,2
밉니다,2
외관,2
야할것,2
장난,2
바람,2
심하게,2
런트,2
사전,2
없네요,2
음식,2
매니저,2
어제,2
냉장고,2
여름,2
기류,2
수세미,2
자꾸,2
가가,2
괜찮았어요,2
커튼,2
빌어,2
후기,2
안되는,2
태도,2
다리,2
안된,2
매우,2
연락,2
비치,2
아니고,2
물이,2
추가,2
포기,2
몇번,2
샴푸,2
금연,2
경관,2
겨울철,2
어메니티,2
티비,2
로얄스,2
프로,2
콘센트,2
근처,2
안되니까,2
일이,2
테이블,2
중간,2
커피믹스,2
놀러와,2
일회용,2
절대,2
굳이,2
얘기,2
도아,2
퀄리티,2
도고,2
용했어요,2
편하게,2
스트레스,2
없습니다,2
가끔,2
저렴한,2
마리,2
야합,2
기대하고,2
장점,2
상당히,2
온도,2
세제,2
한옥호텔,2
시작,2
배터리,2
변기,2
커피,2
훈계,2
편안한,2
로비,2
사장,2
신경,2
안됩니다,2
나름,2
만족합니다,2
가면,2
솔직히,2
드라이,2
인테리어,2
고리,2
오후,2
더블,2
짜증,2
난방,2
도안,2
입실,2
고프,2
식당,2
아쉬웠어요,1
있는가,1
선할,1
부적절해,1
박했을,1
차갑고,1
몇개,1
주문,1
대요,1
숙박시설,1
없었어요,1
특정,1
비싸게주고,1
종교,1
펜션,1
다양한,1
자넷,1
공기,1
자수,1
고여,1
없어서,1
친절했구나,1
다른사람,1
기숙,1
길게하던,1
지방,1
착오,1
설립,1
착했는데,1
남해,1
편하게잘,1
데리,1
미안하던지,1
환기,1
잠도,1
꽁초,1
요애,1
보이,1
그런,1
똑같은,1
있네요,1
친절하지,1
형편,1
아깝단,1
시끄러웠습니다,1
책자,1
잔디밭,1
이입,1
뒷산,1
배경,1
스럽습니다,1
등기,1
북적,1
천막,1
입니다하지만,1
아마,1
끊임없이,1
없을것,1
토일,1
결코,1
아닌거,1
가작,1
좋았던건,1
룸등,1
이뻤습니다만,1
파우더,1
샤워실,1
미흡합니다,1
해방,1
결혼식,1
필요한,1
친절하셨습니다,1
이벤트,1
복잡하니,1
양해,1
안됬었습니다,1
고지,1
산책로,1
실해있는야,1
교회,1
다해,1
작은,1
성경,1
안되서,1
크리스찬,1
독실한,1
워층,1
야하는지,1
아닌,1
강요,1
지도,1
왜알,1
피해,1
그럴,1
싸했어요,1
목욕,1
유일하게,1
소음정,1
한장,1
인지상정,1
결혼,1
대중,1
정의,1
새로운가,1
혼잡할수있으나,1
계속,1
목욕탕,1
결혼식장,1
벽간,1
간시,1
심합니다,1
스위트룸,1
거울,1
아쉬웠습니다,1
전매,1
있나,1
요소,1
독하셔,1
아닌데,1
완전,1
필요,1
없을듯,1
좋았는데,1
욕조,1
용품,1
만족스러웠습니다,1
서약,1
고객,1
방소,1
똑같습니다,1
생겻,1
가분,1
주전,1
악한,1
지금,1
주변,1
준비,1
벼룩,1
같음,1
벌레,1
싫었음,1
인하기전부터,1
서언,1
달달,1
귀찮아서,1
도대체,1
궁금한지,1
러신,1
불친절하시더라고요,1
필요한것,1
방만,1
에이,1
용할지는,1
사악,1
옆방,1
서문,1
방이,1
테이,1
안나,1
그랬으면,1
도배,1
보기,1
수리,1
고방,1
반스,1
대신,1
음가,1
좋치만,1
데이트,1
기사,1
장님,1
이돈,1
충전,1
불편,1
매트리스,1
커버,1
인지,1
있지만,1
요욕,1
조스,1
운영,1
쇼핑,1
도보,1
남원,1
용하는,1
점점,1
좋아서,1
있다는거,1
야합니다,1
교쳬,1
수동,1
이야기,1
실만,1
이미지,1
말씀,1
비싼,1
어이없는,1
요다음,1
안되나,1
설명,1
인할,1
손님,1
인사,1
없으시고,1
까운,1
입니다가,1
다기,1
오래되서,1
숙면,1
취하,1
솔직,1
준비물,1
불친절한,1
청해,1
요청,1
깨끗하,1
난함하지만,1
별반,1
아깝다,1
가안,1
인원,1
안옴,1
역시,1
전화하고안되,1
키도,1
손잡이,1
키라,1
비싸네요,1
친절하고,1
현장,1
저렴하여,1
나빴으며,1
낡음,1
이아,1
헤어,1
기대했는데,1
무난,1
고무,1
블럭,1
약했음,1
키즈,1
벌금,1
부과,1
청결하겠구나,1
엄청난,1
제코,1
근원,1
고베,1
교환,1
지독하게,1
을사,1
용하는것인지,1
이렇게나,1
온몸,1
가배,1
어질어질했습니다,1
용했었는데,1
많아요,1
좋은데,1
종류,1
없는데,1
다가,1
친절,1
있었고,1
확인,1
저렴한것도,1
어디가,1
일찍,1
클린,1
로예,1
약했는데,1
좀바,1
저그,1
작년,1
학생,1
좋지는,1
세월,1
흔적,1
있긴하나,1
양호,1
친절해서,1
안되어,1
추웠,1
고온,1
풍기,1
시끄러웠으며,1
인보이스,1
후회되네요,1
상상,1
그것,1
설치,1
없다고,1
일부러,1
아니니까,1
요하,1
대해,1
좋아야,1
덕분,1
피곤하고지치게,1
마무리,1
씁쓸하네요,1
안타깝습니다,1
이이,1
별점,1
이건,1
안좋은,1
충분히,1
그럴수있다고,1
이해,1
방안,1
안되네요,1
밤잠,1
이하이,1
저렴하네요,1
옥뷰,1
박하고,1
모든,1
친절하셨고,1
푹신해서,1
편안했지만,1
안되어있어서,1
망치,1
의자,1
어마어마하게,1
윗층,1
공룡,1
어마어마한,1
가사,1
끔찍하네요,1
헤드,1
에손,1
자국,1
베란다,1
방충,1
주방,1
별루,1
있었습니다,1
비눗물,1
속도,1
체인지,1
요구,1
건아,1
지란,1
설상가상,1
테레비,1
채널,1
리모콘,1
화면,1
꼭지,1
만족스러워습니다,1
심히,1
괜한트,1
곤란하진,1
고심,1
불친절해요,1
청결하지,1
점도,1
스위치,1
예정,1
무심하게나서,1
바빴네요,1
곰팡이,1
천국,1
많구요,1
밤늦은,1
안되는거줘서,1
그다음,1
안된다고,1
죄송하,1
단말,1
없었구요,1
도로,1
정신,1
없었음,1
깨끗하여,1
좋았,1
음경,1
기전,1
가깝고,1
기도,1
기겁,1
고해,1
드물긴,1
시끄러운,1
편의,1
괜찮,1
은숙,1
소일,1
같지만,1
부족한것,1
기대한만큼,1
안좋아요,1
말소리,1
두번째,1
반대쪽,1
같은데,1
안좋아서,1
예매,1
좀하셔,1
요한,1
도거리,1
불편합니다,1
인하자마자,1
수구,1
기계화,1
계절,1
인식,1
대기,1
루고,1
안되요,1
소변,1
세면기,1
괜찮았으나,1
많았고,1
물때,1
서사,1
없으니,1
다다,1
익숙하기,1
제일,1
방도,1
답답함이,1
만족스럽지만,1
하수도,1
악취,1
슬리퍼,1
발신,1
없었어두,1
괜찮다,1
더럽고,1
쇼파,1
통행,1
예민하,1
신분,1
투숙,1
차로,1
십분,1
부킹,1
건데,1
친절하나다음,1
애초,1
군데,1
없지만,1
그럼에도,1
시안,1
급하게,1
안남아있어서,1
야할거,1
친절한,1
서하,1
좋겠네요,1
깨끗하며,1
편안해서,1
애용,1
완료,1
후베이,1
커리,1
좋을거,1
빵맛,1
용함,1
넓고,1
바베큐,1
좋을,1
이탈리안,1
아쉽긴,1
먼다시,1
아늑하고,1
소입,1
도끼,1
발등,1
전망,1
금강하구둑,1
발전,1
언덕,1
전라북도,1
예쁜,1
본관,1
뷰늘,1
좋으나,1
시원한,1
아닙니다,1
상당,1
탁트인,1
만족하며,1
페셔,1
부족하다고,1
여름철,1
시내,1
므로맟저눟,1
좋을텐데,1
아쉬움,1
전반,1
괜찮아요,1
예민하지,1
담날,1
아쉽네요,1
편의점,1
좀거,1
시기하네요,1
지하,1
물기,1
구류,1
청결하고,1
깨끗했어요,1
각층,1
만족,1
창가,1
심함,1
라마,1
주말,1
전국,1
많은,1
보지,1
춥다,1
층뷰,1
면도기,1
라서,1
만족했어요,1
행시,1
프라이버시,1
물걸레,1
궁금하시다면,1
거실,1
정리정돈,1
쓰레기,1
분리수거,1
미실,1
동의,1
전라도,1
무인,1
대세,1
가무,1
공짜,1
별표,1
반개,1
아깝네요,1
경상도,1
좋지도,1
이하나,1
누굴위,1
카운터,1
무작정,1
아니냐고,1
구문,1
화로,1
건조해서,1
굉장히,1
칼칼해졌어요,1
방한,1
할인,1
좁았고,1
세면대,1
이쾅,1
간지,1
상처,1
미안하고,1
민망하고,1
첫날,1
많고,1
힘들었어요,1
보구,1
더니,1
안되구,1
기상,1
입구,1
어둡고,1
향기,1
가나,1
있어요,1
바디,1
아니라,1
강제,1
괜찮아,1
