,freq
객실,32
직원,25
예약,19
냄새,18
생각,15
시설,14
건물,13
리뷰,13
화장실,12
샤워,10
정도,10
체크,10
소리,10
위치,10
곰팡이,9
주차장,9
주차,9
청결,9
상태,9
침대,8
방음,8
서비스,8
가격,8
별로,8
조식,8
최악,8
이불,7
비용,7
침구,6
사진,6
바닥,6
청소,6
온도,6
창문,6
문제,6
바다,5
수건,5
욕실,5
주변,5
먼지,5
커튼,5
단체,5
관리,5
교체,5
느낌,5
환기,5
수학여행,5
프론트,5
카운터,5
깜짝,5
이해,5
같은,4
남자,4
이용,4
해도,4
수압,4
내부,4
교육,4
부분,4
같습니다,4
친절,4
모텔,4
테이블,4
조절,4
오션,4
안되서,4
장점,4
중국인,4
에어컨,4
포함,4
도안,4
작동,4
전화,4
전체,4
없습니다,4
추가,4
응대,4
난방,4
바람,4
좋겠네요,3
웬만하면,3
매우,3
카페트,3
있었어요,3
식당,3
가장,3
음식,3
좋게,3
저녁,3
안됨,3
치약,3
절대,3
아님,3
아닌가요,3
전혀,3
사용,3
편함,3
야함,3
야할듯,3
온돌,3
보고,3
중앙,3
곳도,3
신경,3
시티,3
배정,3
가나,3
수준,3
소음,3
담배,3
위해,3
엉망,3
상당히,3
편의점,3
머리카락,3
추천,3
쓰레기,3
안해,3
피해,3
외국인,3
체크아웃,3
로비,3
연락,3
얘기,3
인사,3
계속,3
태도,3
지도,3
투숙,3
근처,3
자체,3
내일,3
물이,3
고간,3
설명,2
인해,2
같음,2
약해여,2
아니고,2
히터,2
영수증,2
부족,2
한장,2
투자,2
따뜻한,2
부스,2
공항,2
답답해서,2
아깝네요,2
라면,2
가공,2
제공,2
같은데,2
아예,2
해수욕장,2
함덕,2
변기,2
면서,2
샴푸,2
없어서,2
작고,2
서연,2
진동,2
신분,2
의문,2
중국,2
식품,2
여자,2
바퀴벌레,2
기만,2
좁고,2
마인드,2
피하,2
고해,2
친구,2
편의,2
지배인,2
아쉽습니다,2
이동,2
불편했어요,2
같아서,2
고객,2
가지,2
경찰,2
복도,2
모기,2
인스턴트,2
좋지,2
스물,2
매일,2
좋아서,2
관련,2
무심했어요,2
안되는,2
발해,2
심함,2
옆방,2
허지만,2
직유,2
보이지,2
여행객,2
인테리어,2
예전,2
친절해여,2
손님,2
없는,2
아침,2
