,freq
청결,530
직원,358
가격,348
객실,342
시설,311
이용,301
침대,248
위치,248
근처,239
주차,236
생각,202
주변,198
화장실,198
공항,195
조식,191
편의점,185
예약,172
추천,154
바다,152
주차장,147
상태,144
매우,138
수영장,136
가족,136
넓고,133
컨디션,130
시장,127
체크,122
침구,120
정도,117
오션,108
서귀포,105
느낌,104
아침,104
서비스,101
청소,94
식당,89
소리,88
같습니다,86
대비,85
다시,85
저녁,83
있어요,82
편하게,81
맛집,80
냄새,79
친절하고,76
가까워서,74
방이,74
방음,74
샤워,74
올레,73
사진,71
로비,70
수건,70
방도,69
처음,66
건물,64
부분,63
내부,62
좋아서,61
친절하시고,61
욕실,60
가깝고,59
넓어서,58
카페,57
창문,57
없어서,56
전체,55
사람,52
선택,52
지하,52
만족,51
음식,51
바닥,50
사용,50
칫솔,49
많고,49
만족합니다,49
산책,48
장점,48
수압,48
살짝,48
무료,48
도보,48
바디,47
기도,47
수영,47
레시,47
접근성,47
단점,46
공간,45
마지막,45
인테리어,45
저렴한,45
한라산,45
편의,44
치약,44
리조트,44
같은,44
티비,43
조용하고,43
넓은,42
욕조,42
크기,42
함덕,42
업그레이드,42
샴푸,41
배정,41
좋음,41
테이블,41
성산일출봉,40
제공,40
이동,40
나쁘지,39
전반,39
소음,39
프론트,38
걱정,38
제주시,38
관리,38
급하게,38
역시,37
먹거리,36
먹기,36
리뷰,36
투숙,36
신라,35
친절,35
좋네요,35
외부,34
맥주,34
완전,34
냉장고,34
가기,34
참고,34
주차공간,34
편했어요,33
사장,33
가면,33
가지,33
많은,33
시내,33
날씨,33
친구,33
할인,32
없는,32
굉장히,32
파크,32
괜찮았어요,32
좋았,32
있는데,32
일찍,31
깨끗해서,31
나름,31
중문,31
난방,31
덕분,31
에어컨,31
커피,31
추가,30
자체,30
온도,30
좋게,30
구비,30
비행기,30
아쉬운,30
무조건,30
세면대,30
예정,29
친절하셔서,29
사우나,29
안내,29
첫날,29
갈수,29
만족했습니다,28
놀이기구,28
편하게잘,28
준비,28
실내,28
엄마,27
문제,27
고조,27
전망,27
응대,27
그런지,27
고민,27
제일,27
샤워실,27
해결,26
린스,26
계속,26
더블,26
해수욕장,26
동문,26
부대,26
부모님,26
용했습니다,26
가장,26
용하기,26
먼지,26
일정,25
신경,25
보고,25
커서,25
있지만,25
청결하고,25
입구,25
놀러와,25
보이,25
워터파크,25
드라이기,25
친절하게,24
후기,24
다룸,24
여유,24
오래된,24
요다음,24
편하고,24
개인,24
분위기,23
별로,23
만족스러웠습니다,23
식사,23
친절하시구,23
타고,23
곳도,23
저렴하고,23
같네요,23
계획,23
입실,23
가능,23
테마,23
운영,23
식도,23
없어,23
체크아웃,23
손님,22
서귀포시,22
깔끔한,22
크게,22
깨끗한,22
복도,22
새벽,22
괜찮은,22
워시,22
롯데,22
캉스,22
어메니티,22
배달,22
라면,22
좋을,22
관광,21
의자,21
수풀,21
압도,21
구매,21
만족스러운,21
신분,21
모든,21
친절해요,21
여름,21
아쉬웠어요,21
관광지,21
그것,21
택시,21
완벽한,21
없었어요,21
공연,21
친절하셨어요,21
괜찮아요,20
자고,20
편히,20
인해서,20
힐링,20
친절합니다,20
용했는데,20
두번째,20
좋았는데,20
저렴하게잘,20
입니,20
요조,20
용했어요,20
같아,20
아쉬웠습니다,20
공원,20
에이,19
많아,19
중국인,19
이불,19
면서,19
없습니다,19
은방,19
가게,19
구경,19
뚜벅,19
매트리스,19
있었습니다,19
있네요,19
캐리어,19
도착,19
패키지,19
도로,19
변기,19
담배,19
있어용,19
즐거운,19
상당히,19
좀더,18
더욱,18
김밥,18
금액,18
교통,18
있었어요,18
개도,18
친절해서,18
슬리퍼,18
저렴해서,18
볼거리,18
성산,18
아기,18
좋을것,18
좋았네요,18
기억,18
로예,18
여행가,18
포함,18
수준,18
부스,18
