,freq
청결,17
객실,16
직원,16
냄새,15
바닥,15
시설,12
청소,12
최악,11
곰팡이,11
이불,11
추가,11
생각,11
가격,10
먼지,10
리뷰,10
모텔,10
상태,9
전화,8
침대,8
체크,8
수건,8
예약,8
새벽,8
별로,7
프론트,7
응대,7
방이,7
화장실,7
조식,7
주차장,7
처음,7
난방,7
정도,7
서비스,6
방음,6
요금,6
온천,6
소리,6
키즈,6
욕조,6
계속,6
슬리퍼,5
연락,5
수준,5
에어컨,5
사용,5
같습니다,5
커튼,5
사람,5
도아,5
손님,5
온도,5
없습니다,5
주차,5
문제,4
실망,4
더러워서,4
소음,4
투숙,4
좋은데,4
불편했어요,4
금액,4
면서,4
로비,4
상당히,4
테라스,4
이제,4
위해,4
관리,4
가지,4
사진,4
신경,4
입실,4
절대,4
이용,4
많고,4
분위기,4
도안,4
공사,4
요청,4
아기,4
컨디션,4
개월,3
예전,3
없어,3
냉장고,3
어메니티,3
단체,3
려고,3
주방,3
커피포트,3
옛날,3
카펫,3
다른사람,3
부모님,3
오션,3
건물,3
아니라,3
느낌,3
안내,3
커서,3
교체,3
직접,3
같은,3
바람,3
확인,3
전자레인지,3
아침,3
보고,3
안좋은,3
머리카락,3
괜찮다,3
이름,3
요물,3
필수,3
공간,3
잘못,3
창문,3
일부러,3
엄마,3
욕실,3
샤워,3
없어서,3
남자,3
안됨,3
미지근한,3
주변,3
집안,2
친절하게,2
번호,2
어르신,2
워터파크,2
심보,2
망하기는,2
용할수있는,2
있음,2
원추,2
닌지,2
데스크,2
높은,2
가가,2
가족,2
고생,2
방충,2
오래되서,2
순간,2
추천,2
취소,2
일회용,2
신랑,2
가나,2
칫솔,2
안되는,2
아무,2
친절하고,2
방바닥,2
덩이,2
콘센트,2
없는,2
감성,2
매니저,2
담배,2
여친,2
하니,2
환불,2
전체,2
결혼,2
숙박시설,2
안된다고,2
제안,2
검색,2
함성,2
조절,2
좋지,2
텐트,2
유지,2
사장,2
요구,2
행시,2
오늘,2
은별,2
분만,2
추위,2
침구,2
아닌데,2
아보,2
있었습니다,2
부분,2
캐리어,2
펜션,2
달리,2
급히,2
결제,2
실내,2
밤새,2
게임기,2
카페,2
간단한,2
추워,2
석식,2
안되서,2
음식,2
좋게,2
불편,2
숙박업소,2
프로,2
박했는데,2
내부,2
제일,2
신축,2
이하,2
모든,2
낙후,2
화장,2
안함,2
야해서,2
내야,2
자체,2
불친절함,2
고물,2
서자,2
노후,2
저녁,2
아쉽습니다,2
오래된,2
기본,2
도구,2
비누,2
저렴,2
한편,2
엉망,2
용한,2
스탠드,2
나름,2
따뜻한,2
더워,2
위치,2
아저씨,2
이건,2
얼룩,2
카페트,2
묵고,2
설치,2
안되고,2
고해,2
을씨년스럽고,1
엘베,1
티비,1
지모,1
개방,1
지역,1
요나,1
모델링,1
계신다,1
친절했지만,1
지저분한,1
수리,1
거절,1
가세,1
공포영화,1
귀곡산장,1
시급합니다,1
입니,1
루아,1
집기,1
청년,1
전통,1
시장,1
안되어있다,1
카운터,1
주름,1
많은것,1
근처,1
도고,1
세탁기,1
우울,1
재사용,1
가우,1
반전,1
의욕,1
깨끗했다는게,1
다운,1
냉골,1
전등,1
장난,1
리가,1
방은정,1
인했었다,1
세척,1
뻔했어요,1
요즘,1
기절,1
컵라면,1
고층,1
차마,1
인하며,1
중간층,1
입금,1
없냐고,1
좋았네요,1
절도,1
없다,1
나쁘다,1
어플,1
아닌,1
도시,1
하이라이트,1
전망,1
이싼,1
전화해야하는데,1
그럴듯해,1
디테,1
부족하게,1
계신,1
제외,1
많았음,1
고재,1
다양한,1
던데,1
계시,1
인스타그램,1
전화해야,1
평일,1
결론,1
홍보,1
같아,1
게임,1
원치않고,1
요새,1
있던데,1
플레인,1
젖병,1
아쉬움,1
물건,1
우유,1
주거,1
구매,1
이유식,1
아침밥,1
현금,1
없는걸,1
계좌,1
이체,1
가능,1
시기,1
가까운,1
서기대,1
안고,1
부부,1
장안,1
불쾌했음,1
점검,1
운영자,1
소독기,1
없었습니다,1
방위,1
불편했네요,1
서도,1
수압,1
만류,1
약해서,1
남편,1
는걸,1
그랬지만,1
바다,1
말씀,1
슬프네요,1
인생,1
점차,1
정리,1
적지,1
아래,1
쓰려,1
정확한,1
부족하다고,1
표정,1
가도,1
아가,1
까페,1
식사,1
없었다는데,1
퇴실,1
풍기,1
눅눅함,1
더러웠다면,1
깨끗한,1
목적,1
쎄요,1
비데,1
작은,1
와이파이,1
현관,1
이구분,1
깨끗하지,1
더럽습니다,1
있지만,1
신고,1
니지,1
양말,1
따뜻하고,1
헤어,1
지그,1
더워요,1
건조하니까,1
가습기,1
세이,1
무료,1
실물,1
뜨거우니,1
꼭틀때,1
려면,1
지하,1
드라이기,1
면봉,1
친절하지,1
세대,1
걱정,1
아니에요,1
인전,1
친절하다는,1
보증금,1
만원,1
불편했지만,1
패스,1
어두웠어요,1
중앙,1
없었고,1
메인,1
바디,1
양옆,1
아예,1
어두웠습니다,1
아니었던,1
기억,1
라면,1
있으니깐,1
게다,1
방문객,1
샴푸,1
린스,1
여자,1
직급,1
이월,1
사과,1
비치,1
이용자,1
사생활,1
보호,1
많고나이가있으신,1
여직원,1
불친절,1
갑질,1
민박,1
뷰값,1
그대로,1
복도,1
조항,1
가구,1
도오,1
거림,1
로안,1
기름기,1
바닷가,1
폭죽,1
좁음,1
넷플릭스,1
같은것,1
마넌,1
일반,1
악독,1
있으신,1
어수선하네요,1
친절하셨어요,1
신발,1
맨발,1
낡고,1
없는데,1
구석방,1
무기,1
안좋다고,1
방청,1
소비,1
그런지,1
정신,1
배정,1
보이,1
고요,1
지저분합니다,1
틀림,1
같은것도,1
완전,1
바가지,1
수기,1
아줌마,1
이바,1
현장,1
서약,1
가깝습니다,1
온양온천역,1
얘기,1
고풍,1
힐링,1
면숙,1
소의,1
기능,1
불가하다,1
자리가있어,1
퀘퀘,1
다나,1
같으면,1
이런데,1
미국,1
원하는게,1
백악관,1
대요,1
무마,1
가시,1
방석,1
출출해서,1
요거트,1
휴지통,1
젓가락,1
누런,1
가혹,1
아닙니다,1
세련된,1
소중함을,1
고객,1
월풀,1
이집,1
고하,1
보이지,1
무협,1
진보,1
판단,1
안타까워,1
이런엔,1
레트로,1
좋아합니다,1
역사,1
모던,1
유럽,1
연상,1
외관,1
조건,1
운영,1
해도,1
테이블,1
고리,1
뒤쪽,1
고간,1
팬티,1
안된,1
방인,1
찜찜해서,1
아님,1
재채기,1
제방,1
조명,1
스텐드,1
고심,1
지어스,1
텐드,1
에버튼,1
목욕탕,1
서하,1
수구,1
아니잖아요,1
고민,1
좀나고,1
공기청정기,1
야할,1
추워요,1
종류,1
아쉬웠어요,1
리모콘,1
눌려,1
자릿수,1
채널,1
포기,1
비염,1
모시,1
신혼여행,1
주년,1
귀찮게,1
려제,1
역정,1
위생,1
여관,1
보시,1
더럽고,1
을안,1
많아요,1
방역,1
똑같아서,1
모처럼,1
호톌,1
편하게,1
도모,1
오래되어서,1
모터,1
시끄러워,1
고프,1
런트,1
조선족,1
중국인,1
근무,1
끈적끈적한,1
같더라구요,1
변기,1
발가락,1
인피니티,1
일출,1
일몰,1
해수욕장,1
가까워서,1
인지,1
모래,1
걸레질,1
시커멓게,1
새까매졌어요,1
조용히,1
많아,1
힘들었어요,1
되는,1
더워서,1
건조하고,1
체적,1
난국,1
개학,1
전주,1
런가,1
힘들었네요,1
금방,1
지저분하고,1
넓긴,1
체크아웃,1
아쉬웠지만,1
나발,1
인스타,1
같았습니다,1
전반,1
괜찮았지만,1
부스,1
물때,1
대해,1
나쁘진,1
시작,1
어른,1
필요합니다,1
피부,1
트러블,1
이유,1
락스,1
심하긴,1
간지럽고,1
힘드네요,1
돈벌레,1
해충,1
작업,1
미어,1
고담,1
다른데,1
요먼,1
층간소음,1
절감,1
편히,1
수영장,1
타일,1
많음,1
가산,1
좋네요,1
만족하나,1
친절,1
기념,1
층방,1
완젼,1
폭망,1
주말,1
착하지,1
마자,1
게목,1
칼칼해지는,1
아니다싶어,1
거미줄,1
필터,1
덕분,1
하란,1
죄송하지만,1
고베,1
멀끔하다,1
기대하면서,1
이상했습니다,1
쓰레기,1
엄청난줄,1
심합니다,1
밤늦게,1
야식,1
물병,1
뚜껑,1
마다,1
있으면,1
검은,1
때수건,1
클레,1
다행히도,1
청결해서,1
다행,1
꼭꼭,1
좀떼,1
제발,1
실전,1
아팠어요,1
무심해서,1
상실,1
유격,1
안되구요,1
불친절해요,1
인하,1
시끄러운,1
지속,1
후연,1
락준,1
이해,1
상식,1
사소리,1
부공,1
이해해,1
하나요,1
천안,1
급하게,1
구한,1
일본,1
기대,1
넓고,1
사이즈,1
프로젝트,1
영화관,1
구도,1
연결,1
친절하네요,1
이드,1
신음,1
여기저기,1
저렴하게,1
만족하고,1
일박,1
찬합,1
다그,1
도나,1
만추,1
가해,1
옆방,1
짜증남,1
룸메,1
맞은편,1
롯데,1
시네마,1
간판,1
눈부셔서,1
암막,1
야함,1
블로거,1
평가,1
교육,1
가능해,1
문해,1
거실,1
나빴던건,1
노맛,1
요정,1
후회,1
다미,1
어려운것은,1
안좋아서,1
스럽네요,1
사정,1
근방,1
가기,1
아쉬워요,1
기대했는데,1
실외,1
있는듯,1
인조잔디,1
고정,1
무거,1
평이,1
서기,1
대안,1
괜찮았고,1
히노끼,1
역대,1
눅눅하고,1
모로,1
친구,1
편리했습니다,1
은의자,1
야할거,1
거울,1
높이,1
애매해서,1
불편합니다,1
이처,1
개선,1
만족스러울거,1
자고,1
아까워요,1
오기,1
깨끗한건,1
기대히면,1
안될것,1
같고요,1
좋을것,1
친절하셔서,1
접근성,1
인프라,1
천합니다,1
벽틀,1
고글,1
창틀,1
코먼,1
반복,1
신안,1
불쾌한,1
어때이,1
경험,1
완료,1
도착,1
굉장히,1
오래되었,1
대방,1
최소,1
책정,1
진배,1
바람소리,1
음침한,1
서한,1
자지,1
불도,1
자동,1
공포,1
전화번호,1
향합,1
야합니다,1
한겨울,1
세면,1
건가,1
제해,1
안되는데,1
현재,1
어쩌,1
금도,1
쩌렁한데동트,1
있네요,1
화가,1
만해,1
매너,1
너무하지만,1
구호,1
심하네요,1
여전하고요,1
낡은거,1
괜찮다하는,1
지저분해서,1
의미,1
야한다면,1
여분,1
귀마개,1
같은데,1
괜찮앗아요,1
빈대,1
옷불,1
질문,1
괜찮을것,1
