,freq
객실,29
냄새,28
직원,27
예약,22
담배,17
가격,16
시설,16
체크,15
온천,14
화장실,14
상태,13
리조트,13
매우,12
정도,11
사람,11
바닥,11
투숙,10
관리,10
이용,10
생각,10
노후,10
먼지,10
침대,9
비비큐,9
애견,9
둘째,8
청소,8
에어컨,8
사진,8
확인,8
모델링,8
주변,8
이불,8
주차,8
머리카락,8
청결,8
모텔,8
가족,8
욕실,7
물이,7
서비스,7
첫날,6
선택,6
사용,6
날밤,6
침구,6
유선,6
고객,6
도안,6
패키지,6
없는,6
안됨,6
프론트,6
제대로,6
강아지,6
연결,6
최악,6
처음,6
방음,5
당일,5
온도,5
곰팡이,5
없다,5
전자레인지,5
조식,5
손님,5
엠프레스,5
없어서,5
편의점,5
냉장고,5
냉동,5
위생,5
부모님,4
기대,4
벌레,4
소음,4
날룸,4
베란다,4
한실,4
옆방,4
수준,4
개선,4
티비,4
소리,4
추천,4
없어,4
복도,4
커피,4
리뷰,4
계속,4
입실,4
응대,4
취사,4
동반,4
현장,4
대한,4
불가,4
이야기,4
같습니다,4
인시,4
고장,4
있는데,4
내부,4
여관,4
온돌방,4
다시,4
창문,4
느낌,3
연락,3
쿠폰,3
단체,3
작동,3
거실,3
오전,3
거미,3
같은,3
분위기,3
저녁,3
없네요,3
난방,3
이용자,3
로비,3
파크,3
개인,3
냉동식품,3
파티,3
바베큐,3
공기청정기,3
새벽,3
환기,3
타고,3
제외,3
절대,3
친절,3
개판,3
비용,3
근처,3
대욕,3
방안,3
안된,3
목욕,3
컨디션,3
변기,3
로션,3
기류,3
건물,3
제일,3
없습니다,3
아침,3
곳곳,3
실망,3
물때,3
수건,3
호수,3
아래,3
인지,3
보이,3
할인,3
문의,2
일반,2
보고,2
안좋은,2
이유,2
서안,2
낡은,2
대해,2
좋았음,2
없다고하,2
고하,2
안되고,2
흡연,2
본인,2
부분,2
연기,2
가장,2
이름,2
마리,2
과정,2
같음,2
죄송했음,2
문제,2
더러웠음,2
미끄럽고,2
방향,2
도리,2
산속,2
가문,2
중심,2
인근,2
카페,2
깨끗합니다,2
의자,2
더럽습니다,2
낡고,2
없어요,2
인사,2
아니라,2
경치,2
괜찮은데,2
좋겠어요,2
달랑,2
검정,2
어메니티,2
커버,2
낮선,2
세월,2
온돌,2
나름,2
만리,2
장점,2
보임,2
부유,2
가지,2
많았고,2
같으나,2
대부분,2
지모,2
서재,2
레지던스,2
안되어,2
보통,2
아무,2
유령,2
습한,2
룸침대룸,2
없었음,2
약했는데,2
로예,2
단말,2
죄송하,2
도착,2
안되어있고,2
가나,2
첫째,2
투고,2
음료,2
며멍,2
함또,2
안되어있다,2
장예,2
약함,2
의함,2
사항,2
다름,2
어플,2
제시,2
기본,2
전망,2
필터,2
외부,2
변인,2
로맨틱,2
뜰채,2
수영장,2
상상,2
옛날,2
있었고,2
직접,2
안나,2
통화,2
시도,2
선전,2
차례,2
