,freq
청결,470
객실,236
시설,235
직원,226
이용,159
주변,153
조식,138
청주,137
예약,118
생각,118
가격,111
느낌,103
침대,100
화장실,97
상태,95
주차,94
위치,84
침구,80
주차장,78
가족,77
편의점,76
컨디션,76
추천,75
온천,71
넓고,67
리조트,64
청소,63
정도,62
식당,62
근처,59
친절하시고,59
아침,59
관리,57
방음,57
서비스,56
욕실,56
체크,56
소리,52
스파,50
만족합니다,50
방이,50
로비,49
바닥,49
냄새,48
깨끗해서,48
건물,47
욕조,47
친절하고,46
매우,46
사진,46
사람,43
다시,41
없어서,40
바쥬,40
전반,40
오래된,40
저녁,39
같습니다,39
조용하고,39
처음,38
지하,38
산책,38
전체,37
모델링,36
방도,34
라면,34
모텔,34
노후,33
만족,33
힐링,33
호수,33
공간,33
좋아서,32
직접,32
사용,32
부분,31
난방,31
커피,31
실내,30
스타,30
좋네요,29
청결하고,29
샤워,29
소음,29
물이,28
사우나,28
제천,28
프론트,28
배달,28
구비,27
같은,27
내부,27
인테리어,27
완전,27
리바쥬,27
카페,26
응대,26
담배,26
용했습니다,26
수영장,25
걱정,25
편하게,25
맛집,25
넓습니다,25
치킨,25
대비,25
강아지,24
분위기,24
커서,24
오송,23
덕분,23
굉장히,23
오송역,23
선택,23
수안보,23
산속,23
요청,23
넓어서,22
샴푸,22
많고,22
구경,22
어메니티,22
공기,22
신경,22
사장,22
없는,22
음식,22
먼지,22
편히,22
제공,21
리뷰,21
조용해서,21
아쉬운,21
배정,21
부모님,21
단양,21
가면,20
후기,20
괜찮은,20
에어컨,20
준비,20
메뉴,20
편의,20
터미널,20
단점,19
개인,19
이불,19
식사,19
있는데,19
안나,19
장점,19
있어요,19
투숙,19
무료,19
많은,19
주차공간,19
산책로,19
요다음,18
좋을것,18
따뜻하고,18
수건,18
경치,18
깨끗한,18
가까워서,18
트리,18
제일,18
업그레이드,18
할인,18
기도,18
추가,17
애견,17
같아,17
식도,17
좋구요,17
만족하고,17
그런지,17
없어,17
날씨,17
친절하세요,17
풍경,17
식이,17
문제,17
칫솔,17
바디,17
필요할듯,17
의자,17
온도,17
온돌방,16
나중,16
차편,16
미리,16
주문,16
티비,16
참고,16
넷플릭스,16
운영,16
만족하며,16
노천,16
충주,16
역시,16
가지,16
더블,16
나름,15
나무,15
냉장고,15
복도,15
겨울,15
있으면,15
평일,15
창문,15
만족스러웠습니다,15
체크아웃,15
급하게,15
있지만,15
가장,15
해결,15
많아,15
조용한,15
컴퓨터,15
방해,15
친절하셔서,15
주위,15
추억,15
예정,15
보이,15
아쉽네요,14
자체,14
요리,14
아쉬웠어요,14
일이,14
좋더라구요,14
편했습니다,14
좋았는데,14
깔끔해서,14
즐거운,14
야외,14
일회용품,14
음식점,14
새벽,14
끼리,14
모시,14
좀더,14
비용,14
가게,14
좋음,14
친절한,14
들소리,14
부대,14
좋았구요,13
치약,13
어머니,13
는늘,13
외관,13
기본,13
보고,13
살짝,13
무난,13
다룸,13
캉스,13
불편함,13
친구,13
친절합니다,13
크기,13
관광지,13
수압,13
온돌,13
전망,13
개선,13
구매,13
고급,13
일정,13
요조,13
꿀잠,13
도보,13
위해,13
용했어요,13
기대,12
좋았,12
레이크,12
세면대,12
용하는,12
나쁘지,12
있음,12
환경,12
장소,12
속리산,12
위생,12
차로,12
자연,12
같고,12
같네요,12
가을,12
용하기,12
패키지,12
혁신도시,12
접근성,12
지역,12
저렴한,12
간단하게,12
다가,12
도구,12
안마,12
기회,12
생수,12
상당히,12
편했어요,12
있으니,12
곳도,11
목욕,11
가요,11
반려견,11
손님,11
야경,11
기억,11
오기,11
이동,11
신분,11
묵고,11
용할,11
숲속,11
파티,11
불편,11
작은,11
쓰기,11
옆방,11
동반,11
없어요,11
주말,11
필자,11
가기,11
외부,11
여유,11
적당한,11
계속,11
먹거리,11
베개,11
크게,11
편입,11
별로,11
없네요,11
이아주,11
동네,11
포함,11
다방,11
친절해서,11
안내,11
요즘,11
오픈,11
비즈니스,11
검색,11
레스토랑,11
가능,11
타입,11
신축,11
입실,10
일반,10
아기,10
충전기,10
대신,10
레스,10
강추,10
확인,10
일찍,10
괜찮았어요,10
편히잘,10
좋다,10
수안보온천,10
없었습니다,10
얘기,10
편하게잘,10
용하겠습니다,10
용할것,10
있었습니다,10
높은,10
깨끗했습니다,10
없었어요,10
고조,10
입구,10
깨끗했어요,10
린스,10
요금,10
편안하고,10
포레스트,10
금연,10
리솜,10
어른,10
샤워실,10
모든,10
비치,10
멋진,10
괜찮아요,10
교통,10
푹신하고,10
만족했습니다,10
전자렌지,10
즐겁게,9
좋았네요,9
좋을듯,9
시내,9
두번째,9
비누,9
은방,9
낡은,9
청풍,9
옛날,9
종류,9
청풍호,9
없지만,9
휴식,9
맛있었어요,9
딱히,9
아니라,9
가가,9
베란다,9
정리,9
먹기,9
중간,9
조명,9
괜찮았습니다,9
물품,9
거기,9
달라,9
자고,9
좋았음,9
아쉬움,9
좋겠습니다,9
노래방,9
따뜻한,9
주시,9
인지,9
슬리퍼,9
고민,9
한편,8
수준,8
가깝고,8
좋겠어요,8
로예,8
머리카락,8
동료,8
깨끗했고,8
도안,8
피로,8
공기청정기,8
이안,8
있었어요,8
연결,8
거실,8
깔끔한,8
친절하게,8
바람,8
해장국,8
공원,8
빌라,8
마트,8
홈플러스,8
전혀,8
라운지,8
오늘,8
입니,8
데스크,8
만족스럽고,8
양호,8
아쉬웠네요,8
분리,8
실외,8
면서,8
다행,8
사이즈,8
테이블,8
친절,8
잡고,8
보통,8
운동장,8
시리얼,8
한가지,8
가까워,8
좋지,8
한참,8
번창,8
카페트,8
있었고,8
용해,8
가구,8
친절해요,8
기준,8
용합니다,8
좋게,8
좋은데,8
좋을,8
가나,8
저번,8
비교,8
뜨거운,8
오시,8
필요한,8
하니,7
용품,7
게이,7
편안하게잘,7
카트,7
한식,7
무인,7
엘베,7
나머지,7
도모,7
데리,7
스탠다드,7
비품,7
이따,7
에스,7
가까운,7
고물,7
고해,7
만족스러운,7
고장,7
없습니다,7
아쉬웠지만,7
필요,7
의방,7
고프,7
친절하시고요,7
포장,7
고가,7
나인,7
곰팡이,7
깨끗하게,7
친절하십니다,7
벚꽃,7
밤새,7
간단히,7
식기,7
인덕션,7
워낙,7
그거,7
제외,7
서방,7
이하나,7
같았어요,7
이야기,7
프런트,7
조용히,7
압도,7
그게,7
있어도,7
먼저,7
엘리베이터,7
카운터,7
아닌,7
가운,7
아니고,7
계획,7
마지막,7
청결해서,7
비지니스,7
신청,7
깨끗함,7
친절하셨습니다,7
최신,7
깜짝,7
오래되서,7
감기,7
김치,7
공사,7
용하는데,7
시스템,7
불편했습니다,7
스낵바,7
부족한,7
가안,7
이별,7
좋을거,7
피부,7
넓은,7
설명,7
뭔가,7
합리,7
화장,7
별도,6
다다,6
세면,6
쇼파,6
단위,6
우유,6
취사,6
변경,6
워터파크,6
부탁드립니다,6
야식,6
단풍,6
중심,6
좋다고,6
고려,6
가능한,6
일어나서,6
려고,6
만족해요,6
이아,6
교체,6
도크,6
많아요,6
맛있는,6
시장,6
켄싱턴,6
가경동,6
조절,6
같은데,6
도자기,6
치가,6
맛있게잘,6
입니다다만,6
테라스,6
는걸,6
불편한,6
지금,6
매트리스,6
많지,6
매트,6
온수,6
면모,6
에이,6
있었지만,6
깔끔했어요,6
그것,6
입니다리,6
중앙,6
차량,6
아쉬워요,6
자리,6
아쉬웠던,6
충분히,6
조용하게,6
괜찮다고,6
만족도,6
유지,6
따뜻해서,6
청결합니다,6
요일,6
낡았지만,6
싱글,6
바베큐,6
대형,6
아쉽습니다,6
인기,6
비비큐,6
적극,6
시작,6
간단한,6
마루,6
편안히잘,6
남자,6
런가,6
옷장,6
한강,6
디럭스,6
다리,6
영화,6
제대로,6
용이,6
안되는,6
중요한,6
간식,6
더욱,6
있다고,6
편하고,6
아무,6
환기,6
오래되,6
깔끔했고,6
맥주,6
엄마,6
아침식사,6
적당히,6
부가,6
변기,6
구성,6
휴가,6
코스,6
파크,6
타일러,6
판매,6
룸서비스,6
맛있어요,6
퀄리티,6
문의,6
당황,6
벽지,6
낙후,6
이모,6
불편함이,6
오래되긴,6
음료,6
친절하게안내,6
대체로,6
입장,6
마련,6
건아,5
부럽지,5
있구요,5
관광,5
자판기,5
새소리,5
없으니,5
사항,5
있는게,5
하늘,5
연말,5
이름,5
딱좋은,5
메인,5
매니,5
안쪽,5
인치,5
높아서,5
부도,5
도로,5
가도,5
다트,5
산책길,5
해도,5
아웃,5
기전,5
비데,5
잠자리,5
쾌적하고,5
방과,5
무조건,5
방안,5
추합니다,5
있을,5
쾌적한,5
전날,5
쾌적해서,5
좋았다,5
운전,5
정돈,5
괜찮았고,5
편해요,5
깨끗하,5
만족스러워요,5
이드,5
업무,5
맛있게,5
택시,5
결제,5
쿠폰,5
대부분,5
주류,5
편리하고,5
보로,5
도착,5
깔끔하게,5
이해,5
인할,5
있었는데,5
편합니다,5
청풍호반,5
기존,5
맛있었습니다,5
충전,5
안되서,5
깜빡,5
추워서,5
있더라구요,5
용한,5
이건,5
없었구요,5
세탁,5
물때,5
식당가,5
시외버스,5
콘센트,5
미니,5
코로나,5
세트,5
아쉬웠습니다,5
같아서,5
편했고,5
수가,5
전화,5
없더라구요,5
숙면,5
깊은,5
아니지만,5
